Afrika	Африка
Goriva ćelija	Топливный элемент
Adsorpcija	Адсорбция
Erinije	Эринии
Gary Sinise	Синиз, Гэри
Northrop Grumman B-2	Northrop B-2 Spirit
Mojre	Мойры
Espresso	Эспрессо
Bosanska Dubica	Козарска-Дубица
AS Monaco FC	Монако (футбольный клуб)
Drakeova jednačina	Уравнение Дрейка
Aragorn	Арагорн
Foča	Фоча (город, Босния и Герцеговина)
Falanga	Фаланга (строй)
Gagauzi	Гагаузы
Jugo	Сирокко
Frank Gehry	Фрэнк Гери
Evropski put E58	Европейский маршрут E58
433. p. n. e.	433 год до н. э.
Frédéric Passy	Пасси, Фредерик
Ross County FC	Росс Каунти
Eduardo da Silva	Эдуардо да Силва
Aristotel Onassis	Онассис, Аристотель
Pravedne halife	Праведный халиф
Spisak borilačkih vještina po zemljama	Проект:Боевые искусства/Список боевых искусств
Juan Martín del Potro	Дель Потро, Хуан Мартин
Meandar	Меандр
Prizma	Призма (геометрия)
Helicobacter pylori	Helicobacter pylori
Philip Seymour Hoffman	Хоффман, Филип Сеймур
Evropsko prvenstvo u nogometu 1996.	Чемпионат Европы по футболу 1996
Krajnici	Миндалины
Vlažnost	Влажность
Melanom	Меланома
Genetički kod	Генетический код
Stephen Jay Gould	Гулд, Стивен Джей
Distribuirano računarstvo	Распределённые вычисления
Tigran Petrosjan	Петросян, Тигран Вартанович
Occupy Wall Street	Захвати Уолл-стрит
Mlat	Кистень
14. vijek p. n. e.	XIV век до н. э.
Spisak MOK-ovih skraćenica za države	Список кодов МОК
84. dodjela "Oscara"	Оскар (кинопремия, 2012)
Kvalifikacije za Evropsko prvenstvo u nogometu 2012.	Чемпионат Европы по футболу 2012 (отборочный турнир)
Računarski crv	Сетевой червь
Zastava Surinama	Флаг Суринама
Princ od Velsa	Принц Уэльский
Bosanska Gradiška	Градишка (Босния и Герцеговина)
Modriča	Модрича
Mark Spitz	Спитц, Марк
Teslić	Теслич
Sokolac	Соколац
Skåne	Сконе (провинция)
Kotor-Varoš	Котор-Варош
Angina pectoris	Стенокардия
Distopija	Антиутопия
Turkozna (cijan)	Сине-зелёный цвет
Beretta ARX 160	Beretta ARX-160
Nacionalna galerija	Лондонская Национальная галерея
Rogatica	Рогатица
Nogometna reprezentacija Andore	Сборная Андорры по футболу
Nogometna reprezentacija Azerbejdžana	Сборная Азербайджана по футболу
Tiristor	Тиристор
Ustiprača	Устипрача
Logos	Логос
Charlotte Perrelli	Перелли, Шарлотта
Nogometna reprezentacija Bugarske	Сборная Болгарии по футболу
Nogometna reprezentacija Velsa	Сборная Уэльса по футболу
Roger Waters	Уотерс, Роджер
Pantera (grupa)	Pantera
Svjetsko prvenstvo u nogometu 1998 - grupa B	Чемпионат мира по футболу 1998. Группа B
Bijekcija	Биекция
Pafos	Пафос (Кипр)
Natalie Wood	Натали Вуд
Mastaba	Мастаба
Kriptozoologija	Криптозоология
Hromatin	Хроматин
Fakultet	Факультет
Andrew Lloyd Webber	Ллойд Уэббер, Эндрю
Antonio Cassano	Кассано, Антонио
Broad Peak	Броуд-Пик
Solipsizam	Солипсизм
Hiperbola (figura)	Гипербола (риторика)
NGC 549	NGC 549
Disident	Диссидент
Abu Musab al-Zarqawi	Абу Мусаб аз-Заркави
Joli OS	Joli OS
Lucidni snovi	Осознанные сновидения
Mokraćni sistem	Мочевыделительная система человека
Balučistan	Белуджистан
Zastava Svetog Kristofora i Nevisa	Флаг Сент-Китса и Невиса
Moldavski lev	Молдавский лей
T-70	Т-70
Glutaminska kiselina	Глутаминовая кислота
Grb Mađarske	Герб Венгрии
Grb Grčke	Герб Греции
Muavija ibn Ebu-Sufjan	Муавия I ибн Абу Суфьян
Računarska dizajn šema	Шаблон проектирования
Hasan Nasralah	Насралла, Хасан
Nogometna reprezentacija Bosne i Hercegovine	Сборная Боснии и Герцеговины по футболу
HNK Hajduk Split	Хайдук (футбольный клуб, Сплит)
Beg	Бей
Anoda	Анод
Drveni puhački instrumenti	Деревянные духовые музыкальные инструменты
XXXII olimpijske igre - Tokyo 2020.	Летние Олимпийские игры 2020
Enzo Ferrari	Феррари, Энцо
Njemačka književnost	Немецкая литература
Smrtonoše	Пожиратели смерти
Stalagmit	Сталагмит
Insekticid	Инсектициды
Bernoullijeva jednačina	Закон Бернулли
Dakar Reli	Ралли «Дакар»
Patrijarhat (sociologija)	Патриархат
Trnava (regija)	Трнавский край
Biotin	Биотин
Harpija	Гарпии
Skalarni proizvod	Скалярное произведение
Osmaniye	Османие
Fiber Distributed Data Interface	FDDI
Magnetit	Магнетит
Loftus Versfeld stadion	Лофтус Версфельд (стадион)
Žumance	Желток
Stadion Free State	Фри-Стейт (стадион)
Stadion Nelson Mandela Bay	Нельсон Мандела Бэй
Galeon	Галеон
Oranje (rijeka)	Оранжевая
Cotopaxi	Котопахи (вулкан)
Visoka peć	Доменная печь
Spolni dimorfizam	Половой диморфизм
Vanzemaljci	Внеземная жизнь
Rat u Bosni i Hercegovini	Боснийская война
RSA	RSA
Kralj Lear	Король Лир
Bronhi	Бронхи
Igrači FIFA Svjetskog klupskog prvenstva 2011.	Клубный чемпионат мира по футболу 2011 (составы)
Nicolas Léonard Sadi Carnot	Карно, Сади
FireWire	IEEE 1394
Karbonat	Карбонаты
Charles Fourier	Фурье, Шарль
Spisak gradova u Mađarskoj	Города Венгрии
Pretorijanci	Преторианская гвардия
Horizont događaja	Горизонт событий
Mauricije	Маврикий (император)
Koloid	Коллоидные системы
Android	Андроид
Tupoljev Tu-95	Ту-95
Dan svetog Patrika	День святого Патрика
Piper PA-34 Seneca	Piper PA-34 Seneca
Nekrofilija	Некрофилия
Civilno društvo	Гражданское общество
Zlatni globus za najboljeg glumca - komedija ili mjuzikl	Премия «Золотой глобус» за лучшую мужскую роль — комедия или мюзикл
Sven I, kralj Danske	Свен I Вилобородый
Polimerizacija	Полимеризация
Nogometna reprezentacija Alžira	Сборная Алжира по футболу
Herbarij	Гербарий
Mihailo Atalijat	Атталиат, Михаил
Branislav Ivanović	Иванович, Бранислав
Nogometna reprezentacija Nigerije	Сборная Нигерии по футболу
Bohajsko more	Бохайский залив
Atlantska povelja	Атлантическая хартия
Injektivna funkcija	Инъекция (математика)
Galileo (letjelica)	Галилео (космический аппарат)
Antonio Stradivari	Страдивари, Антонио
Lockheed C-5 Galaxy	Lockheed C-5 Galaxy
Leda (mitologija)	Леда
Marija Medici	Мария Медичи
Lockheed C-130 Hercules	Lockheed C-130 Hercules
Najade (mitologija)	Наяды
Leon Battista Alberti	Альберти, Леон Баттиста
UEFA Intertoto kup	Кубок Интертото
Nogometna reprezentacija Čehoslovačke	Сборная Чехословакии по футболу
Kredit	Кредит
Ellis Park stadion	Эллис Парк
Tobruk	Тобрук
Tantal (mitologija)	Тантал (мифология)
Mila Rodino	Гимн Болгарии
Giovanni Pico della Mirandola	Пико делла Мирандола, Джованни
Metropolitan Area Network	Городская вычислительная сеть
Morihej Uešiba	Уэсиба, Морихэй
Valois (dinastija)	Валуа
Spisak švedskih kraljeva	Список королей Швеции
Premijer liga Rusije	Чемпионат России по футболу
Nitrat	Нитраты
GameCube	Nintendo GameCube
Zijevanje	Зевота
Evropsko prvenstvo u nogometu 1980.	Чемпионат Европы по футболу 1980
Evropsko prvenstvo u nogometu 1968.	Чемпионат Европы по футболу 1968
Evropsko prvenstvo u nogometu 1964.	Чемпионат Европы по футболу 1964
Alma Čardžić	Чарджич, Алма
Albit	Альбит
Rasterska grafika	Растровая графика
Iredentizam	Ирредентизм
Antikitera mehanizam	Антикитерский механизм
Op art	Оптическое искусство
Univerzalna plinska konstanta	Универсальная газовая постоянная
Vitamin K	Витамин K
Osinja	Осиня
Nijagara	Ниагара
Jadarit	Ядарит
Lirska pjesma	Лирика
Evropsko prvenstvo u nogometu 1972.	Чемпионат Европы по футболу 1972
Grb Kazahstana	Герб Казахстана
Okeanide	Океаниды
Reality show	Реалити-шоу
Spisak gradova u Bugarskoj	Города Болгарии
Silistra	Силистра
Metar u sekundi	Метр в секунду
Plastična hirurgija	Пластическая хирургия
Adijabatski proces	Адиабатический процесс
Wilt Chamberlain	Чемберлен, Уилт
Júlio César Soares de Espíndola	Соарес Эспиндола, Жулио Сезар
Hidrografija	Гидрография
Interkontinentalni kup (nogomet)	Межконтинентальный кубок по футболу
NVIDIA	Nvidia
Bing	Bing
Zajednica država portugalskog govornog područja	Содружество португалоязычных стран
Anđeli i demoni	Ангелы и демоны
Zastava Fidžija	Флаг Фиджи
Bojni brod	Линейный корабль
MESSENGER	Мессенджер (АМС)
Stilska figura	Фигуры речи
Robert Goddard	Годдард, Роберт
Imunitet	Иммунитет
William Morris	Моррис, Уильям
Grafik funkcije	График функции
Martin Höllwarth	Хёлльварт, Мартин
US5	US5
Jane Seymour	Сеймур, Джейн
Ta’if	Эт-Таиф
John Glenn	Гленн, Джон
Svjetsko prvenstvo u atletici	Чемпионат мира по лёгкой атлетике
Chipset	Чипсет
Harper Lee	Ли, Харпер
Zoonoze	Зоонозы
Amfoternost	Амфотерность
Klasični japanski jezik	Классический японский язык
Etta James	Этта Джеймс
Nogometna reprezentacija Srbije	Сборная Сербии по футболу
Evropsko prvenstvo u nogometu 1984.	Чемпионат Европы по футболу 1984
12 crteža Muhameda	Карикатурный скандал (2005—2006)
Zastava Južnog Sudana	Флаг Южного Судана
Himera	Химера
Zimbabveanski dolar	Доллар Зимбабве
Kill 'Em All	Kill ’Em All
Koncert	Концерт
Luj II, kralj Zapadne Franačke	Людовик II Заика
Jean Baudrillard	Бодрийяр, Жан
Kalcij hidroksid	Гидроксид кальция
Korintski kanal	Коринфский канал
Wankelov motor	Роторно-поршневой двигатель
Bolen	Жерех
Gornja vilica	Верхняя челюсть
Karantena	Карантин
Hasan ibn Ali	Хасан ибн Али
Gondola	Гондола
Fluorescentna cijev	Люминесцентная лампа
FK Rostov	Ростов (футбольный клуб)
Procesorska arhitektura x86	X86
Zaljubljeni Shakespeare	Влюблённый Шекспир
Vatikanski muzeji	Музеи Ватикана
Majmuni Starog svijeta	Мартышковые
Crvenookica	Обыкновенная плотва
Uracil	Урацил
Helena Paparizou	Папаризу, Елена
Vazopresin	Антидиуретический гормон
Bendi	Хоккей с мячом
Reiki	Рэйки
Šesto čulo (film)	Шестое чувство (фильм, 1999)
Interpreter	Интерпретатор
Narednik James	Повелитель бури
Nema zemlje za starce (film)	Старикам тут не место (фильм)
Izabela II, kraljica Španije	Изабелла II
Ratatouille	Рататуй
Duško Dugouško	Багз Банни
Bora Bora	Бора-Бора
Gastritis	Гастрит
Sepsa	Сепсис
Trenčin (regija)	Тренчьянский край
Epiktet	Эпиктет
Mars Reconnaissance Orbiter	Mars Reconnaissance Orbiter
Gilbert Keith Chesterton	Честертон, Гилберт Кит
Evropska konvencija o ljudskim pravima	Европейская конвенция о защите прав человека и основных свобод
Institut polytechnique des sciences avancées	Политехнический институт передовой науки
Međunarodni krivični sud za bivšu Jugoslaviju	Международный трибунал по бывшей Югославии
Tolerancija	Толерантность
Karlo IV, kralj Španije	Карл IV (король Испании)
Samuel Colt	Кольт, Сэмюэл
Friz	Фриз (архитектура)
Geografski pol	Географический полюс
Feba (mitologija)	Феба (мифология)
Noć Ašure	Ашура
Diktator	Диктатор
Gomolj	Клубень
Nogometna reprezentacija Ermenije	Сборная Армении по футболу
Federalni gradovi u Rusiji	Город федерального значения
Majdan (čvor)	Майдан
16. vijek p. n. e.	XVI век до н. э.
Alfred North Whitehead	Уайтхед, Альфред Норт
20. vijek p. n. e.	XX век до н. э.
Flip-flop	Триггер
Termohemija	Термохимия
EMI	EMI
Bušena kartica	Перфокарта
Ostrva privjetrine	Наветренные острова
Hiron	Хирон
Spisak portugalskih kraljeva	Список правителей Португалии
Nina Dobrev	Добрев, Нина
Justin I	Юстин I
Arhitrav	Архитрав
Nogometna reprezentacija Kazahstana	Сборная Казахстана по футболу
NGC 3857	NGC 3857
Dezertifikacija	Опустынивание
Grafički procesor	Графический процессор
Demiurg	Демиург
Margaret Atwood	Этвуд, Маргарет
Bratislava (regija)	Братиславский край
Ethelred Nespremni	Этельред Неразумный
Bar (čvor)	Бар
130te p. n. e.	130-е годы до н. э.
Buffy, ubica vampira	Баффи — истребительница вампиров (телесериал)
130te	130-е годы
Leona Lewis	Льюис, Леона
Philip Johnson	Джонсон, Филип
Triskelion	Трискелион
Voajerizam	Вуайеризм
Pirati s Kariba: Na čudnijim plimama	Пираты Карибского моря: На странных берегах
Velika džamija u Damasku	Мечеть Омейядов
Chupacabra	Чупакабра
Zamajac	Маховик
Ferdinand, car Austrije	Фердинанд I (император Австрии)
Halva	Халва
Transfuzija krvi	Гемотрансфузия
Banska Bistrica (regija)	Банскобистрицкий край
Franjo Tuđman	Туджман, Франьо
Last.fm	Last.fm
Svjetski dan voda	Всемирный день водных ресурсов
Piezoelektricitet	Пьезоэлектрический эффект
Alija Izetbegović	Изетбегович, Алия
Metalcore	Металкор
Lovac u žitu	Над пропастью во ржи
Mamalogija	Териология
Tuamotu	Туамоту
David Trézéguet	Трезеге, Давид
Rumelija	Румелия
Zenica	Зеница (город)
Aubagne	Обань
Autonomni okruzi u Rusiji	Автономный округ (Россия)
Seleuk I Nikator	Селевк I Никатор
Spisak gradova u Danskoj	Города Дании
UEFA Liga prvaka 2009/2010.	Лига чемпионов УЕФА 2009/2010
Drugi balkanski rat	Вторая Балканская война
Labradorsko more	Море Лабрадор
Barit	Барит
Automatizacija	Автоматизация
Makrofag	Макрофаги
Théodore Géricault	Жерико, Теодор
Tetija (mitologija)	Тефида
Gilles Deleuze	Делёз, Жиль
Žilina (regija)	Жилинский край
Teja	Тейя
Salmonidae	Лососёвые
Luminiscencija	Люминесценция
Grb Hrvatske	Герб Хорватии
Djevojka od milion dolara	Малышка на миллион
Zastava Dominikanske Republike	Флаг Доминиканской Республики
Nogometna reprezentacija Luksemburga	Сборная Люксембурга по футболу
Zastava Grenlanda	Флаг Гренландии
Grb Latvije	Герб Латвии
Zastava Trinidada i Tobaga	Флаг Тринидада и Тобаго
Šah (titula)	Шах (титул)
Eliptična galaksija	Эллиптическая галактика
Greben	Риф
Cirk	Кар (форма рельефа)
Natrij nitrat	Нитрат натрия
Rock Hudson	Рок Хадсон
Yes (grupa)	Yes
Nogometna reprezentacija Norveške	Сборная Норвегии по футболу
Katapult (oružje)	Катапульта
Propolis	Прополис
Bazilika Saint-Denis	Аббатство Сен-Дени
Rat na Pacifiku	Тихоокеанский театр военных действий Второй мировой войны
Delta Dunava	Дельта Дуная
Tetida (grčka mitologija)	Фетида
Medovina	Медовые напитки
OpenDocument	OpenDocument
Scenska umjetnost	Театральное искусство
Lockheed F-117	Lockheed F-117 Nighthawk
Ivan Skot Eriugena	Иоанн Скот Эриугена
Džamija Selimija	Мечеть Селимие
Nitra (regija)	Нитрьянский край
Apsolutna monarhija	Абсолютная монархия
Irida (mitologija)	Ирида
Zastava Svetog Vincenta i Grenadina	Флаг Сент-Винсента и Гренадин
Zastava Svete Lucije	Флаг Сент-Люсии
Nogometna reprezentacija Irana	Сборная Ирана по футболу
Ekspertni sistemi	Экспертная система
Treset	Торф
Kalij-hlorid	Хлорид калия
Konzervatorijum	Консерватория
Donald Rumsfeld	Рамсфелд, Дональд
Toksin	Токсин
Impotencija	Эректильная дисфункция
Informacijsko društvo	Информационное общество
Kolonizacija Amerike	Колонизация Америки
Fagocitoza	Фагоцитоз
Codec	Кодек
Slavoj Žižek	Жижек, Славой
Rana	Рана
Kodiranje	Набор символов
Kum 2	Крёстный отец 2
Fosfatna kiselina	Ортофосфорная кислота
Likvidnost	Ликвидность
CAD	Система автоматизированного проектирования
Tom Waits	Уэйтс, Том
Biocenoza	Биоценоз
Prerafaeliti	Прерафаэлиты
The Sims	The Sims
Lignin	Лигнин
Apertium	Apertium
Nintendo 64	Nintendo 64
Krijumčaranje	Контрабанда
Istrebljivač	Бегущий по лезвию
Boeing B-29	Boeing B-29 Superfortress
Eulerova formula	Формула Эйлера
Rimska književnost	Римская литература
Reductio ad absurdum	Доказательство от противного
David Fincher	Финчер, Дэвид
Till the World Ends	Till the World Ends
Paša	Паша (титул)
Grb Izraela	Герб Израиля
Boeing B-17	Boeing B-17 Flying Fortress
Mylene Farmer	Фармер, Милен
Kontinentalna klima	Континентальный климат
Rainier III, knez Monaka	Ренье III (князь Монако)
FPS	Шутер от первого лица
Panonska nizija	Среднедунайская низменность
Anemija srpastih eritrocita	Серповидноклеточная анемия
Amarok	Amarok
Afrički slon	Африканские слоны
Milij Aleksejevič Balakirev	Балакирев, Милий Алексеевич
Geometrijska sredina	Среднее геометрическое
Christopher Walken	Уокен, Кристофер
Mendelovi zakoni	Законы Менделя
Telomera	Теломеры
Vrijeme nježnosti	Язык нежности
Vokativ	Звательный падеж
Krunski posjed	Коронные земли
Dijagram toka	Блок-схема
Hamilkar Barka	Гамилькар Барка
Denes nad Makedonija	Гимн Республики Македонии
Europe (muzička grupa)	Europe (группа)
Interval (matematika)	Промежуток (математика)
Sedam rimskih brda	Холмы Рима
KK Cedevita	Цедевита (баскетбольный клуб)
Bože pravde	Гимн Сербии
Mliječni proizvodi	Молочные продукты
Zastava Papue Nove Gvineje	Флаг Папуа — Новой Гвинеи
Zastava Falklandskih ostrva	Флаг Фолклендских островов
Zastava Naurua	Флаг Науру
Zastava Vanuatua	Флаг Вануату
A capella	А капелла
Historija Egipta	История Египта
Giovanni Battista Pergolesi	Перголези, Джованни Баттиста
Ivan I, veliki knez Moskve	Иван I Данилович Калита
Kardiopulmonalna reanimacija	Сердечно-лёгочная реанимация
Elektromotorna sila	Электродвижущая сила
Poti	Поти
Nogometna reprezentacija San Marina	Сборная Сан-Марино по футболу
Prstenorepi lemur	Кошачий лемур
Serravalle	Серравалле
Flavije Aecije	Флавий Аэций
Shareware	Условно-бесплатное программное обеспечение
Jostein Gaarder	Гордер, Юстейн
Izlučivanje	Выделение (биология)
Arch Linux	Arch Linux
Antarktičko poluostrvo	Антарктический полуостров
Pojednostavljeno kinesko pismo	Упрощение иероглифов
Helebarda	Алебарда
Kljove	Бивень
Šipovo	Шипово (Республика Сербская)
Turingova nagrada	Премия Тьюринга
Grytviken	Грютвикен
Saint-Pierre (Sveti Petar i Mikelon)	Сен-Пьер (Сен-Пьер и Микелон)
Rukometna reprezentacija Švedske	Мужская сборная Швеции по гандболу
Lunarni kalendar	Лунный календарь
Metodologija	Методология науки
Vitebska oblast	Витебская область
Oportunitetni trošak	Альтернативные издержки
Rat protiv terorizma	Война против терроризма
Avian	Авиан
Bilbo Baggins	Бильбо Бэггинс
Stadion "Ernst Happel"	Эрнст Хаппель (стадион)
Gel	Гели
Kefir	Кефир
NGC 7184	NGC 7184
Jejunum	Тощая кишка человека
Sveti Barnaba	Варнава (апостол от 70)
11. grupa hemijskih elemenata	Подгруппа меди
Translacija (biologija)	Трансляция (биология)
Vremenska dilatacija	Релятивистское замедление времени
Grafički dizajn	Графический дизайн
Muftija	Муфтий
Vidni živac	Зрительный нерв
Git (softver)	Git
Veksilologija	Вексиллология
Rusko carstvo	Русское царство
Francis Fukuyama	Фукуяма, Фрэнсис
Reljef (geografija)	Рельеф
Historija računarskog hardvera	История вычислительной техники
Prokopije iz Cezareje	Прокопий Кесарийский
Doom metal	Дум-метал
Teenage Dream	Teenage Dream
Giovanni Battista Tiepolo	Тьеполо, Джованни Баттиста
Stirlingov motor	Двигатель Стирлинга
Alpsko skijanje	Горнолыжный спорт
Zastava ostrva Man	Флаг острова Мэн
Vektorsko polje	Векторное поле
Nogometna reprezentacija Bjelorusije	Сборная Белоруссии по футболу
Ferdinand VII, kralj Španije	Фердинанд VII
Nogometna reprezentacija Albanije	Сборная Албании по футболу
Nogometna reprezentacija Gruzije	Сборная Грузии по футболу
Nogometna reprezentacija Litvanije	Сборная Литвы по футболу
Košice (regija)	Кошицкий край
Ugaono ubrzanje	Угловое ускорение
Madame Tussauds	Музей мадам Тюссо
Fjodor I, car Rusije	Фёдор I Иоаннович
Borat: učenje o Amerika kultura za boljitak veličanstveno država Kazahstan	Борат
Marilyn Manson	Мэрилин Мэнсон
New Deal	Новый курс Рузвельта
Autosom	Аутосома
Gaël Monfils	Монфис, Гаэль
Tropopauza	Тропопауза
Game Boy	Game Boy
Svemirski teleskop James Webb	Джеймс Уэбб (телескоп)
Zastava Hong Konga	Флаг Гонконга
Lemuridae	Лемуровые
Riccardo Giacconi	Джаккони, Риккардо
Matematička konstanta	Математическая константа
Paraziti	Паразитизм
Narcizam	Нарциссизм
Aksiologija	Аксиология
Nogometna reprezentacija Finske	Сборная Финляндии по футболу
Srednji zapad (SAD)	Средний Запад
Engleska književnost	Английская литература
Troja (film)	Троя (фильм)
Grb Iraka	Герб Ирака
Arabeska	Арабеска (орнамент)
NGC 232	NGC 232
Međunarodni aerodrom Domodjedovo	Домодедово (аэропорт)
Odbojka na OI 1980.	Волейбол на летних Олимпийских играх 1980
19. vijek p. n. e.	XIX век до н. э.
Nogometna reprezentacija Lihtenštajna	Сборная Лихтенштейна по футболу
Fazni dijagram	Фазовая диаграмма
17. vijek p. n. e.	XVII век до н. э.
Dante Gabriel Rossetti	Россетти, Данте Габриэль
Katolički kraljevi	Католические короли
Gasherbrum II	Гашербрум II
Mučnina (simptom)	Тошнота
Drina	Дрина
Nogometna reprezentacija Estonije	Сборная Эстонии по футболу
Fosfolipid	Фосфолипиды
ATP (čvor)	ATP (значения)
Hronologija programskih jezika	Хронология языков программирования
Ibuprofen	Ибупрофен
Produžeci	Дополнительное время
Bakropis	Офорт
Baba Jaga	Баба-яга
Fiskalna politika	Фискальная политика
Evropski močvarni terapin	Европейская болотная черепаха
Peter Mokaba stadion	Питер Мокаба (стадион)
Human Rights Watch	Human Rights Watch
Stadion Mbombela	Мбомбела (стадион)
Edvard Stariji	Эдуард Старший
Gasherbrum I	Гашербрум I
14. arondisman (Pariz)	XIV округ Парижа
Mario Mandžukić	Манджукич, Марио
Joe Hart	Харт, Джо
Erik Satie	Сати, Эрик
Drugi nikejski sabor	Второй Никейский собор
Troskok	Тройной прыжок
Laguna	Лагуна
Riemannova zeta-funkcija	Дзета-функция Римана
Reumatoidni artritis	Ревматоидный артрит
Aberdeen FC	Абердин (футбольный клуб)
Grb Kine	Герб Китайской Народной Республики
Giuseppe Mazzini	Мадзини, Джузеппе
Dr. Watson	Доктор Ватсон
Grb Irske	Герб Ирландии
Svjetsko prvenstvo u nogometu 2010 - grupa B	Чемпионат мира по футболу 2010. Группа B
Eko turizam	Экологический туризм
Stargate SG-1	Звёздные врата: SG-1
Baklava	Пахлава
Honoré Daumier	Домье, Оноре
Akumulator	Электрический аккумулятор
Karlo III, kralj Zapadne Franačke	Карл III Простоватый
Melanin	Меланины
RSC Anderlecht	Андерлехт (футбольный клуб)
Tanin	Танины
Interpolacija	Интерполяция
Emulzija	Эмульсия
Nebeski ekvator	Небесный экватор
Kana	Кана
Termo regulator	Термостат
Emigracija	Эмиграция
Oksidans	Окислитель
Sarin	Зарин
Vitamin B12	Витамин B12
RuneScape	RuneScape
Bohemian Rhapsody	Bohemian Rhapsody
Spisak gradova u Rusiji	Города России
Tracy Chapman	Чэпмен, Трэйси
Leblon	Леблон (Рио-де-Жанейро)
Historija Austrije	История Австрии
Scandinavian Airlines	Scandinavian Airlines System
Fenolftalein	Фенолфталеин
Proizvodnja	Производство
Jahorina	Яхорина (гора)
Kalifornijska pastrmka	Микижа
Vegetacija	Растительность
Sudar (film)	Столкновение (фильм)
Grb Irana	Эмблема Ирана
Apocalypto (film)	Апокалипсис (фильм)
Kamenolom	Карьер
Grb Litvanije	Герб Литвы
Grb Tajlanda	Эмблема Таиланда
Opsada	Осада
Triangulacija	Триангуляция (геодезия)
Zastava Tonge	Флаг Тонга
Grb Čada	Герб Чада
Yoichiro Nambu	Намбу, Ёитиро
Pektin	Пектины
Elizejska palača	Елисейский дворец
Organski sistem	Системы органов животных
Vättern	Веттерн
George Armstrong Custer	Кастер, Джордж Армстронг
Gnom	Гномы (Парацельс)
SEAT	SEAT
Ajet	Аят
1400te	1400-е годы
Ricardo Quaresma	Куарежма, Рикарду
Programska paradigma	Парадигма программирования
Interferon	Интерферон
Princip golubinjaka	Принцип Дирихле (комбинаторика)
Glossop North End AFC	Глоссоп Норт Энд
Motet	Мотет
Pakistanska rupija	Пакистанская рупия
Grb Bahreina	Герб Бахрейна
Grb Brazila	Герб Бразилии
H&M	H&M
Alkmeon	Алкмеон Кротонский
Velšani	Валлийцы
Nogometna reprezentacija Jugoslavije	Сборная Югославии по футболу
Velika glad u Irskoj	Голод в Ирландии (1845—1849)
Južnočeški kraj	Южночешский край
Tau-čestica	Тау-лептон
Srednjočeški kraj	Среднечешский край
Neutrofilni granulociti	Нейтрофильные гранулоциты
FC Kopenhagen	Копенгаген (футбольный клуб, 1992)
ALGOL	Алгол
Crnoglava grmuša	Черноголовая славка
Prirodni resursi	Природные ресурсы
Kanonsko pravo	Каноническое право
Zastava Samoe	Флаг Самоа
Trazimensko jezero	Тразименское озеро
140te	140-е годы
140te p. n. e.	140-е годы до н. э.
Tupoljev Tu-144	Ту-144
Tata Motors	Tata Motors
Horoskop	Гороскоп
Stari most	Старый мост (Мостар)
1410te	1410-е годы
Sporazum iz Bretton Woodsa	Бреттон-Вудская система
Glam metal	Глэм-метал
Privreda Sjedinjenih Američkih Država	Экономика США
Amonijum hlorid	Хлорид аммония
Evropsko prvenstvo u nogometu 1976.	Чемпионат Европы по футболу 1976
Wine	Wine
Legija stranaca	Французский Иностранный легион
Nogometna reprezentacija Makedonije	Сборная Македонии по футболу
Svjetsko prvenstvo u nogometu 2010 - grupa D	Чемпионат мира по футболу 2010. Группа D
Svjetsko prvenstvo u nogometu 2010 - grupa C	Чемпионат мира по футболу 2010. Группа C
Svjetsko prvenstvo u nogometu 2010 - grupa G	Чемпионат мира по футболу 2010. Группа G
Tokamak	Токамак
Svjetsko prvenstvo u nogometu 2010 - grupa F	Чемпионат мира по футболу 2010. Группа F
Cefeida	Цефеиды
Svjetsko prvenstvo u nogometu 2010 - grupa E	Чемпионат мира по футболу 2010. Группа E
Svjetsko prvenstvo u nogometu 2010 - grupa A	Чемпионат мира по футболу 2010. Группа A
Iranski rial	Иранский риал
Zastava Palaua	Флаг Палау
Sonic Youth	Sonic Youth
Harold Brzonogi	Гарольд I (король Англии)
Vulkanizacija	Вулканизация
Matija Korvin	Матьяш I (король Венгрии)
Bridge	Сетевой мост
SI (čvor)	SI
SATA	SATA
Spisak gradova u Norveškoj	Города Норвегии
Rocky	Рокки
FK Partizan Beograd	Партизан (футбольный клуб, Белград)
Intermezzo (himna)	Гимн Боснии и Герцеговины
PLC	Программируемый логический контроллер
Garuda	Гаруда
Edmund Željeznoboki	Эдмунд Железнобокий
Okupacija	Оккупация
Ultimatum	Ультиматум
DirectX	DirectX
Alphonse de Lamartine	Ламартин, Альфонс де
Kilauea	Килауэа
Simfonija br. 5 (Beethoven)	Симфония № 5 (Бетховен)
Ashabi	Сахаба
Most na rijeci Kwai	Мост через реку Квай
Michael Laudrup	Лаудруп, Микаэль
Nesteroidni antiupalni lijekovi	Нестероидные противовоспалительные препараты
Gomelska oblast	Гомельская область
Bosna (regija)	Босния
Muzej moderne umjetnosti (New York)	Нью-Йоркский музей современного искусства
Lukovica	Луковица
Vestalne djevice	Весталки
FLOPS	FLOPS
Telephone	Telephone
Francuska akademija nauka	Французская академия наук
Nogometna reprezentacija Malte	Сборная Мальты по футболу
Superjunak	Супергерой
UEFA Liga prvaka 2008/2009.	Лига чемпионов УЕФА 2008/2009
Falafel	Фалафель
Konkubina	Конкубина
Nogometna reprezentacija Kipra	Сборная Кипра по футболу
Personalna unija	Личная уния
Srpska pravoslavna crkva	Сербская православная церковь
LDAP	LDAP
