Afrika	Африка
Chaco	Чако
Bath	Бат (значения)
Carmel	Кармель (значения)
Chaumont (disheñvelout)	Шомон (значения)
Zoé Oldenbourg	Ольденбург, Зоя Сергеевна
Tortuga	Тортуга (значения)
Korn	Корн
Scarborough	Скарборо (значения)
Yuma	Юма (значения)
Pellann	Плелоф
Aaron	Аарон (значения)
Warwick	Уорик (значения)
Nikolaz Iañ	Николай I (значения)
March	Марх
Aspach	Аспах
Domino (disheñvelout)	Домино (значения)
Aach	Аах
Landau	Ландау
Barry	Барри
Trent	Трент
Kamtchatka	Камчатка (значения)
Vera	Вера (значения)
Roman	Роман (значения)
Saint-Pierre	Сен-Пьер (значения)
Gregor XII	Григорий XII
Brabant	Брабант
Inosant VII	Иннокентий VII
Marzhin IV	Мартин IV
Marinus Iañ	Марин I
Viktor III	Виктор III
Honorius IV	Гонорий IV
Saint-Sulpice	Сен-Сюльпис
Saint-Ouen	Сент-Уан (значения)
Sala	Сала
Mary	Мэри
Guernica	Герника (значения)
Natal	Натал
Fedora	Федора (значения)
Hilarius	Иларий
Orestes	Орест (значения)
Villars	Виллар
Masimilian II	Максимилиан II
Charlez IX	Карл IX
Neuquén	Неукен (значения)
Campeaux (Calvados)	Кампо (Кальвадос)
Southampton (disheñvelout)	Саутгемптон (значения)
San Marcos	Сан-Маркос
Yann IX	Иоанн IX
Yann XVII	Иоанн XVII
Leon VIII	Лев VIII
Paskal II	Пасхалий II
Serj IV	Сергий IV
Yann XIV	Иоанн XIV (папа римский)
Beaulieu (Calvados)	Больё (Кальвадос)
Yann X	Иоанн X (папа римский)
Yann XIX	Иоанн XIX
Gregor VI	Григорий VI (папа римский)
Eon	Эон
Lassy (Calvados)	Ласси (значения)
Erer-sklank	Большой подорлик
Burcy (Calvados)	Бюрси (Кальвадос)
Kirchberg	Кирхберг (значения)
Essen (disheñvelout)	Эссен (значения)
Biz-bihan	Мизинец
Krogenn-alc'hwez	Замок (устройство)
Pepin	Пипин
Roquefort	Рокфор (значения)
Charlestown	Чарлстаун
Écrammeville	Экрамвиль
Oakland	Окленд
Amfreville	Амфревиль
La Chapelle-Engerbold	Ла-Шапель-Энжербольд
Pont-l'Évêque	Пон-л’Эвек
Sainte-Foy	Сент-Фуа
Lawrence of Arabia	Лоуренс Аравийский (фильм)
Pinta	Пинта
Leon IV	Лев IV (папа римский)
Intañvez du	Чёрная вдова (значения)
Marc'harid Aostria	Маргарита Австрийская
Le Breuil-en-Bessin	Ле-Брёй-ан-Бессен
Felis	Кошки (род)
Dampierre	Дампьер
Embarañ	Спаривание
Kant	Кант (значения)
Kali Yuga	Кали-юга
Asnelles	Анель
Don Carlos	Дон Карлос
Republikan	Республиканцы
Aspasia	Аспасия
Stirling	Стерлинг
Svetlana Allilouyeva	Аллилуева, Светлана Иосифовна
Zuia	Суйя (Испания)
Suzanne Collins	Коллинз, Сьюзен
Nazaret (disheñvelout)	Назарет (значения)
Serj II	Сергий II
Yann XV	Иоанн XV
Zuiderzee	Зёйдерзе
Mauretania (disheñvelout)	Мавритания (значения)
Noomi Rapace	Рапас, Нуми
Lea Michele	Мишель, Лиа
Kontelezh Berrien	Берриэн (округ)
Rivera	Ривера
Apaxco	Апаско
Faith	Faith
Zulte (Reter Flandrez)	Зюлте
Wu Cheng'en	У Чэнъэнь
Salome merc'h Herodiadez	Саломея
Linda McCartney	Маккартни, Линда
Mobile	Мобил
Thomas	Thomas (значения)
Valença (disheñvelout)	Валенса
Impalaeriezh c'hall	Французская империя
Monmouth	Монмут (значения)
Mayo	Майо
Lola	Лола
Deiziadur broadel India	Единый национальный календарь Индии
Harlem (disheñvelout)	Гарлем (значения)
María Luisa de Orleans	Мария Луиза Орлеанская
Britannia	Британия
Karv-musk	Кабарговые
San Francisco	Сан-Франсиско
Los Ángeles	Лос-Анджелес (значения)
Peggy Lee	Пегги Ли
Marc'harid Iañ Bro-Skos	Маргарет Норвежская Дева
Janed Iañ Navarra	Иоанна I (королева Наварры)
Katelin Siena	Екатерина Сиенская
Margaret Beaufort (kontez Richmond)	Бофорт, Маргарет
Klaoda Bro-C'hall	Клод Французская
San Miguel	Сан-Мигель
Santo Domingo (disheñvelout)	Санто-Доминго (значения)
Santa Ana	Санта-Ана
San Sebastián	Сан-Себастьян (значения)
Georges-Louis Leclerc de Buffon	Бюффон, Жорж-Луи Леклерк де
Bolívar	Боливар
Palma	Пальма (значения)
Roub' al-C'hali	Руб-эль-Хали
Sucre (disheñvelout)	Сукре (значения)
Ernst Ludwig Kirchner	Кирхнер, Эрнст Людвиг
Maureen O'Hara	О’Хара, Морин
Florida (disheñvelout)	Флорида (значения)
Janed III Navarra	Иоанна III (королева Наварры)
Aelia Eudocia	Евдокия (супруга Феодосия II)
Saint-Georges	Сен-Жорж (значения)
Sandie Shaw	Сэнди Шоу
North	Норт
Linda Ronstadt	Ронстадт, Линда
Blanquefort	Бланкфорт
Adèle Champagn	Адель Шампанская
Falc'hun ruz	Степная пустельга
Agrippina an Henañ	Агриппина Старшая
Arco	Арко
Lucretia	Лукреция
Bona Sforza	Бона Сфорца
Lalanne	Лаланн
Cindy Sherman	Шерман, Синди
Andover	Андовер
Burev Etrebroadel ar Pouezioù hag ar Muzulioù	Международное бюро мер и весов
Kustentin Iañ	Константин I (значения)
Beja	Беджа
Carlos Gardel	Гардель, Карлос
San Antonio	Сан-Антонио (значения)
Wyoming (disheñvelout)	Вайоминг (значения)
Zumaia	Сумая
Wakefield (disheñvelout)	Уэйкфилд
Bradford	Брэдфорд (значения)
Dazont	Будущее (значения)
Kompagnunezh	Компания
Kroaz keltiek	Кельтский крест
Berengaria Navarra	Беренгария Наваррская
Josefina av Leuchtenberg	Жозефина Лейхтенбергская
Maria Kastilha hag Aragon	Мария Арагонская (королева Португалии)
Elgin	Элджин
Agnes Carlsson	Карлссон, Агнес
María Luisa Spagn	Мария Луиза Испанская
Nathalie Dechy	Деши, Натали
Antonia Minor	Антония Младшая
Annie Proulx	Пру, Энни
Mary of Guise	Мария де Гиз
Maria Luisa Carlotta di Borbone-Parma	Мария-Луиза Пармская
Perdikkas	Пердикка
María Luisa Gabriela de Saboya	Мария Луиза Савойская
Elisabetta Farnese	Изабелла Фарнезе
Valeria Messalina	Мессалина
Hortense de Beauharnais	Богарне, Гортензия
Tirana (rannvro)	Тирана (область)
Izabel Bro-C'hall (1389-1409)	Изабелла Валуа (королева Англии)
Agnès Varda	Варда, Аньес
Gallus	Галл
Lok Sabha	Лок сабха
Janed II Navarra	Иоанна II (королева Наварры)
Clément	Клеман
Kannerez (evn)	Трясогузки
Toullañ stagell an teod	Прокол уздечки языка
Maureen O'Sullivan	О’Салливан, Морин
Toullañ an teod	Прокол языка
Herodiadez	Иродиада
Hugo	Хьюго
Trede Republik	Третья республика (значения)
Pantherinae	Большие кошки
Nariño (Colombia)	Нариньо
Arauca (Colombia)	Араука (департамент)
Kleopatra Makedonia	Клеопатра (сестра Александра Македонского)
Binvioù-seniñ dre skrabañ kerdin	Щипковые струнные музыкальные инструменты
Saint-Médard	Сен-Медар
Hasan Al-Banna	Аль-Банна, Хасан
Saint-Christophe	Сен-Кристоф
Sainte Colombe	Сент-Коломб
Châteauneuf	Шатонёф
Astrud Gilberto	Жилберту, Аструд
Saint-Gilles	Сен-Жиль (значения)
Jane Campion	Кэмпион, Джейн
Long Beach	Лонг-Бич (значения)
Preston	Престон (значения)
Violeta Parra	Парра, Виолета
Marc'harid Bro-Skos (santez)	Маргарита Шотландская
Sur	Сур
São Vicente	Сан-Висенте
Gene Tierney	Тирни, Джин
Adelaid Maurienne	Аделаида Савойская
Irene Papas	Папас, Ирен
Maria Cristina an Div Sikilia (1806-1878)	Мария Кристина (королева Испании)
Yann VIII	Иоанн VIII
Chocó	Чоко (департамент)
Carson McCullers	Маккалерс, Карсон
Mary Hopkin	Хопкин, Мэри
Bolívar (departamant)	Боливар (департамент)
KT Tunstall	KT Tunstall
Cauca (departamant)	Каука
Caldas (departamant)	Кальдас
Auge (disheñvelout)	Ож
Labrador (disheñvelout)	Лабрадор
Fukushima	Фукусима
Anita Ekberg	Экберг, Анита
Newark	Ньюарк
Saint James	Святой Иаков
Rouantelezh Bro-Skos	Шотландское королевство
Brozh verr	Мини-юбка
Medellín (disheñvelout)	Медельин (значения)
Skoul gwenn	Степной лунь
San Pedro	Сан-Педро
San Clemente	Сан-Клементе
Isabela	Исабела
Elesbed Bro-C'hall (1727-1759)	Мария Луиза Елизавета Французская
Anne Marie d'Orléans	Анна Мария Орлеанская
Maria Madalena Josefa Teresa Bárbara de Bragança	Барбара Португальская
Sesil Karatantcheva	Каратанчева, Сесиль
Atlántico (departamant)	Атлантико
Mariana Victoria Spagn	Марианна Виктория Испанская
Maria Manuela Portugal	Мария Португальская
Berry	Берри
Fredegunda	Фредегонда
Holland Nevez	Новая Голландия (значения)
Villarrica	Вильяррика
Ana Pauker	Паукер, Анна
Françoise-Athénaïs, markizez Montespan	Монтеспан, Франсуаза-Атенаис де
Folk	Народность
Layla El	Эл, Лейла
Marozia	Марозия
Fausta Flavia Maxima	Флавия Максима Фауста
Constança Arle	Констанция Арльская
Bray	Бре (Bray)
Rod (disheñvelout)	Род (значения)
Anna Foix	Анна де Фуа
Sarah Kane	Кейн, Сара
Mina Mazzini	Мина (певица)
Elesbed Bosnia	Елизавета Боснийская
Sabrenn	Сабля
Dantelezh	Кружево
Harrisburg	Гаррисберг (значения)
Julie London	Джули Лондон
Frañsez a Sal	Франциск Сальский
Adagio	Адажио (значения)
Saint-Palais	Сен-Пале
Sauveterre	Совтер
Macon	Макон (значения)
Hyginus	Гигин
Emmylou Harris	Харрис, Эммилу
Pandion	Пандион
Aron	Арон
Dred roz	Розовый скворец
Wolfram (disheñvelout)	Вольфрам (значения)
Shōnen	Сёнэн
Anjouan	Анжуан
Barbora Cellská	Барбара Цилли
Rouantelezh Asturiez	Астурия (королевство)
Debrer-merien	Муравьиные львы
Maria Amalia Teresa an Div Sikilia	Мария Амалия Неаполитанская
Dolores	Долорес
Janed Navarra (dugez Breizh)	Жанна Наваррская (королева Англии)
Bloavezhioù 400	400-е годы
Hughes	Хьюз
Anne Bonny	Бонни, Энн
Scandentia	Тупайи
Charlotte de Savoie	Шарлотта Савойская
Oolong	Улун
-401	401 год до н. э.
Gad Arktika	Арктический беляк
Nona Gaprindachvili	Гаприндашвили, Нона Терентьевна
Dimeziñ dre heg	Насильственный брак
Guinness (disheñvelout)	Гиннесс (значения)
Porpant-kalet	Смирительная рубашка
Maria Leszczyńska	Мария Лещинская
Hent ar groaz	Крестный путь
Campeche	Кампече (значения)
Ariège	Арьеж (значения)
Honfleur	Онфлёр
Calvados	Кальвадос
Braga	Брага (значения)
Ingeborg Danmark (rouanez Bro-C'hall)	Ингеборга Датская (королева Франции)
Janed II Bourgogn	Жанна II (пфальцграфиня Бургундии)
Sophie Amalie von Braunschweig-Lüneburg	София Амалия Брауншвейг-Люнебургская
Red Bull (disheñvelout)	Red Bull
Janed Bourbon (1337-1378)	Жанна де Бурбон
Kristin Chenoweth	Ченовет, Кристин
Pauley Perrette	Перретт, Поли
Marin	Марин
Charlotte Amalie von Hessen-Kassel	Шарлотта Амалия Гессен-Кассельская
Irmingard Hespengau	Ирменгарда из Хеспенгау
Anne Marie Louise d'Orléans	Анна де Монпансье
Agnès Sorel	Сорель, Агнесса
Meg Cabot	Кэбот, Мэг
Maria Giuseppina di Savoia	Мария-Жозефина Савойская
Artemisia II	Артемисия III
Sophie Dorothea von Braunschweig-Lüneburg	София Доротея Брауншвейг-Целльская
Aphra Behn	Бен, Афра
Kukës (rannvro)	Кукес (область)
Fier (rannvro)	Фиери (область)
Penelope (disheñvelout)	Пенелопа (значения)
Ann Radcliffe	Радклиф, Анна
Le Bény-Bocage	Ле-Бени-Бокаж
Kensonenn staon	Палатальные согласные
Diablo	Diablo
Acton	Актон (значения)
Gisela Bavaria	Гизела Баварская
Saartjie Baartman	Саарти Бартман
Karv brizh	Аксис
Clinchamps-sur-Orne	Кленшан-сюр-Орн
-407	407 год до н. э.
Bellengreville (Calvados)	Бельангревиль
Chicheboville	Шишбовиль
Billy (Calvados)	Бийи (Кальвадос)
Campigny (Calvados)	Кампиньи (коммуна)
Artemisia Iañ	Артемисия I
Broc'h Amerika	Американский барсук
Maria Tereza Spagn (1726–1746)	Мария Тереза Рафаэла Испанская
Donibane Lohizune	Сен-Жан-де-Люз
Canchy (Calvados)	Канши (Кальвадос)
Skol-veur Chile	Чилийский университет
Leonor Plantagenêt	Элеонора Английская (королева Кастилии)
-408	408 год до н. э.
Melisanda a Jeruzalem	Мелисенда Иерусалимская
Auguste Bavaria	Августа Амалия Баварская
Maria Antonietta di Borbone-Spagna	Мария Антония Испанская
Panama	Панама (значения)
Louise Élisabeth d'Orléans	Луиза Елизавета Орлеанская
Chouain	Шуэн
Anctoville	Анктовиль
Lucía Pérez	Перес, Люсия
Tracy Chevalier	Шевалье, Трейси
Kentañ marevezh etre Henegipt	Первый переходный период (Древний Египет)
-409	409 год до н. э.
Guerrero (disheñvelout)	Герреро (значения)
Barbara Strozzi	Строцци, Барбара
Saint-Jean-le-Blanc (Calvados)	Сен-Жан-ле-Блан
Castillon (Calvados)	Кастийон (Кальвадос)
Barra	Барра
Blanche Bourgogn (war-dro 1296-1326)	Бланка Бургундская
Acqueville	Аквиль
Konstanza Aostria	Констанция Австрийская (королева Польши)
Bloavezhioù 40 kt JK	40-е годы до н. э.
Barbery (Calvados)	Барбери (Кальвадос)
Berenguela Iañ Kastilha	Беренгария (королева Кастилии)
Rem Koolhaas	Колхас, Рем
Castilly	Кастийи
Anna May Wong	Вонг, Анна Мэй
Eskern an arzorn	Запястье
Lovisa Sveden (1851-1926)	Ловиса Шведская
Hampton	Хэмптон
Pearl	Перл
Judith Leyster	Лейстер, Юдит
Rutland (disheñvelout)	Ратленд
-410	410 год до н. э.
Bloavezhioù 410	410-е годы
Marta Betania	Марфа и Мария
Gardner	Гарднер
Maria di Modena	Мария Моденская
Sabrina Salerno	Салерно, Сабрина
Bauquay	Боке (Кальвадос)
Arsinoe	Арсиноя
Maria Isabel de Bragança, Rouanez Spagn	Мария Изабелла Португальская
-411	411 год до н. э.
Leila Lopes	Лопес, Лейла
Aubigny	Обиньи
Boussac	Буссак
Bertha Bourgogn	Берта Бургундская
Erer pomarin	Малый подорлик
Saint-Hilaire	Сент-Илер
Varennes	Варен
Aunay-sur-Odon	Оне-сюр-Одон
-412	412 год до н. э.
Cundinamarca	Кундинамарка
Hêrezh (disheñvelout)	Наследование
Burton	Бёртон
Samos (disheñvelout)	Самос (значения)
Serotin daouliv	Двухцветный кожан
Kalliroe	Каллироя
-414	414 год до н. э.
Cervantes	Сервантес (значения)
Lisitea	Лиситея
Maia Tchibourdanidze	Чибурданидзе, Майя Григорьевна
Villeneuve	Вильнёв
-415	415 год до н. э.
Knoxville	Ноксвилл (значения)
Consuelo Velázquez	Веласкес, Консуэло
Soufrière	Суфриер
Brecht	Брехт (значения)
Monte	Монте (значения)
Kalao daougornek	Двурогий калао
Fryne	Фрина
Malam Bacai Sanhá	Санья, Малам Бакай
-416	416 год до н. э.
Zweig	Цвейг
Stella McCartney	Маккартни, Стелла
Balaenopteridae	Полосатиковые
Pekari	Пекариевые
Shelley	Шелли
Garan Japan	Японский журавль
Beatrice Portinari	Портинари, Беатриче
-418	418 год до н. э.
Sandrine Bonnaire	Боннер, Сандрин
Orne	Орн
Putumayo (Colombia)	Путумайо
-419	419 год до н. э.
Norte de Santander	Северный Сантандер
Marie Laurencin	Лорансен, Мари
Enez São Tomé	Сан-Томе (остров)
Peoria (Illinois)	Пеория (Иллинойс)
La Tèsta de Bug	Ла-Тест-де-Бюш
Bloavezhioù 420	420-е годы
-420	420 год до н. э.
Maria Sofia Bavaria	Мария София Баварская
Giovanna Cattanei	Ванноцца деи Каттанеи
Bragança	Браганса
Anna Maria Luisa de' Medici	Анна Мария Луиза Медичи
Catalina Micaela Aostria	Каталина Микаэла Австрийская
Loeiza Savoia (1476-1531)	Луиза Савойская
María Isabel Spagn	Мария Изабелла Испанская
Tereza von Sachsen-Hildburghausen	Тереза Саксен-Гильдбурггаузенская
Louise de Keroual	Керуаль, Луиза Рене де
Luise von Preußen (1838-1923)	Луиза Прусская (1838—1923)
Leonora Carrington	Каррингтон, Леонора
Maria Luisa di Savoia, Priñsez Lambal	Мадам де Ламбаль
Vienna (disheñvelout)	Вена (значения)
Percy	Перси
-421	421 год до н. э.
Saint-Félix	Сен-Фели
Robert Browning	Браунинг, Роберт
Split (disheñvelout)	Сплит
Katarina Jagellonica	Катерина Ягеллонка
Askorn kroazell	Крестец
-422	422 год до н. э.
Maria Eleonora von Brandenburg	Мария Элеонора Бранденбургская
Kloerdi	Семинария
Deià	Дейя
-423	423 год до н. э.
Larroque	Ларрок
Tais	Таис (значения)
Kirene (disheñvelout)	Кирена
Aotonoe	Автоноя
-424	424 год до н. э.
Navad	Эннеада
Thierry Iañ	Теодорих I (король Австразии)
Colette Besson	Бессон, Колетт
Christine von Schleswig-Holstein-Gottorf	Кристина Шлезвиг-Гольштейн-Готторпская
-425	425 год до н. э.
Cernay	Серне
-426	426 год до н. э.
Offa Mercia	Оффа (король Мерсии)
Carlota Spagn	Карлота Жоакина, инфанта Испанская
Stêrwennel jodoù gwenn	Белощёкая болотная крачка
Agnès de France (1171-1240)	Анна Французская (императрица Византии)
Sissi	Сисси
Baou rous	Курганник
Catalina	Каталина
-428	428 год до н. э.
Antonia Major	Антония Старшая
Maria Klementine von Österreich (1777–1801)	Мария Клементина Австрийская
Beatriz Portugal (1372–1410)	Беатриса (королева Португалии)
Kab York	Кейп-Йорк
Paol Iañ	Павел I (значения)
Nikolaz II	Николай II (значения)
Jolanda di Brienne	Иоланта Иерусалимская
Kristina Danmark	Кристина Датская
Barbara Radziwiłł	Радзивилл, Барбара
Weneted (disheñvelout)	Венеты
Blanca Iañ Navarra	Бланка I (королева Наварры)
Bloavezhioù 430	430-е годы
Louise Marie Adélaïde de Bourbon	Мария-Аделаида де Бурбон
Rockford (Illinois)	Рокфорд (Иллинойс)
Elisabeth von Württemberg (1767–1790)	Елизавета Вюртембергская (1767—1790)
Châteaubourg	Шатобур
-431	431 год до н. э.
Sissel Kyrkjebø	Ширшебо, Сиссель
Grimm	Гримм
Daniel Kahneman	Канеман, Даниэль
Sofi Oksanen	Оксанен, Софи
Bali (disheñvelout)	Бали (значения)
Papoua	Папуа
Sofia Romanova	Софья Алексеевна
Spencer Perceval	Персиваль, Спенсер
-432	432 год до н. э.
Hou Yifan	Хоу Ифань
Inês de Castro	Кастро, Инес де
Maria Theresia von Österreich (1816–1867)	Мария-Тереза Австро-Тешинская
Vancouver (Washington)	Ванкувер (Вашингтон)
Erie (Pennsylvania)	Эри (Пенсильвания)
Sailly	Саи
Rosie Pérez	Перес, Рози
Villedieu	Вильдьё
Renad kozh	Старый порядок
Muntjak	Мунтжаки
Simonetta Vespucci	Веспуччи, Симонетта
-435	435 год до н. э.
Moutiers	Мутье
Lemming	Лемминги
Janed Kent	Джоанна Плантагенет, 4-я графиня Кент
Nell Gwynn	Гвин, Нелл
Bangor (Kembre)	Бангор (Уэльс)
Proviñs Santiago de Cuba	Сантьяго-де-Куба (провинция)
Enez Tromelin	Тромлен
Avoultriezh	Супружеская измена
Matilda Savoia	Мафальда Савойская
Marie Friederike Prusia	Мария Фридерика Прусская
Friederike Dorothea von Baden	Фредерика Баденская
Anna Leonowens	Леонуэнс, Анна
Matilda Ringelheim	Матильда Вестфальская
Auguste Wilhelmine von Hessen-Darmstadt	Августа Вильгельмина Гессен-Дармштадтская
Lovisa Ulrika	Луиза Ульрика Прусская
Constanza de Aragón y Castilla	Констанция Арагонская
Cecily von Ziegesar	Цигезар, Сесили фон
Montelaimar	Монтелимар
Nina Hartley	Нина Хартли
Marie-Louise O'Murphy	О’Мёрфи, Луиза
Sophie Magdalene von Brandenburg-Kulmbach	София Магдалена Бранденбург-Кульмбахская
Sofia Magdalena Danmark	София Магдалена Датская
Konstanza Breizh	Констанция (герцогиня Бретани)
Hadit	Хадис
Lea De Mae	Лиа Де Мэй
Hérouville-Saint-Clair	Эрувиль-Сен-Клер
Maria Antonia Aostria (1669-1692)	Мария Антония Австрийская
Kirsten Flagstad	Флагстад, Кирстен
Rachel Ruysch	Рюйш, Рашель
Robin Hobb	Робин Хобб
Maria Antonia an Div Sikilia	Мария Антония Бурбон-Сицилийская (1784—1806)
Hildegard Vintzgau	Хильдегарда из Винцгау
-440	440 год до н. э.
Anita O'Day	О’Дэй, Анита
Mary Read	Рид, Мэри
Bloavezhioù 440	440-е годы
Amaranth	Амарант (значения)
Luftwaffe (disheñvelout)	Люфтваффе (значения)
Island (disheñvelout)	Island
-441	441 год до н. э.
Maria Christina	Мария Кристина
Elizabeth Breizh-Veur	Елизавета Великобританская
Tolima	Толима
Vaupés (departamant)	Ваупес
Janed-Frañseza Chantal	Шанталь, Иоанна де
Kensonenn troc’h-avel	Глоттальные согласные
Dorothea von Sachsen-Lauenburg-Ratzeburg	Доротея Саксен-Лауэнбургская
Galeria Valeria	Галерия Валерия
Teddy Sheringham	Шерингем, Тедди
Sitatunga	Ситатунга
Clara Bow	Боу, Клара
Livilla	Ливилла
Gwitreg	Витре (Иль и Вилен)
Erer-Bonelli	Ястребиный орёл
Faustina an Henañ	Фаустина Старшая
Sarah Siddons	Сиддонс, Сара
-448	448 год до н. э.
Sibylle Jeruzalem	Сибилла Иерусалимская
Goz c'hodellek	Сумчатые кроты
Alla Nazimova	Алла Назимова
Inizi al Linenn	Острова Лайн
Allah	Аллах
Saint-Sébastien	Сен-Себастьен
-449	449 год до н. э.
Milena Jesenská	Есенская, Милена
Maria Ana de Bragança (dugez-veur Luksembourg)	Мария Анна Португальская
Linda Darnell	Дарнелл, Линда
Gabrielle d'Estrées	Габриэль д’Эстре
Córdoba (Colombia)	Кордова (департамент)
Ana Carolina Reston	Рестон, Ана Каролина
Cesar (departamant)	Сесар (департамент)
Huila (departamant)	Уила (департамент)
Tarascon	Тараскон
Bloavezhioù 450	450-е годы
Broioù Katalan	Каталонские земли
Anne Sofie von Otter	Оттер, Анне Софи фон
Richarzh Iañ	Ричард I
Pig-spern penn ruz	Красноголовый сорокопут
Savelleg-karreg	Пёстрый каменный дрозд
Jerry Goldsmith	Голдсмит, Джерри
Maria Josepha von Sachsen (1803–1829)	Мария Жозефа Саксонская (королева Испании)
Alfonso VI León	Альфонсо VI Храбрый
Julia (merc'h da Julius Caesar)	Юлия Цезарис (дочь Цезаря)
Barbara Palmer	Вильерс, Барбара
Ael	Ангел
Buteo	Настоящие канюки
Ton	Тон
Maria Francisca de Assis de Bragança	Мария Франсишка де Браганса
Santander (Colombia)	Сантандер (департамент)
Sucre (Colombia)	Сукре (департамент)
Ziburu	Сибур (город)
Elīna Garanča	Гаранча, Элина
Jakez Iañ (Bro-Skos)	Яков I (король Шотландии)
Herri ar Roue Yaouank	Генрих Молодой Король
Bayonne	Байонна (значения)
-457	457 год до н. э.
Landreger	Трегье
Emgann El Álamo	Защита миссии Аламо
Karroñs	Карета
Janed Iañ Naplez	Джованна I
Kemperle	Кемперле
C'hlodio	Хлодион
Petronila Aragon	Петронила Арагонская
Janed Bro-Saoz (1165-1199)	Иоанна Английская
Cornelia Cinna	Корнелия Цинилла
Paulette Dubost	Дюбо, Полетт
Sœur Sourire	Деккерс, Жаннин
Kocheril Raman Narayanan	Нараянан, Кочерил Раман
Alys Bro-C'hall	Алис Вексенская
Bloavezhioù 460	460-е годы
Banniel Euskal Herria	Флаг Страны Басков
Blanche Évreux	Бланка Наваррская (королева Франции)
Marc'harid Bro-C'hall (rouanez Bro-Saoz)	Маргарита Французская (королева Англии)
Marc'harid Bro-Skos (rouanez Norge)	Маргарет Шотландская (королева Норвегии)
Maria Cristina an Div Sikilia (1779-1849)	Мария Кристина (королева Сардинии)
-461	461 год до н. э.
Anna Aostria (1585-1618)	Анна Тирольская
-462	462 год до н. э.
Igwan	Игуановые
Arletty	Арлетти
Georgiana Cavendish	Кавендиш, Джорджиана
Tir	Тир
Adélaïde Labille-Guiard	Лабиль-Жиар, Аделаида
Irmgard Teurgn	Ирменгарда Турская
Richardis Swabia	Рихарда Швабская
Maria Portugal, Rouanez Kastilha	Мария Португальская (королева Кастилии)
Eridanos	Эридан
Gunilla Bielke	Гунилла Юханссдоттер
Friederike Luise von Hessen-Darmstadt	Фридерика Луиза Гессен-Дармштадтская
Caroline Lamb	Лэм, Каролина
Emma Bavaria	Эмма Баварская
Luise von Sachsen-Gotha-Altenburg (1800–1831)	Луиза Саксен-Гота-Альтенбургская (1800—1831)
Maria Antonia Naplez-Sikilia (1814–1898)	Мария Антония Бурбон-Сицилийская (1814—1898)
Blomberg	Бломберг (значения)
Miss Kittin	Miss Kittin
Ada Karia	Ада Карийская
Maria Ana de Bragança (1843-1884)	Мария Анна Кобург-Браганская
Maria-Amélia de Bragança	Мария Амелия Бразильская
Albin	Альбин (значения)
Anna Sofia Danmark	Анна София Датская
Mafalda di Savoia	Мафальда Савойская (1902—1944)
Marc'harid Bro-C'hall, dugez Berry	Маргарита Французская (герцогиня Савойская)
Renée Bro-C'hall	Рене Французская
Izabel Portugal (santez)	Святая Изабелла Португальская
Kumun	Коммуна
Claude	Клод
-468	468 год до н. э.
Evelyn De Morgan	Морган, Эвелин де
Leonor Varela	Варела, Леонор
Stefan VII	Стефан VII (VIII)
Ivete Sangalo	Сангалу, Ивечи
Clarice Lispector	Лиспектор, Клариси
Françoise Dorléac	Дорлеак, Франсуаза
Chavela Vargas	Варгас, Чавела
Libertad Lamarque	Ламарке, Либертад
Giuseppina Bakhita	Джузеппина Бахита
Sofonisba Anguissola	Ангиссола, Софонисба
Lavinia Fontana	Фонтана, Лавиния
C'hrisippos	Хрисипп (значения)
Bloavezhioù 470	470-е годы
470 (bag)	470 (класс гоночных яхт)
-471	471 год до н. э.
Angela Merici	Меричи, Анджела
Janed Bro-C'hall (1464-1505)	Жанна Французская
Dargreiz	Талия (часть тела)
Giulia Farnese	Фарнезе, Джулия
Koulm (sant)	Колумба
-474	474 год до н. э.
Skritur taiek	Тайское письмо
Yezhoù papouek	Папуасские языки
Evned lenn Stimfalos	Стимфалийские птицы
-476	476 год до н. э.
Helene Fischer	Фишер, Хелена
Ezpeleta	Эспелет
Christina Rossetti	Россетти, Кристина Джорджина
Keltia	Кельтские регионы
Marcel Pagnol	Паньоль, Марсель
Rebecca West	Уэст, Ребекка
Aberdeen (South Dakota)	Абердин (Южная Дакота)
Santez Kristen	Святая Нина
Bloavezhioù 480	480-е годы
Diana Wynne Jones	Джонс, Диана Уинн
Ludovico Sforza	Сфорца, Лодовико
Bretagne	Бретань (значения)
Janed ar Beltraneja	Хуана Бельтранеха
Rochebrune	Рошбрюн
Beatrice d'Aragona	Беатриса Арагонская
Leonor Foix	Элеонора Арагонская (королева Наварры)
Maria Leopoldine von Österreich-Tirol	Мария Леопольдина Австрийская (жена Фердинанда III)
Hessen (disheñvelout)	Гессен (значения)
Katelin Navarra	Екатерина де Фуа
Karl Alexander	Карл Александр
Germana de Foix	Жермена де Фуа
Lippe	Липпе
Philippa of Lancaster	Филиппа Ланкастерская
Pompei	Помпеи (значения)
Juana Enríquez	Хуана Энрикес
Maria Anna Aostria (1718-1744)	Мария Анна Австрийская (1718–1744)
Faustina ar Yaouankañ	Фаустина Младшая
Erica Jong	Йонг, Эрика
Amélie d'Orléans	Амелия Орлеанская
Beatriz Kastilha ha Guzmán	Беатриса Кастильская (жена Афонсу III)
Ї	Ї (кириллица)
Wilhelmine Prusia (1774–1837)	Вильгельмина Прусская (1774—1837)
Ў	Ў
