Afrika	Африка
Japan	Япония
Suamerika	Южная Америка
Norvegia	Норвегия
Bro-Saoz	Англия
Bro-Skos	Шотландия
Kembre	Уэльс
Norzhiwerzhon	Северная Ирландия
Republik Iwerzhon	Ирландия
Hungaria	Венгрия
Spagn	Испания
Stadoù-Unanet Amerika	Соединённые Штаты Америки
Belgia	Бельгия
Luksembourg (bro)	Люксембург
Hollved	Вселенная
Douar (planedenn)	Земля
Buhez	Жизнь
Marv	Смерть
Den	Человек разумный
George Washington	Вашингтон, Джордж
Tim Berners-Lee	Бернерс-Ли, Тим
Leet speak	Leet
Stanley Kubrick	Кубрик, Стэнли
Finland	Финляндия
Sveden	Швеция
Danmark	Дания
Polonia	Польша
Lituania	Литва
Italia	Италия
Suis	Швейцария
Aostria	Австрия
Gres (bro)	Греция
Turkia	Турция
Bier	Пиво
Portugal	Португалия
Europa (kevandir)	Европа
Azia	Азия
Norzhamerika	Северная Америка
Antarktika	Антарктида
Wikipedia	Википедия
Izelvroioù	Нидерланды
Kalc'h	Пенис у животных
Lavar PHP	PHP
New York	Нью-Йорк
Washington D.C.	Вашингтон (округ Колумбия)
San Francisco (Kalifornia)	Сан-Франциско
Berlin	Берлин
Los Angeles (Kalifornia)	Лос-Анджелес
Urzhiataer	Компьютер
Bern	Берн
Geneva	Женева
Zürich	Цюрих
IRC	IRC
Internet	Интернет
Barack Obama	Обама, Барак
Uruguay	Уругвай
Basel	Базель
Moullerez	Принтер
Londrez	Лондон
Kaero	Каир
Aleksandria	Александрия
Alexandria (Virginia)	Александрия (Виргиния)
Aval	Яблоко
Pariz	Париж
Abraham Lincoln	Линкольн, Авраам
Google	Google (компания)
Mec'hiko	Мексика
Meurvor Atlantel	Атлантический океан
Meurvor Habask	Тихий океан
Kalifornia	Калифорния
Boston	Бостон
Lun (deiz)	Понедельник
Egor	Пространство
Genver	Январь
C'hwevrer	Февраль
Meurzh (miz)	Март
Meurzh (planedenn)	Марс
Meurzh (doue)	Марс (мифология)
Kenya	Кения
Etiopia	Эфиопия
Ghana	Гана
Ebrel	Апрель
Mae	Май
Mezheven	Июнь
Gouere	Июль
Eost	Август
Gwengolo	Сентябрь
Here	Октябрь
Du	Ноябрь
Kerzu	Декабрь
Meurzh (deiz)	Вторник
Merc'her (deiz)	Среда
Yaou (deiz)	Четверг
Gwener (deiz)	Пятница
Sadorn (deiz)	Суббота
Sul (deiz)	Воскресенье
Leon (loen)	Лев
Bro-C'hall	Франция
Esperanteg	Эсперанто
Ki	Собака
Rouantelezh-Unanet	Великобритания
Kazh	Кошка
Republik Pobl Sina	Китайская Народная Республика
Galleg	Французский язык
Wikeriadur	Викисловарь
Pesk	Рыбы
Etanol	Этанол
Brazil	Бразилия
