Afrik	Африка
Japon	Япония
Amerik disid	Южная Америка
Nòvèj	Норвегия
Angletè	Англия
Ekòs	Шотландия
Gal	Уэльс
Ilann dinò	Северная Ирландия
Ilann	Ирландия
Ongri	Венгрия
Espay	Испания
Etazini	Соединённые Штаты Америки
Bèljik	Бельгия
Liksanbou (peyi)	Люксембург
Linivè	Вселенная
Latè	Земля
Lavi	Жизнь
Lanmò	Смерть
Homo sapiens	Человек разумный
George Washington	Вашингтон, Джордж
Fenlann	Финляндия
Syèd	Швеция
Danmak	Дания
Polòy	Польша
Lityani	Литва
Itali	Италия
Swis	Швейцария
Otrich	Австрия
Grès	Греция
Tiki	Турция
Byè	Пиво
Pòtigal	Португалия
Ewòp	Европа
Azi	Азия
Amerik dinò	Северная Америка
Antatik (kontinan)	Антарктида
Wikipedya	Википедия
Peyiba	Нидерланды
Nouyòk	Нью-Йорк
Wachintòn	Вашингтон (округ Колумбия)
San Francisco, Kalifòni	Сан-Франциско
Bèlen	Берлин
Los Angeles, Kalifòni	Лос-Анджелес
Òdinatè	Компьютер
Bèn	Берн
Zirik	Цюрих
Entènet	Интернет
Barack Obama	Обама, Барак
Irigwe	Уругвай
Lonn	Лондон
Li Kè	Каир
Alexandria, Vijini	Александрия (Виргиния)
Pòm	Яблоко
Pari	Париж
Abraham Lincoln	Линкольн, Авраам
Google	Google (компания)
Meksik	Мексика
Atlantik	Атлантический океан
Pasifik	Тихий океан
Kalifòni	Калифорния
Boston, Massachusetts	Бостон
Lendi	Понедельник
Janvye	Январь
Fevriye	Февраль
Mas (mwa)	Март
Mas (planèt)	Марс
Kenya	Кения
Etyopi	Эфиопия
Gana	Гана
Avril	Апрель
Me	Май
Jen	Июнь
Jiyè	Июль
Out	Август
Septanm	Сентябрь
Oktòb	Октябрь
Novanm	Ноябрь
Desanm	Декабрь
Madi	Вторник
Mèkredi	Среда
Jedi	Четверг
Vandredi	Пятница
Samdi	Суббота
Dimanch	Воскресенье
Lyon	Лев
Frans	Франция
Chen	Собака
Wayòm Ini	Великобритания
Chat	Кошка
Lang franse	Французский язык
Pwason	Рыбы
Brezil	Бразилия
Alkòl	Спирты
Risi	Россия
Balèn	Китообразные
Kare	Квадрат
Lanmè	Море
Pi (matematik)	Пи (число)
Π	Пи (буква)
Mango	Манго (фрукт)
Alabama	Алабама
São Paolo	Сан-Паулу
Kebèk	Квебек
Almay	Германия
Byelorisi	Белоруссия
Alman	Немецкий язык
Islann	Исландия
Bondye	Бог
Estoni	Эстония
Satin	Сатурн
Seriz	Вишня (плод)
Avyon	Самолёт
Lagè	Война
1 (nonm)	1 (число)
2 (nonm)	2 (число)
3 (nonm)	3 (число)
4 (nonm)	4 (число)
5 (nonm)	5 (число)
0 (nonm)	0 (число)
Rektang	Прямоугольник
Letoni	Латвия
Ikrèn	Украина
Tchèki	Чехия
Slovaki	Словакия
Sloveni	Словения
Vilnis	Вильнюс
Moldavi	Молдавия
Woumani	Румыния
Bilgari	Болгария
Ròm	Рим
Repiblik d Masedoni	Республика Македония
Albani	Албания
Kroasi	Хорватия
Bosni ak Erzegovin	Босния и Герцеговина
Azerbaydjan	Азербайджан
Andora	Андорра
Chip	Республика Кипр
Jeoji	Грузия
Kazakstan	Казахстан
Malt	Мальта
Monako (kapital)	Монако
Montenegwo	Черногория
Vatikan	Ватикан
Sen Maren (peyi)	Сан-Марино
Briksèl	Брюссельский столичный регион
Kiba	Куба
Beliz	Белиз
Lababad	Барбадос
Java	Java
Endonezi	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Afrik disid (peyi)	Южно-Африканская Республика
Aljeri	Алжир
Ouzbekistan	Узбекистан
Tachkènt	Ташкент
Vasovi	Варшава
Diven	Вино
Dlo	Вода
Kwi	Кожа (материал)
Bwa	Древесина
Chili	Чили
Jezi	Иисус Христос
Galileo Galilei	Галилей, Галилео
Mèki (planèt)	Меркурий
Istwa	История
Apple	Apple
Venis (planèt)	Венера
Lang (pawòl)	Язык
Galaksi	Галактика
Jipitè (planèt)	Юпитер
Teyori big-bang	Большой взрыв
Iranis	Уран (планета)
Neptin (planèt)	Нептун
Astwonomi	Астрономия
Sengapou (peyi)	Сингапур
Syans	Наука
Pliton	Плутон
Monreyal (komin)	Монреаль
Avni	Будущее
Lichtènstayn	Лихтенштейн
Espò (divètisman)	Спорт
Adolf Hitler	Гитлер, Адольф
Ubuntu	Ubuntu
Skopje	Скопье
Linux	Linux
Matematik	Математика
Barayn	Бахрейн
Ameni	Армения
Sèbi	Сербия
Lalin	Луна
Istanboul	Стамбул
Ostrali	Австралия
Bob Marley	Марли, Боб
Fizik	Физика
Ajantin	Аргентина
Telekominikasyon	Электросвязь
Pewou	Перу
Biyoloji	Биология
Kore dinò	Корейская Народно-Демократическая Республика
Kanbòdj	Камбоджа
Dinozò	Динозавры
Islamis	Ислам
Kurów (komin)	Курув (гмина)
Lyoubyana	Любляна
Etid plant	Ботаника
Rou	Колесо
Lapè	Мир (отсутствие войны)
Lyon (vil)	Лион
Inyon Ewopeyèn	Европейский союз
Philipp Ludwig von Seidel	Зейдель, Филипп Людвиг фон
Fanm	Женщина
Sofia	София
Zanmi	Дружба
Anis (anatomi)	Анус
Sitron	Лимон
Bannann	Банан
666 (almanak jilyen)	666 год
Flè	Цветок
Vil	Город
Napoléon Bonaparte	Наполеон I
Etwal	Звезда
Solèy	Солнце
Syèl	Небо
Ane-limyè	Световой год
Victor Hugo	Гюго, Виктор
Oseyani	Океания
Atletis	Лёгкая атлетика
Sistèm solè	Солнечная система
Idwojèn	Водород
Elyòm	Гелий
Dan	Зубы человека
Lityòm	Литий
Berilyòm	Бериллий
Liv (pou li)	Книга
Jou (Tan)	Сутки
Timò oryantal	Восточный Тимор
Nwit	Ночь
Lane	Год
Syèk	Век
Oslo	Осло
Twou nwa	Чёрная дыра
Lisbòn	Лиссабон
Ichiro Suzuki	Судзуки, Итиро
Kabòn	Углерод
Azòt	Азот
Oksijèn	Кислород
Planèt	Планета
Mizik	Музыка
Tèmomèt	Термометр
Moskou	Москва
Fliyò	Фтор
Neyon	Неон
Saint-Pétersbourg	Санкт-Петербург
Tchad	Чад
Sodyòm	Натрий
Nò	Север
Manyezyòm	Магний
Aliminyòm	Алюминий
Nouvèl Zelann	Новая Зеландия
Sid	Юг
End	Индия
Silisyòm	Кремний
Fransyòm	Франций
Touvalou	Тувалу
Fosfò	Фосфор
André-Marie Ampère	Ампер, Андре-Мари
Fè	Железо
Tonga	Тонга
Lwès	Запад
Alessandro Volta	Вольта, Алессандро
Souf	Сера
Samoa	Самоа
Lès	Восток
Salomon	Соломоновы Острова
Vanwatou	Вануату
Molière	Мольер
Klò	Хлор
Papwazi-Nouvèl-Gine	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Palao	Палау
Agon	Аргон
Naorou	Науру
Mikwonezi (peyi)	Федеративные Штаты Микронезии
Potasyòm	Калий
Kalsyòm	Кальций
Plon	Свинец
Machal	Маршалловы Острова
Kiribès	Кирибати
Mongoli	Монголия
Fidji	Фиджи
Skandyòm	Скандий
Titàn	Титан (элемент)
Venezwela	Венесуэла
Echèk	Шахматы
Vanadyòm	Ванадий
Mèn	Мэн (штат)
Kwòm	Хром
Cheval	Домашняя лошадь
Amstèdam	Амстердам
Zam	Оружие
Zannimo	Животные
Sirinam	Суринам
Manganèz	Марганец
Paragwe	Парагвай
Giyàn	Гайана
La (aktivite)	Искусство
Ekwatè (peyi)	Эквадор
Kolonbi	Колумбия
