Afrik	Африка
William Kingdon Clifford	Клиффорд, Уильям Кингдон
Andre Weil	Вейль, Андре
Michel Rolle	Ролль, Мишель
Gaston Julia	Жюлиа, Гастон Морис
Antoine Augustin Cournot	Курно, Антуан Огюстен
Loránd Eötvös	Этвёш, Лоранд
Osborne Reynolds	Рейнольдс, Осборн
Guarino Guarini	Гварини, Гварино
George Green	Грин, Джордж
22 (menm non)	22 (значения)
Alan Guth	Гут, Алан Харви
Kip Stephen Thorne	Торн, Кип Стивен
Peter Lax	Лакс, Питер
Sergei Lvovich Sobolev	Соболев, Сергей Львович
Nuruddin Farah	Фарах, Нуруддин
Egzositoz	Экзоцитоз
Fairfield, Kalifòni	Фэрфилд (Калифорния)
Mezodèm	Мезодерма
Sergei Vavilov	Вавилов, Сергей Иванович
George Darwin	Дарвин, Джордж Говард
Konstant iyonizasyon baz	Константа диссоциации кислоты
Pavel Alexandrov	Александров, Павел Сергеевич
Grigory Margulis	Маргулис, Григорий Александрович
Plymouth, Massachusetts	Плимут (Массачусетс)
Arpad Elo	Эло, Арпад
George David Birkhoff	Биркгоф, Джордж Дэвид
Laramie, Wyoming	Ларами (Вайоминг)
Shiing-Shen Chern	Чэнь Синшэнь
Clarksville, Tennessee	Кларксвилл (Теннесси)
Parkersburg (Vijini de Lwès)	Паркерсберг (Западная Виргиния)
Bouche	Мясник
Úbeda (Jaén)	Убеда
Resi	Квитанция
Abraham Pais	Пайс, Абрахам
Abraham Plessner	Плеснер, Абрам Иезекиилович
Abraham Robinson	Робинсон, Абрахам
Abraham Sharp	Шарп, Абрахам
Abram Samoilovitch Besicovitch	Безикович, Абрам Самойлович
Ѣ	Ѣ
Schenectady, New York	Скенектади
Michael Steele	Стил, Майкл Стефан
Andodèm	Энтодерма
John Smith	Смит, Джон (лейборист)
Chimyosentèz	Хемосинтез
Laj absoli	Абсолютный геологический возраст
Loja (Grenad)	Лоха (Испания)
Michael Freedman	Фридман, Майкл
Enrico Bombieri	Бомбиери, Энрико
Desmond Dekker	Деккер, Десмонд
William Thurston	Тёрстон, Уильям Пол
Curtis McMullen	Макмуллен, Кёртис
Klaus Roth	Рот, Клаус Фридрих
Sergei Petrovich Novikov	Новиков, Сергей Петрович (математик)
Richard Borcherds	Борчердс, Ричард
David Mumford	Мамфорд, Дэвид
Pierre-Louis Lions	Лионс, Пьер-Луи
Simon Donaldson	Дональдсон, Саймон
Efim Zelmanov	Зельманов, Ефим Исаакович
Solisyon sisatire	Пересыщение
William Sealy Gosset	Госсет, Уильям Сили
Shing-Tung Yau	Яу Шинтан
Newport News, Vijini	Ньюпорт-Ньюс
Henry Briggs	Бригс, Генри
Stephen Cole Kleene	Клини, Стивен Коул
Dlo ize	Сточные воды
Harrison, New Jersey	Хэррисон (Нью-Джерси)
Baron Penney	Пенни, Уильям Джордж
Pavel Florensky	Флоренский, Павел Александрович
Thomas Simpson	Симпсон, Томас
George Dantzig	Данциг, Джордж
Paul Stern	Штерн, Пауль
George Batchelor	Бэтчелор, Джордж
88 (nonm)	88 (число)
Hampton, Vijini	Хэмптон (Виргиния)
Suffolk, Vijini	Саффолк (Виргиния)
Portsmouth, Vijini	Портсмут (Виргиния)
Acworth, Georgie	Акворт
Adairville, Kentucky	Эдервилль (Кентукки)
Isadore Singer	Зингер, Изадор
Goro Shimura	Симура, Горо
Reggie Fils-Aime	Филс-Эйм, Реджи
John Edensor Littlewood	Литлвуд, Джон Идензор
Giovanni Battista Venturi	Вентури, Джованни Баттиста
Tullio Levi-Civita	Леви-Чивита, Туллио
Gabriel Lame	Ламе, Габриель
Mikhail Gromov	Громов, Михаил Леонидович
Horace Andy	Хорас Энди
Anri Kristòf	Кристоф, Анри
Aleksann Petyon	Петион, Александр
Antoine Arnauld	Арно, Антуан (сын)
Adelanto, Kalifòni	Аделанто
Mitchell Feigenbaum	Фейгенбаум, Митчелл
Mikhail Vasilievich Ostrogradsky	Остроградский, Михаил Васильевич
Charles Dupuy	Дюпюи, Шарль
Wilbur Smith	Смит, Уилбур
Rafael Bombelli	Бомбелли, Рафаэль
Lorenzo Mascheroni	Маскерони, Лоренцо
Yakov Borisovich Zel'dovich	Зельдович, Яков Борисович
Ettore Majorana	Майорана, Этторе
Orange Park, Florid	Ориндж-Парк (Флорида)
Adriaan Fokker	Фоккер, Адриан
595 (nonm)	595 (число)
631 (nonm)	631 (число)
811 (nonm)	811 (число)
964 (nonm)	964 (число)
Maxim Kontsevich	Концевич, Максим Львович
Jean-Christophe Yoccoz	Йокко, Жан-Кристоф
Daniel Quillen	Квиллен, Даниель
Vladimir Voevodsky	Воеводский, Владимир Александрович
Tom Lehrer	Лерер, Том
Sizzla	Sizzla
Jean-Charles de Borda	Борда, Жан-Шарль де
Alexander Beilinson	Бейлинсон, Александр Александрович
Alan Sokal	Сокал, Алан
Hugh Everett	Эверетт, Хью
Peter Shor	Шор, Питер
John Stewart Bell	Белл, Джон Стюарт
Paul Halmos	Халмош, Пол Ричард
Shawn Wayans	Уэйанс, Шон
Keith Mitchell	Митчелл, Кит
George William Hill	Хилл, Джордж Уильям
Viktor Bunyakovsky	Буняковский, Виктор Яковлевич
Srinivasa Varadhan	Варадхан, Сатхамангалам Рави Сриниваса
Paprika Korps	Paprika Korps
Joseph Nemours Pierre-Louis	Немур Пьер-Луи, Жозеф
Con Dao	Кондао
Daly City	Дейли-Сити (Калифорния)
Pembroke Pines, Florid	Пемброк-Пайнс
Manderson, Wyoming	Мандерсон (Вайоминг)
Samuel Dalembert	Далемберт, Сэмюэл
Claude Gaspard Bachet de Meziriac	Баше де Мезириак, Клод Гаспар
Rene-Louis Baire	Бэр, Рене-Луи
Eugenio Beltrami	Бельтрами, Эудженио
Solomon Lefschetz	Лефшец, Соломон
Serge Lang	Ленг, Серж
Jean Dieudonne	Дьёдонне, Жан
Andrey Nikolayevich Tychonoff	Тихонов, Андрей Николаевич
220 (nonm)	220 (число)
Bipèd	Бипедализм
787 (nonm)	787 (число)
Hanover, Minnesota	Хановер (город, Миннесота)
Pinedale, Wyoming	Пайндейл (Вайоминг)
739 (nonm)	739 (число)
233 (nonm)	233 (число)
Koulè konplemantè	Дополнительные цвета
Nikolai Luzin	Лузин, Николай Николаевич
Ivan Mikheevich Pervushin	Первушин, Иван Михеевич
Leonard Jimmie Savage	Сэвидж, Леонард Джимми
248 (nonm)	248 (число)
669 (nonm)	669 (число)
Charles-Eugène Delaunay	Делоне, Шарль-Эжен
903 (nonm)	903 (число)
Porcuna (Jaén)	Поркуна
Kanpèch	Кампешевое дерево
Chittagong	Читтагонг
611 (nonm)	611 (число)
Almaluez	Альмалуэс
Hokah, Minnesota	Хока (город, Миннесота)
Bell, Kalifòni	Белл (Калифорния)
Maurice Kendall	Кендалл, Морис Джордж
Megh Nad Saha	Саха, Мегнад
Jacques Ozanam	Озанам, Жак
Rock Springs, Wyoming	Рок-Спрингс (Вайоминг)
Régis Debray	Дебре, Режи
488 (nonm)	488 (число)
Vetivè	Ветивер
231 (nonm)	231 (число)
Pierre Varignon	Вариньон, Пьер
Tamariyo	Тамарилло
Oliver Lodge	Лодж, Оливер Джозеф
Joseph Plateau	Плато, Жозеф
Harold Jeffreys	Джеффрис, Гарольд
Ovil	Семязачаток
Lucky Dube	Дубе, Лаки
Louis Slotin	Злотин, Луис Александер
Oscar Zariski	Зарисский, Оскар
Gustavus Simmons	Симмонс, Густавус Джеймс
Yuri Ershov	Ершов, Юрий Леонидович
Naum Vilenkin	Виленкин, Наум Яковлевич
Roland Dobrushin	Добрушин, Роланд Львович
Gilles de Roberval	Роберваль, Жиль
Louis Poinsot	Пуансо, Луи
Damon Wayans	Уэйанс, Дэймон
Raoul Cédras	Седра, Рауль
633 (nonm)	633 (число)
Vladimir Abramovich Rokhlin	Рохлин, Владимир Абрамович
Degre	Градус
Begíjar (Jaén)	Бехихар
Palm Beach Shores, Florid	Палм-Бич-Шорс (Флорида)
Lev Schnirelmann	Шнирельман, Лев Генрихович
Jules Antoine Lissajous	Лиссажу, Жюль Антуан
Des Plaines, Ilinwa	Дес-Плейнс
Malibu, Kalifòni	Малибу (город)
485 (nonm)	485 (число)
Centennial, Kolorado	Сентенниал (Колорадо)
686 (nonm)	686 (число)
Celina, Ohio	Селина
Pis	Блохи
Şehrazat	Шахерезада (композитор)
Old Orchard Beach, Maine	Олд-Орчард-Бич (Мэн)
Newport, Nebraska	Ньюпорт (Небраска)
Afton, Wyoming	Афтон (Вайоминг)
753 (nonm)	753 (число)
Peter Barlow	Барлоу, Питер
Matie	Евангелие от Матфея
Everett, Washington	Эверетт (Вашингтон)
Siklòn Ike	Айк (ураган)
Agenor	Агенор
Peryòd (jewoloji)	Геологический период
Agoura Hills, Kalifòni	Агура-Хиллз
155 (menm non)	155 (значения)
121 (menm non)	121 (значения)
104 (menm non)	104 (значения)
151 (menm non)	151 (значения)
1776 (menm non)	1776 (значения)
Djibouti (menm non)	Джибути (значения)
Agudo	Агуду
Agranman	Агамы
11 (menm non)	11 (значения)
800 (menm non)	800 (значения)
Palm Desert, Kalifòni	Палм-Дезерт
1900 (menm non)	1900 (значения)
420 (menm non)	420 (значения)
Cromwell, Connecticut	Кромвель (Коннектикут)
Ainsworth, Nebraska	Эйнсуорт (Небраска)
100 (menm non)	100 (значения)
John Kerr	Керр, Джон
Etienne	Этьен
Falls Church, Vijini	Фолс-Черч
Lwa (syans)	Закон (наука)
1100 (menm non)	1100 (значения)
1987 (menm non)	1987 (значения)
Ajo, Arizona	Ахо (город)
Ajuricaba	Ажурикаба
Aki	Аки (растение)
Islandia	Исландия (значения)
Blastila	Бластула
Southington, Connecticut	Саутингтон (Коннектикут)
Bromazepam	Бромазепам
Klowokin	Хлорохин
Doksisiklin	Доксициклин
Jantamisin	Гентамицин
Makrolid	Макролиды
Neomisin	Неомицин
777 (nonm)	777 (число)
Moraleda de Zafayona (Grenad)	Мораледа-де-Сафайона
George Lusztig	Люстиг, Джордж
Salobreña (Grenad)	Салобренья
Evan, Minnesota	Эван (город, Миннесота)
Andre Schwarz-Bart	Шварц-Барт, Андре
265 (nonm)	265 (число)
Karnes City, Texas	Карнс-Сити (Техас)
85 (nonm)	85 (число)
10000 (nonm)	10 000 (число)
Vyolèt	Фиолетовый цвет
Asosi	Момордика харанция
Los Palacios y Villafranca (Seville)	Лос-Паласьос-и-Вильяфранка
Woz (koulè)	Розовый цвет
Bellingham, Washington	Беллингхем (Вашингтон)
498 (nonm)	498 (число)
663 (nonm)	663 (число)
Marianne Jean-Baptiste	Жан-Батист, Мэрианн
369 (nonm)	369 (число)
Chico, Kalifòni	Чико (Калифорния)
27 (nonm)	27 (число)
35 (nonm)	35 (число)
64 (nonm)	64 (число)
99 (nonm)	99 (число)
AN	Ан
Altha, Florid	Алта (Флорида)
Lev Gor'kov	Горьков, Лев Петрович
Christophorus Buys Ballot	Бёйс-Баллот, Христофор Хенрик Дидерик
Edward Kasner	Казнер, Эдвард
Paul Pierre Levy	Леви, Поль
Jean Leray	Лере, Жан
Victor Frederick Weisskopf	Вайскопф, Виктор Фредерик
Prince Buster	Принц Бастер
Alexandre-Theophile Vandermonde	Вандермонд, Александр Теофил
George Atwood	Атвуд, Джордж
Raymond Smullyan	Смаллиан, Рэймонд Меррилл
Raoul Bott	Ботт, Рауль
Arthur Milne	Милн, Эдуард Артур
Richard Bellman	Беллман, Ричард
Saunders Mac Lane	Маклейн, Саундерс
William George Horner	Горнер, Уильям Джордж
Gabriele Veneziano	Венециано, Габриэле
Dominique Fernandez	Фернандес, Доминик
William Burnside	Бёрнсайд, Уильям
Altoona, Pennsilvani	Алтуна
108 (nonm)	108 (число)
101 (nonm)	101 (число)
Alturas, Kalifòni	Альтурас (Калифорния)
Jacques Herbrand	Эрбран, Жак
Alvin Weinberg	Вайнберг, Элвин
Garcelle Beauvais	Бове, Гарсель
Julia Alvarez	Альварес, Хулия
Olga Aleksandrovna Ladyzhenskaya	Ладыженская, Ольга Александровна
Marina Ratner	Ратнер, Марина Евсеевна
Chien-Shiung Wu	Ву Цзяньсюн
Lela Rochon	Рошон, Лела
Edwidge Danticat	Дантика, Эдвидж
Lespinasse	Леспинас, Жюли де
Maya Deren	Майя Дерен
Lisa Randall	Рэндалл, Лиза
Grace Jones	Джонс, Грейс
Alájar (Huelva)	Алахар
August Leopold Crelle	Крелле, Август Леопольд
Fedor Bogomolov	Богомолов, Фёдор Алексеевич
Pierre Wantzel	Ванцель, Пьер
Hendrick Kramers	Крамерс, Хендрик Антони
Giovanni Ceva	Чева, Джованни
Macedonio Melloni	Меллони, Мачедонио
Lev Pontryagin	Понтрягин, Лев Семёнович
Ivan Matveyevich Vinogradov	Виноградов, Иван Матвеевич
Jacques Tits	Титс, Жак
Gaspard de Prony	Прони, Гаспар де
Giambattista Benedetti	Бенедетти, Джамбатиста
Anatoly Vershik	Вершик, Анатолий Моисеевич
Roger Cotes	Котс, Роджер
William Brouncker	Браункер, Уильям
Trevor Wooley	Вули, Тревор
Pavel Samuilovich Urysohn	Урысон, Павел Самуилович
Charles Bell	Белл, Чарлз (физиолог)
Boris Weisfeiler	Вейсфейлер, Борис Юльевич
Alexander Givental	Гивенталь, Александр Борисович
Douglas Hartree	Хартри, Дуглас Рейнер
King Tubby	Кинг Табби
William Whiston	Уистон, Уильям
Julia Robinson	Робинсон, Джулия
Nikolay Bogolyubov	Боголюбов, Николай Николаевич
John Graunt	Граунт, Джон
Liv Mòman	Книга Мормона
Thomas Bradwardine	Брадвардин, Томас
Grand Island, Nebraska	Гранд-Айленд (Небраска)
Kenosha, Wisconsin	Кеноша (Висконсин)
Idrat	Гидраты
White Plains, New York	Уайт-Плейнс
Urbana, Ilinwa	Эрбана (Иллинойс)
Glisman lan	Ползучесть материалов
Cape Coral, Florid	Кейп-Корал (Флорида)
Evanston, Ilinwa	Эванстон (Иллинойс)
Lakewood, Kolorado	Лейквуд (Колорадо)
Tatyana Afanasyeva	Афанасьева, Татьяна Алексеевна
Maryse Condé	Конде, Мариз
Mariama Ba	Ба, Мариама
American Fork, Utah	Американ-Форк
Great Falls, Montana	Грейт-Фолс
Benjamin Peirce	Пирс, Бенджамин
Butte, Montana	Бьютт (Монтана)
Nathacha Appanah	Аппана, Наташа
Susan Athey	Этей, Сьюзан
Pelageya Polubarinova-Kochina	Кочина, Пелагея Яковлевна
Stephen Marley	Марли, Стивен
Pwonon pèsonèl	Личные местоимения
Lawrence Krauss	Краусс, Лоуренс Максвелл
Peter Montgomery	Монтгомери, Питер
Leslie Manigat	Манига, Лесли
Henri Namphy	Намфи, Анри
Walter Rudin	Рудин, Уолтер
Patrick Chamoiseau	Шамуазо, Патрик
Antoine Gombaud	Гомбо, Антуан
John Henry Poynting	Пойнтинг, Джон Генри
Jacques-Édouard Alexis	Алексис, Жак Эдуар
Pyotr Nikolaevich Lebedev	Лебедев, Пётр Николаевич
John Pell	Пелл, Джон
Warrior King	Честь дракона
Yuval Ne'eman	Неэман, Юваль
Emmanuel Sanon	Санон, Эмманюэль
Kachiman	Кремовое яблоко
Polyan	Загрязняющее вещество
153 (nonm)	153 (число)
Paramore	Paramore
Pierre Raymond de Montmort	Монмор, Пьер Ремон де
Kantaloup	Канталупа (растение)
Zizye	Мускульный желудок
Coritiba Foot Ball Club	Коритиба
Aewopò Tan Son Nhat	Таншоннят
Imaj	Образ (информация)
South Ogden, Utah	Саут-Огден
Vernal, Utah	Вернал (Юта)
Park City, Utah	Парк-Сити
Atis	Деятель искусств
Aliud	Альюд
Anaconda, Montana	Анаконда (Монтана)
Enèji iyonizasyon	Энергия ионизации
Adaptasyon	Адаптация (биология)
Lwa konsèvasyon mas	Закон сохранения массы
Azərbaycan Respublikasının Dövlət Himni	Гимн Азербайджанской Республики
Baraona	Бараона
Degre oksidasyon	Степень окисления
Medinaceli	Мединасели
Berkeley, Kalifòni	Беркли (Калифорния)
Marbella (Málaga)	Марбелья
Láchar (Grenad)	Лачар
El Burgo de Osma-Ciudad de Osma	Бурго-де-Осма-Сьюдад-де-Осма
Pasadena, Kalifòni	Пасадина (Калифорния)
Key West, Florid	Ки-Уэст
Odè	Запах
Duluth, Minnesota	Дулут
Glendale, Kalifòni	Глендейл (Калифорния)
Suellacabras	Суэльякабрас
Yanguas	Янгуас
Get Heavy	Get Heavy
San Bernardino, Kalifòni	Сан-Бернардино (Калифорния)
Pensacola, Florid	Пенсакола (Флорида)
The Arockalypse	The Arockalypse
Deriv jenetik	Дрейф генов
Cedar Rapids, Iowa	Сидар-Рапидс
Evansville, Indiana	Эвансвилл
Kansas City, Kansas	Канзас-Сити (Канзас)
Rochester, Minnesota	Рочестер (Миннесота)
Mountain View, Kalifòni	Маунтин-Вью (Калифорния)
Pomona, Kalifòni	Помона (Калифорния)
South Bend, Indiana	Саут-Бенд (Индиана)
Michio Kaku	Каку, Митио
Kondiksyon	Температуропроводность
Compton, Kalifòni	Комптон (Калифорния)
Minot	Майнот (Северная Дакота)
Cedar City, Utah	Сидар-Сити (Юта)
Monterey, Kalifòni	Монтерей (Калифорния)
San Esteban de Gormaz	Сан-Эстебан-де-Гормас
The Monsterican Dream	The Monsterican Dream
Saint Marys, Iowa	Поттаватоми (округ, Айова)
Yakutat (Alaska)	Якутат
Pratt, Minnesota	Стил (округ, Миннесота)
Sunbury, Georgie	Либерти (округ, Джорджия)
Anatoli Georgievich Vitushkin	Витушкин, Анатолий Георгиевич
Anatoly Maltsev	Мальцев, Анатолий Иванович
Iowa City, Iowa	Айова-Сити (Айова)
Saint Augustine, Florid	Сент-Огастин
Gainesville, Florid	Гейнсвилл
Frakti	Излом
Anatoliy Skorokhod	Скороход, Анатолий Владимирович
Palm Springs, Kalifòni	Палм-Спрингс
Salinas, Kalifòni	Салинас (Калифорния)
Ontario, Kalifòni	Онтэрио (Калифорния)
Anteryè	Пространственные отношения в анатомической терминологии
Baeza (Jaén)	Баэса
Eureka, Kalifòni	Юрика (Калифорния)
Comares (Málaga)	Комарес
Oceanside, Kalifòni	Оушенсайд (Калифорния)
Palmdale, Kalifòni	Палмдейл (Калифорния)
Downey, Kalifòni	Дауни (Калифорния)
Torrance, Kalifòni	Торранс (Калифорния)
Sioux City, Iowa	Су-Сити
Bloomington, Indiana	Блумингтон (Индиана)
Ventura, Kalifòni	Вентура (Калифорния)
Concord, Kalifòni	Конкорд (Калифорния)
Baza (Grenad)	Баса (город)
Gulfport, Mississippi	Галфпорт (Миссисипи)
Daytona Beach, Florid	Дейтона-Бич
Indian Wells, Kalifòni	Индиан-Уэллс (Калифорния)
Biloxi, Mississippi	Билокси (Миссисипи)
Astoria, Oregon	Астория (Орегон)
Fort Collins, Kolorado	Форт-Коллинс
Bloomington, Minnesota	Блумингтон (Миннесота)
Alameda, Kalifòni	Аламида (город, Калифорния)
Carlsbad, Kalifòni	Карлсбад (Калифорния)
Hayward, Kalifòni	Хэйворд (Калифорния)
Fontana, Kalifòni	Фонтана (Калифорния)
Santa Clarita, Kalifòni	Санта-Кларита
Canton, Ohio	Кантон (Огайо)
Robert Smith	Смит, Роберт
Roseville, Kalifòni	Розвилл (Калифорния)
Orange, Kalifòni	Ориндж (Калифорния)
Anderson, Indiana	Андерсон (Индиана)
Sarasota, Florid	Сарасота
Berja (Almería)	Берха
Fredericksburg, Vijini	Фредериксберг (Виргиния)
Centralia, Pennsilvani	Сентрейлия (Пенсильвания)
Terre Haute, Indiana	Терре-Хот
Fuengirola (Málaga)	Фуэнхирола
Torremolinos (Málaga)	Торремолинос
Vélez-Málaga (Málaga)	Велес-Малага
Mijas (Málaga)	Михас
Estepona (Málaga)	Эстепона
Broomfield, Kolorado	Брумфилд (Колорадо)
Andover, Minnesota	Андовер (город, Миннесота)
Andre Berto	Берто, Андре
Walnut Creek, Kalifòni	Уолнат-Крик
Culver City, Kalifòni	Калвер-Сити
Yorba Linda, Kalifòni	Йорба-Линда
Vicksburg, Mississippi	Виксберг (Миссисипи)
Lawrence, Kansas	Лоренс (Канзас)
El Ejido (Almería)	Эль-Эхидо
Carson, Kalifòni	Карсон (Калифорния)
Corona, Kalifòni	Корона (Калифорния)
Lancaster, Kalifòni	Ланкастер (Калифорния)
Norwalk, Kalifòni	Норуолк (Калифорния)
Moreno Valley, Kalifòni	Морено-Валли
Alcalá de Guadaira (Seville)	Алькала-де-Гуадаира
Victorville, Kalifòni	Викторвилл (Калифорния)
Redding, Kalifòni	Реддинг (Калифорния)
Rancho Cucamonga, Kalifòni	Ранчо-Кукамонга (Калифорния)
Visalia, Kalifòni	Висейлия
Depouy	Литьё
Idaho Falls, Idaho	Айдахо-Фолс
Andreas Cellarius	Целлариус, Андреас
Mojácar (Almería)	Мохакар
Sikilasyon kowonè	Коронарное кровообращение
Tyler, Texas	Тайлер (Техас)
Barstow, Kalifòni	Барстоу (Калифорния)
Roquetas de Mar (Almería)	Рокетас-де-Мар
Merced, Kalifòni	Мерсед (город)
Onn pòtez	Несущий сигнал
Costa Mesa, Kalifòni	Коста-Меса
Yakima, Washington	Якима (город)
Lyezon kovalan kouwòdinasyon	Донорно-акцепторное взаимодействие
Coeur d'Alene, Idaho	Кёр-д’Ален (Айдахо)
Elgin, Ilinwa	Элджин (Иллинойс)
Moscow, Idaho	Москоу (Айдахо)
Pòmsitè	Амбарелла
Overland Park, Kansas	Оверленд-Парк
Lepe (Huelva)	Лепе
Andrei Suslin	Суслин, Андрей Александрович
Roanoke, Vijini	Роанок (Виргиния)
Katilaj	Хрящ
Endis fosil	Руководящие ископаемые
Lawton, Oklahoma	Лотон (Оклахома)
Lucena (Cordoue)	Лусена (город)
Andrew Gleason	Глизон, Эндрю
Dèm	Дерма
Sistèm nève somatik	Соматическая нервная система
Lewiston, Idaho	Льюистон (Айдахо)
Batonè retinyen	Палочки (сетчатка)
Coral Springs, Florid	Корал-Спрингс
Bedford, Vijini	Бедфорд (Виргиния)
Decatur, Ilinwa	Декейтер (Иллинойс)
Sunrise, Florid	Санрайз (Флорида)
Chino, Kalifòni	Чино (Калифорния)
Claremont, Kalifòni	Клермонт (Калифорния)
San Marcos, Kalifòni	Сан-Маркос (Калифорния)
Mission Viejo, Kalifòni	Мишн-Вьехо
Martinez, Kalifòni	Мартинес (Калифорния)
Newark, Delaware	Ньюарк (Делавэр)
Maladi andemik	Эндемические заболевания
Foreston, Minnesota	Форстон (город, Миннесота)
El Granado (Huelva)	Эль-Гранадо
Andrews, Texas	Андрус (Техас)
Petersburg, Vijini	Питерсберг (Виргиния)
Danielle Carr	Макграт, Даниэль
Jean Henri van Swinden	Свинден, Ян Гендрик ван
Cañamaque	Каньямаке
Esto, Florid	Эсто (Флорида)
Floodwood, Minnesota	Фладвуд (город, Миннесота)
Ely, Minnesota	Или (Миннесота)
530 (nonm)	530 (число)
Jèn dominant	Рецессивный признак
Navaleno	Навалено
261 (nonm)	261 (число)
Komin	Коммуна (социум)
Cazorla (Jaén)	Касорла
Brunswick, Maine	Брансуик (Мэн)
Pine Springs, Minnesota	Пайн-Спрингс (город, Миннесота)
269 (nonm)	269 (число)
Arden Hills, Minnesota	Арден-Хилс (город, Миннесота)
137 (nonm)	137 (число)
682 (nonm)	682 (число)
56 (nonm)	56 (число)
Concord, Massachusetts	Конкорд (Массачусетс)
978 (nonm)	978 (число)
Cesare Arzelà	Арцела, Чезаре
Edward Charles Titchmarsh	Титчмарш, Эдвард Чарльз
172 (nonm)	172 (число)
Artesia, Kalifòni	Артижа (Калифорния)
Marc-Antoine Parseval	Парсеваль, Марк-Антуан
Ne	Узел
Andújar (Jaén)	Андухар
230 (nonm)	230 (число)
805 (nonm)	805 (число)
Jenkins, Minnesota	Дженкинс (город, Миннесота)
West Melbourne, Florid	Уэст-Мелборн (Флорида)
Espaillat	Эспайльят
927 (nonm)	927 (число)
Valdelarco (Huelva)	Вальделарко
Cuyahoga Falls, Ohio	Каяхога-Фолс
160 (nonm)	160 (число)
Encinitas, Kalifòni	Энсинитас
742 (nonm)	742 (число)
Almonaster la Real (Huelva)	Альмонастер-ла-Реаль
Vernon Center, Minnesota	Вернон-Сентер (город, Миннесота)
Arcadia, Kalifòni	Аркадия (Калифорния)
89 (nonm)	89 (число)
Hendrik Casimir	Казимир, Хендрик
Samuel Eilenberg	Эйленберг, Самуэль
Edwin Hall	Холл, Эдвин
Jacques Philippe Marie Binet	Бине, Жак Филипп Мари
Marcus du Sautoy	Дю Сотой, Маркус
George Francis FitzGerald	Фицджеральд, Джордж Френсис
Joseph Larmor	Лармор, Джозеф
Richard Montague	Монтегю, Ричард
Oswald Veblen	Веблен, Освальд
Laurel Aitken	Эйткен, Лорел
Capleton	Каплетон
René Maran	Маран, Рене
921 (nonm)	921 (число)
1985 (menm non)	1985 (значения)
252 (nonm)	252 (число)
Rosal de la Frontera (Huelva)	Росаль-де-ла-Фронтера
Kratè	Кратер
Isaac Jacob Schoenberg	Шёнберг, Исаак
Alexandria, Minnesota	Алегзандрия (город, Миннесота)
Peligros (Grenad)	Пелигрос
Garrett Birkhoff	Биркгоф, Гаррет
Johann Georg Tralles	Траллес, Иоганн-Георг
Harlem, Montana	Харлем (Монтана)
Atajate (Málaga)	Атахате
182 (nonm)	182 (число)
Fòs nòmal	Сила нормальной реакции
Quintino Sella	Селла, Квинтино
Laura Maria Caterina Bassi	Басси, Лаура
258 (nonm)	258 (число)
729 (nonm)	729 (число)
76 (nonm)	76 (число)
Mentor, Ohio	Ментор (Огайо)
29 (nonm)	29 (число)
Erasmus Reinhold	Рейнгольд, Эразм
436 (nonm)	436 (число)
Plainfield, New Jersey	Плейнфилд (Нью-Джерси)
New Ulm, Minnesota	Нью-Алм (город, Миннесота)
Nima Arkani-Hamed	Нима Аркани-Хамед
Ugíjar (Grenad)	Ухихар
Springfield, Kawolin disid	Спрингфилд (Южная Каролина)
Tèmit	Термиты
Fab Nikola Jefra	Жеффрар, Фабр
Wheatland, Wyoming	Уитленд (Вайоминг)
2000 (menm non)	2000 (значения)
173 (nonm)	173 (число)
171 (nonm)	171 (число)
Gregorio Ricci-Curbastro	Риччи-Курбастро, Грегорио
Luigi Cremona	Кремона, Луиджи
Albert Girard	Жирар, Альбер
Twin Falls, Idaho	Туин-Фолс (город, Айдахо)
Cijuela (Grenad)	Сихуэла
Richmond, Indiana	Ричмонд (Индиана)
Salcedo (provens)	Эрманас-Мирабаль
Brookhaven, New York	Брукхейвен (город, Нью-Йорк)
Atarfe (Grenad)	Атарфе
Armilla (Grenad)	Армилья
Fil	Проволока
Alexei Krylov	Крылов, Алексей Николаевич
Vladimir Aleksandrovich Fock	Фок, Владимир Александрович
Busquístar (Grenad)	Бускистар
Cádiar (Grenad)	Кадьяр
Cáñar (Grenad)	Каньяр
Cástaras (Grenad)	Кастарас
Confusion	Растерянность
Chan gravitasyon	Гравитационное поле
PID	Сальпингит
Vladimir Steklov	Стеклов, Владимир Андреевич
Darro (Grenad)	Дарро
UB40	UB40
Adhemar Jean Claude Barre de Saint-Venant	Сен-Венан, Адемар Жан-Клод Барре де
163 (menm non)	163 (значения)
500 (menm non)	500 (значения)
127 (menm non)	127 (значения)
172 (menm non)	172 (значения)
Bernardino Baldi	Бальди, Бернардино
Ronald Rivlin	Ривлин, Рональд
Juan Martín Maldacena	Малдасена, Хуан
Edmond Laguerre	Лагерр, Эдмон Никола
Louis Bachelier	Башелье, Луи
Samuel Goudsmit	Гаудсмит, Сэмюэл Абрахам
James Harris Simons	Саймонс, Джеймс Харрис
Fosten Soulouk	Фостен I
Vladimir Levenshtein	Левенштейн, Владимир Иосифович
Marie Alfred Cornu	Корню, Мари-Альфред
Johannes Campanus	Кампано, Джованни
Benedetto Castelli	Кастелли, Бенедетто
Igor Ansoff	Ансов, Игорь
Anselme Payen	Пайен, Ансельм
Christian Kramp	Крамп, Кристиан
