Áfríkà	Африка
Japan	Япония
Gúúsù Amẹ́ríkà	Южная Америка
Nọ́rwèy	Норвегия
Ilẹ̀gẹ̀ẹ́sì	Англия
Skọ́tlándì	Шотландия
Wélsì	Уэльс
Írẹ́lándì Apáàríwá	Северная Ирландия
Írẹ́lándì	Ирландия
Húngárì	Венгрия
Spéìn	Испания
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Соединённые Штаты Америки
Bẹ́ljíọ̀m	Бельгия
Lúksẹ́mbọ̀rg	Люксембург
Ayé	Земля
Ọmọnìyàn	Человек разумный
George Washington	Вашингтон, Джордж
Tim Berners-Lee	Бернерс-Ли, Тим
Fínlándì	Финляндия
Swídìn	Швеция
Dẹ́nmárkì	Дания
Pólàndì	Польша
Lituéníà	Литва
Itálíà	Италия
Swítsàlandì	Швейцария
Austríà	Австрия
Gríìsì	Греция
Túrkì	Турция
Pọ́rtúgàl	Португалия
Europe	Европа
Ásíà	Азия
Àríwá Amẹ́ríkà	Северная Америка
Antárktìkà	Антарктида
Wikipedia	Википедия
Nẹ́dálándì	Нидерланды
New York	Нью-Йорк
Washington, D.C.	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berlin	Берлин
Los Angeles	Лос-Анджелес
Kọ̀mpútà	Компьютер
Berne	Берн
Geneva	Женева
Zürich	Цюрих
Internet Relay Chat	IRC
Internet	Интернет
Barack Obama	Обама, Барак
Urugúáì	Уругвай
MediaWiki	MediaWiki
Lọndọnu	Лондон
Káírò	Каир
Parisi	Париж
Abraham Lincoln	Линкольн, Авраам
Google	Google (компания)
Mẹ́ksíkò	Мексика
Òkun Atlántíkì	Атлантический океан
Òkun Pàsífíkì	Тихий океан
Kalifọ́rníà	Калифорния
Boston	Бостон
Ọjọ́ Ajé	Понедельник
Oṣù Kínní	Январь
Oṣù Kejì	Февраль
Oṣù Kẹta	Март
Mársì	Марс
Kẹ́nyà	Кения
Ethiópíà	Эфиопия
Ghánà	Гана
Oṣù Kẹrin	Апрель
Oṣù Kàrún	Май
Oṣù Kẹfà	Июнь
Oṣù Keje	Июль
Oṣù Kẹjọ	Август
Oṣù Kẹ̀sán	Сентябрь
Oṣù Kẹ̀wá	Октябрь
Oṣù Kọkànlá	Ноябрь
Oṣù Kejìlá	Декабрь
Ọjọ́ Ìsẹ́gun	Вторник
Ọjọ́rú	Среда
Ọjọ́bọ̀	Четверг
Ọjọ́ Ẹtì	Пятница
Ọjọ́ Àbámẹ́ta	Суббота
Ọjọ́ Àìkú	Воскресенье
Kìnìún	Лев
Fránsì	Франция
Èdè Esperanto	Эсперанто
Ajá	Собака
Ilẹ̀ọba Aṣọ̀kan	Великобритания
Ológbò	Кошка
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Китайская Народная Республика
Èdè Faransé	Французский язык
Brasil	Бразилия
Ọtí	Спирты
François Hollande	Олланд, Франсуа
Rọ́síà	Россия
Alọ́poméjì	Квадрат
Òkun Dúdú	Чёрное море
Pi	Пи (число)
Wiki	Вики
Toronto	Торонто
Ìpínlẹ̀ Alabama	Алабама
São Paulo	Сан-Паулу
Sao Paulo (ìpínlẹ̀)	Сан-Паулу (штат)
Wikimedia	Фонд Викимедиа
Jẹ́mánì	Германия
Bẹ̀lárùs	Белоруссия
Il Canto degli Italiani	Гимн Италии
Èdè Jẹ́mánì	Немецкий язык
Íslándì	Исландия
Ọlọ́run	Бог
Estóníà	Эстония
David Cameron	Кэмерон, Дэвид
Sátúrnù	Сатурн
Ọkọ̀ òfurufú	Самолёт
Ogun	Война
1 (nọ́mbà)	1 (число)
2 (nọ́mbà)	2 (число)
3 (nọ́mbà)	3 (число)
4 (nọ́mbà)	4 (число)
5 (nọ́mbà)	5 (число)
0 (nọ́mbà)	0 (число)
Stephen Harper	Харпер, Стивен
George Walker Bush	Буш, Джордж Уокер
Látfíà	Латвия
Ukréìn	Украина
Tsẹ́kì Olómìnira	Чехия
Slofákíà	Словакия
Sloféníà	Словения
Filnius	Вильнюс
Móldófà	Молдавия
Románíà	Румыния
Bùlgáríà	Болгария
Rómù	Рим
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Республика Македония
Albáníà	Албания
Grínlándì	Гренландия (административная единица)
Kroatíà	Хорватия
Bósníà àti Hẹrjẹgòfínà	Босния и Герцеговина
Nuuk	Нуук
