Áfríkà	Африка
Kevin Anderson (tennis)	Андерсон, Кевин (теннисист)
Ralph Ellison	Эллисон, Ральф
Adaptive Transform Acoustic Coding	ATRAC
Phraya Phahon Phonphayuhasena	Пхахон Пхаюхасена
Eric F. Wieschaus	Вишаус, Эрик
William Tubman	Табмен, Уильям
Àròjinlẹ̀ aláyẹ̀wò	Критическая теория
Shigeru Yoshida	Ёсида, Сигэру
Àsìá ilẹ̀ Kabardino-Balkaria	Флаг Кабардино-Балкарии
Tate Donovan	Донован, Тейт
ISO 10303	STEP (стандарт)
Ngugi wa Thiong'o	Нгуги Ва Тхионго
Juan Martín de Pueyrredón	Пуэйрредон, Хуан Мартин де
Àwọn Erékùṣù Ábákò	Абако (острова)
Guillermo García-López	Гарсия-Лопес, Гильермо
Edwin Muir	Мюир, Эдвин
José Antonio Páez	Паэс, Хосе Антонио
Abakaliki	Абакалики
Abbas El Fassi	Эль-Фасси, Аббас
Aziz Duwaik	Дуэйк, Абдель Азиз
Abdalá Bucaram	Букарам, Абдала
Abdelhamid Brahimi	Брахими, Абдельхамид
Abdelkader Taleb Oumar	Абделькадер Талеб Умар
Abdellatif Filali	Филали, Абдуллатиф
James Gandolfini	Гандольфини, Джеймс
STS-135	STS-135
Àmì ọ̀pá àṣẹ ilẹ̀ Tufalu	Герб Тувалу
Agbègbè Kagera	Кагера (область)
Agbègbè Lindi	Линди (область)
Agbègbè Iringa	Иринга (область)
Ryutaro Hashimoto	Хасимото, Рютаро
Radek Štepánek	Штепанек, Радек
WebM	WebM
Homat el Diyar	Гимн Сирии
Peter C. Doherty	Доэрти, Питер
Richard J. Roberts	Робертс, Ричард Джон
Nicolas Malebranche	Мальбранш, Николя
Louis Ignarro	Игнарро, Луис
Igor Smirnov	Смирнов, Игорь Николаевич
Joannes	Иоанн (римский император)
Richard Krajicek	Крайчек, Рихард
Niels Kaj Jerne	Ерне, Нильс
Haldan Keffer Hartline	Хартлайн, Холден Кеффер
Frederick Chapman Robbins	Роббинс, Фредерик Чапмен
Clovis 2k	Хлодвиг II
Chlothar 3k	Хлотарь III
Sigebert 1k	Сигиберт I
John Robert Vane	Вейн, Джон
Tim Hunt	Хант, Тимоти
Paul Greengard	Грингард, Пол
Paul Deschanel	Дешанель, Поль
Joseph H. Greenberg	Гринберг, Джозеф
David Thompson (olóṣèlú Bárbádọ̀s)	Томпсон, Дэвид (политик)
Jânio Quadros	Куадрус, Жаниу
Tomiichi Murayama	Мураяма, Томиити
Nicholas Liverpool	Ливерпуль, Николас
Thomas Huckle Weller	Уэллер, Томас Хакл
Nebojša Radmanović	Радманович, Небойша
Kazimierz Nowak	Новак, Казимеж
Curtis Mayfield	Мэйфилд, Кёртис
Alasdair MacIntyre	Макинтайр, Аласдер
João Café Filho	Кафе Филью, Жуан
Prudente de Morais	Морайс, Пруденти ди
Mentuhotep 3k	Ментухотеп III
Timothy Hutton	Хаттон, Тимоти
Paul-Henri Mathieu	Матьё, Поль-Анри
Dmitry Tursunov	Турсунов, Дмитрий Игоревич
Don Ameche	Амичи, Дон
E. Donnall Thomas	Томас, Эдвард Донналл
George H. Hitchings	Хитчингс, Джордж
Quett Masire	Масире, Кветт Кетумиле
Jesse Jackson	Джексон, Джесси
Camille Jordan	Жордан, Мари Энмон Камиль
Jean-Claude Duvalier	Дювалье, Жан-Клод
Fernando da Piedade Dias dos Santos	Сантуш, Фернанду да Пьедаде Диаш душ
James S. Sherman	Шерман, Джеймс Скулкрафт
William A. Wheeler	Уилер, Уильям Элмон
Adlai E. Stevenson I	Стивенсон, Эдлай Эвинг I
Garret Hobart	Хобарт, Гаррет
Thomas A. Hendricks	Хендрикс, Томас Эндрюс
George M. Dallas	Даллас, Джордж
Schuyler Colfax	Колфакс, Шайлер
Houari Boumédienne	Бумедьен, Хуари
David Dacko	Дако, Давид
Kim Yong-il	Ким Ён Иль
Seth-Peribsen	Перибсен
Intef 1k	Иниотеф I
André Kolingba	Колингба, Андре
Hissène Habré	Хабре, Хиссен
Choe Yong-rim	Чхве Ён Рим
Neil deGrasse Tyson	Тайсон, Нил Деграсс
Alan Bean	Бин, Алан
Hugh Griffith	Гриффит, Хью
Nikoloz Gilauri	Гилаури, Николоз Зурабович
Buddha Yodfa Chulalok	Буддха Йодфа Чулалоке
Alain Badiou	Бадью, Ален
Dudi Sela	Села, Дуди
Jeff Bennett	Беннетт, Джефф
Epitácio Lindolfo da Silva Pessoa	Песоа, Эпитасиу
Artur da Silva Bernardes	Бернардис, Артур
José Figueres Ferrer	Фигерес Феррер, Хосе
Ahmed Abdallah Mohamed Sambi	Самби, Ахмед Абдалла
Afonso Augusto Moreira Pena	Пена, Афонсу
Kei Nishikori	Нисикори, Кэй
Washington Luís Pereira de Sousa	Перейра ди Соза, Вашингтон Луис
John Lithgow	Литгоу, Джон
Valerius Valens	Аврелий Валерий Валент
Luther Vandross	Вандросс, Лютер
Alois ilẹ̀ Líktẹ́nstáìnì	Алоиз (наследный князь Лихтенштейна)
Rafael Caldera	Кальдера, Рафаэль
Mustapha Hadji	Хаджи, Мустафа
J. Michael Bishop	Бишоп, Джон Майкл
Rómulo Gallegos	Гальегос, Ромуло
Guadalupe Victoria	Виктория, Гуадалупе
Julio María Sanguinetti	Сангинетти, Хулио Мария
Juan Velasco Alvarado	Веласко Альварадо, Хуан
Juan Manuel de Rosas	Росас, Хуан Мануэль де
Shoshenq 1k	Шешонк I
Igi dúdú	Хурма мушмуловидная
Internet Low Bit Rate Codec	ILBC
Nikola Špirić	Шпирич, Никола
Alexandr Dolgopolov	Долгополов, Александр Александрович
Μ-law algorithm	Мю-закон
Constantine Mitsotakis	Мицотакис, Константинос
STS-61-A	STS-61A
Georges Bidault	Бидо, Жорж
STS-116	STS-116
Maurice Couve de Murville	Кув де Мюрвиль, Морис
STS-121	STS-121
Francisco Largo Caballero	Ларго Кабальеро, Франсиско
Giovanni Lajolo	Лайоло, Джованни
Ahmose 2k	Амасис II
Alexander Papagos	Папагос, Александрос
STS-9	STS-9
Víctor Paz Estenssoro	Пас Эстенссоро, Виктор
Emilio Colombo	Коломбо, Эмилио
Warner Baxter	Бакстер, Уорнер
Melvyn Douglas	Дуглас, Мелвин
José Ferrer	Феррер, Хосе
Martin Balsam	Болсам, Мартин
Mehmet Ali Talat	Талат, Мехмет Али
Giovanni Gentile	Джентиле, Джованни
Marian Lupu	Лупу, Мариан Ильич
Milos Raonic	Раонич, Милош
Thomaz Bellucci	Беллуччи, Томас
Emperor Ninkō	Император Нинко
Celestine Babayaro	Бабаяро, Селестин
Bakir Izetbegović	Изетбегович, Бакир
Adolfo Rodríguez Saá	Родригес Саа, Адольфо
Artur da Costa e Silva	Коста-и-Силва, Артур да
Haing S. Ngor	Хенг Сомнанг Нгор
Adelard ará Bath	Аделард Батский
Setnakhte	Сетнахт
John Newcombe	Ньюкомб, Джон
Olivier Rochus	Рохус, Оливье
V. V. Giri	Гири, Варахагири Венката
Daniel McFadden	Макфадден, Дэниел
James Heckman	Хекман, Джеймс
William Lamb, 2nd Viscount Melbourne	Лэм, Уильям, 2-й виконт Мельбурн
Robert Jenkinson, 2nd Earl of Liverpool	Ливерпул, Роберт Банкс Дженкинсон
William Petty, 2nd Earl of Shelburne	Петти, Уильям, 2-й граф Шелберн
Clive Granger	Грэнджер, Клайв
Henry Addington, 1st Viscount Sidmouth	Аддингтон, Генри
Augustus FitzRoy, 3rd Duke of Grafton	Фицрой, Огастас, 3-й герцог Графтон
Edward C. Prescott	Прескотт, Эдвард
Frederick John Robinson, 1st Viscount Goderich	Робинсон, Фредерик Джон, 1-й виконт Годрик
Frederick North, Lord North	Норт, Фредерик
William Grenville, 1st Baron Grenville	Гренвиль, Уильям
Xavier Malisse	Малисс, Ксавье
Robert Adam	Адам, Роберт
Sylvanus Olympio	Олимпио, Силванус
Carlos Mesa	Меса, Карлос
Dawda Jawara	Джавара, Дауда Кайраба
Petr Korda	Корда, Петр
Harold Holt	Холт, Гарольд
Ken Rosewall	Розуолл, Кен
Ka (fáráò)	Ка (фараон)
Juan Negrín	Негрин, Хуан
Eduardo Rodríguez	Родригес Вельце, Эдуардо
Daniel Inouye	Иноуи, Дэниел
Mongkut	Монгкут
Hermes Rodrigues da Fonseca	Фонсека, Эрмес Родригис да
John Franklin Enders	Эндерс, Джон Франклин
Dickinson W. Richards	Ричардс, Дикинсон
Khan Abdul Ghaffar Khan	Абдул Гаффар-хан
Phillip Allen Sharp	Шарп, Филлип
Luis Carrero Blanco	Карреро Бланко, Луис
Emperor Nintoku	Император Нинтоку
Ramesses 11k	Рамсес XI
Venustiano Carranza	Карранса, Венустиано
Prajadhipok	Прачадипок
Nectanebo 2k	Нектанеб II
Lu Yen-hsun	Лу Яньсюнь
Red Buttons	Ред Баттонс
Henry Wilson	Уилсон, Генри
Keizō Obuchi	Обути, Кэйдзо
Alexander Ankvab	Анкваб, Александр Золотинскович
Fahri Korutürk	Корутюрк, Фахри
Dr. Alban	Доктор Албан
Joe "King" Oliver	Оливер, Кинг
Julien Benneteau	Беннето, Жюльен
Markos Vafiadis	Вафиадис, Маркос
Rip Torn	Торн, Рип
Juan María Bordaberry	Бордаберри, Хуан Мария
Beji Caid el Sebsi	Эс-Себси, Беджи Каид
Ivanoe Bonomi	Бономи, Иваноэ
Niceto Alcalá-Zamora	Алькала Самора-и-Торрес, Нисето
Mohamed Abdelaziz	Абдельазиз, Мохаммед
Emperor Higashiyama	Император Хигасияма
Alfred Deakin	Дикин, Альфред
Emperor Kōkaku	Император Кокаку
Emperor Reigen	Император Рэйгэн
Emperor Momozono	Император Момодзоно
Mentuhotep 4k	Ментухотеп IV
William Adams	Адамс, Уильям
Fela Kuti	Фела Кути
Intef 2k	Иниотеф II
Emperor Sakuramachi	Император Сакурамати
Emperor Go-Daigo	Император Го-Дайго
Guillaume Soro	Соро, Гийом
Roberto Eduardo Viola	Виола, Роберто Эдуардо
Fernando Tambroni	Тамброни, Фернандо
Guy Mollet	Молле, Ги
Ratnasiri Wickremanayake	Викреманаяке, Ратнасири
Andrew Fisher	Фишер, Эндрю
Klorídì alumíníọ́mù	Хлорид алюминия
Emperor Go-Momozono	Император Го-Момодзоно
Fouad Siniora	Синьора, Фуад
Pierre Mendès France	Мендес-Франс, Пьер
Moussa Camara	Камара, Мусса Дади
Gilles Müller	Мюллер, Жиль
Marcel Granollers	Гранольерс, Марсель
Bartolomé Mitre	Митре, Бартоломе
Harry Reid	Рид, Гарри
Ange-Félix Patassé	Патассе, Анж-Феликс
René Pleven	Плевен, Рене
Chadli Bendjedid	Бенджедид, Шадли
Muhammad Boudiaf	Будиаф, Мухаммед
Nilo Peçanha	Песанья, Нилу
Francisco de Paula Rodrigues Alves	Родригис Алвис, Франсиску ди Паула
Venceslau Brás	Брас, Венсеслау
Ghulam Ishaq Khan	Хан, Гулам Исхак
Hal Holbrook	Холбрук, Хэл
Emperor Tenji	Император Тэндзи
Iry-Hor	Ири-Хор
Emperor Nakamikado	Император Накамикадо
Vetranio	Ветранион
Richard Griffiths	Гриффитс, Ричард
Emperor Kammu	Император Камму
Emperor Suinin	Император Суйнин
Donald Pleasence	Плезенс, Дональд
Plutarco Elías Calles	Кальес, Плутарко Элиас
John Boyd Orr	Орр, Джон Бойд
Vishwanath Pratap Singh	Сингх, Вишванат Пратап
Marsilius ilẹ̀ Padua	Марсилий Падуанский
Ben Okri	Окри, Бен
Jean-Max Bellerive	Бельрив, Жан-Макс
Paul Painlevé	Пенлеве, Поль
Bachir Gemayel	Жмайель, Башир
Kuniaki Koiso	Коисо, Куниаки
Zenko Suzuki	Судзуки, Дзэнко
Hara Takashi	Хара Такаси
Morihiro Hosokawa	Хосокава, Морихиро
Terauchi Masatake	Тэраути Масатакэ
Noboru Takeshita	Такэсита, Нобору
Katō Takaaki	Като Такааки
Kiichi Miyazawa	Миядзава, Киити
Masayoshi Ōhira	Охира, Масаёси
Nobusuke Kishi	Киси, Нобусукэ
Nobuyuki Abe	Абэ, Нобуюки
Toshiki Kaifu	Кайфу, Тосики
Takeo Fukuda	Фукуда, Такэо
Sōsuke Uno	Уно, Сосукэ
Fumimaro Konoe	Коноэ, Фумимаро
José López Portillo	Лопес Портильо, Хосе
Miguel Alemán Valdés	Алеман Вальдес, Мигель
Vicente Guerrero	Герреро, Висенте
Pedro Lascuráin	Ласкураин, Педро
Manuel Ávila Camacho	Авила Камачо, Мануэль
Carlos Salinas de Gortari	Салинас, Карлос
Gustavo Díaz Ordaz	Диас Ордас, Густаво
Jean Casimir-Perier	Казимир-Перье, Жан
Bruce Golding	Голдинг, Брюс
Piye	Пианхи
Taharqa	Тахарка
Prince Higashikuni Naruhiko	Принц Нарухико
Tsutomu Hata	Хата, Цутому
Burl Ives	Айвз, Бёрл
Hitoshi Ashida	Асида, Хитоси
John Mills	Миллс, Джон
Ronald McNair	Макнейр, Роналд Эрвин
John Houseman	Хаусман, Джон
Robert Crippen	Криппен, Роберт Лорел
Takahashi Korekiyo	Такахаси Корэкиё
Florent Serra	Серра, Флоран
Simone Bolelli	Болелли, Симоне
Andrés Pastrana Arango	Пастрана Аранго, Андрес
Malcolm Fraser	Фрейзер, Малколм
Manuel de Godoy	Годой, Мануэль
José Linhares	Линьярис, Жозе
Sebastián Lerdo de Tejada	Лердо де Техада, Себастьян
Ciriaco de Mita	Де Мита, Чириако
Tzannis Tzannetakis	Дзаннетакис, Дзаннис
Michael Somare	Сомаре, Майкл Томас
Apisai Ielemia	Иелемиа, Аписаи
Mentuhotep 1k	Ментухотеп I
Intef 3k	Иниотеф III
Psamtik 3k	Псамметих III
Mariano Rumor	Румор, Мариано
Ken Saro-Wiwa	Саро-Вива, Кен
Ántígúà	Антигуа
Emperor Bidatsu	Император Бидацу
Joel Grey	Грей, Джоэл
Emperor Antoku	Император Антоку
Emperor Go-Toba	Император Го-Тоба
Emperor Seimu	Император Сэйму
.bl	.bl
Sigebert 2k	Сигиберт II
Chlothar 4k	Хлотарь IV
Antoine Gizenga	Гизенга, Антуан
Thomas Mitchell (actor)	Митчелл, Томас (актёр)
Chiwetel Ejiofor	Эджиофор, Чиветел
Jan Kodeš	Кодеш, Ян
Muhammad Mian Soomro	Сомро, Мохаммедмиан
Glafcos Clerides	Клиридис, Глафкос
Àsìá ilẹ̀ Wallis àti Futuna	Флаг Уоллис и Футуна
Hubert Ingraham	Ингрэм, Хьюберт
Driss Jettou	Жетту, Дрис
Takeo Miki	Мики, Такэо
Luis Echeverría	Эчеверриа, Луис
Gulzarilal Nanda	Нанда, Гулзарилал
Fakhruddin Ali Ahmed	Ахмед, Фахруддин Али
Charles de Freycinet	Фрейсине, Шарль
Denis Istomin	Истомин, Денис Олегович
Potito Starace	Стараче, Потито
Kostis Palamas	Паламас, Костис
Nicolas Mahut	Маю, Николя
Emperor Kōtoku	Император Котоку
Emperor Go-Shirakawa	Император Го-Сиракава
Juan Vicente Gómez	Гомес, Хуан Висенте
Emperor Ōjin	Император Одзин
Amyrtaeus	Амиртей II
Antoine César Becquerel	Беккерель, Антуан Сезар
Xenophon Zolotas	Золотас, Ксенофон
Rodrigo Carazo Odio	Карасо Одио, Родриго
Ed Begley	Бегли, Эд
Àkójọ àwọn Ààrẹ ilẹ̀ Brasil	Список президентов Бразилии
Abel Goumba	Гумба, Абель Нгенде
Manuel Orantes	Орантес, Мануэль
Scorpion 1k	Скорпион I
Ìgbéríko Àrin (Kẹ́nyà)	Центральная провинция (Кения)
Àmì ọ̀pá àṣẹ ilẹ̀ Yemen	Эмблема Йемена
Nereu Ramos	Рамус, Нереу
Mahamane Ousmane	Усман, Махаман
Aimo Cajander	Каяндер, Аймо
Andreas Seppi	Сеппи, Андреас
Jessadabodindra	Чессадабодиндра
Buddha Loetla Nabhalai	Буддха Лоетла Нафалай
Richard Wright	Райт, Ричард Натаниэль
Choudhary Charan Singh	Сингх, Чоудхари Чаран
Booker T. Washington	Вашингтон, Букер Талиафер
Dọ́là àwọn Erékùṣù Káímàn	Доллар Каймановых Островов
Bernard Makuza	Макуза, Бернар
Philip Jaisohn	Со Джэпхиль
Feleti Sevele	Севеле, Фелети
Apolo Nsibambi	Нсибамби, Аполо Робин
Taksin	Таксин (король Сиама)
Benjamin Mkapa	Мкапа, Бенджамин
Rashidi Yekini	Йекини, Рашиди
Emperor Go-Mizunoo	Император Го-Мидзуноо
Pópù Stephen 3k	Стефан III (IV)
Àmì ọ̀pá àṣẹ ilẹ̀ Côte d'Ivoire	Герб Кот-д’Ивуар
Ìlú Benin	Бенин-Сити
La Congolaise	Гимн Республики Конго
Ìpínlẹ̀ Ábíá	Абия (штат)
Sidney Sonnino	Соннино, Сидней
Giuseppe Pella	Пелла, Джузеппе
Jos	Джос
Real-time Transport Protocol	RTP
Àmì ọ̀pá àṣẹ ilẹ̀ Guinea-Bissau	Герб Гвинеи-Бисау
Àmì ọ̀pá àṣẹ ilẹ̀ Sùrìnámù	Герб Суринама
Àmì ọ̀pá àṣẹ ilẹ̀ Grínlándì	Герб Гренландии
Apepi 1k	Апопи I
Tomás Estrada Palma	Эстрада Пальма, Томас
Wallace Beery	Бири, Уоллес
Fair Antigua, We Salute Thee	Гимн Антигуа и Барбуды
Alpha Blondy	Альфа Блонди
Boniface Alexandre	Александр, Бонифас
All Hail, Liberia, Hail!	Гимн Либерии
Ivan Dodig	Додиг, Иван
STS-69	STS-69
STS-67	STS-67
Richard Matheson	Мэтисон, Ричард
Herman Gorter	Гортер, Герман
Homi J. Bhabha	Баба, Хоми Джехангир
Burundi Bwacu	Гимн Бурунди
Mohamed Ben Ahmed Abdelghani	Абдельгани, Мохаммед Бен Ахмед
Edgar Faure	Фор, Эдгар
Ali Benflis	Али Бенфлис
God zij met ons Suriname	Гимн Суринама
Liamine Zéroual	Зеруаль, Ламин
Ali Kafi	Кафи, Али
Rabah Bitat	Битат, Рабах
Adolfo Ruiz Cortines	Руис Кортинес, Адольфо
Paul Ramadier	Рамадье, Поль
Joseph Laniel	Ланьель, Жозеф
Fevzi Çakmak	Чакмак, Мустафа Февзи
Pierre Pflimlin	Пфлимлен, Пьер
Senenmut	Сенмут
Psamtik 1k	Псамметих I
Amine Gemayel	Жмайель, Амин Пьер
Àsìá ilẹ̀ àwọn Erékùṣù Apáàríwá Mariana	Флаг Северных Марианских островов
Àsìá ilẹ̀ àwọn Erékùṣù Kókósì	Флаг Кокосовых островов
Agbègbè Kilimanjaro	Килиманджаро (область)
STS-133	STS-133
Agbègbè Arusha	Аруша (область)
Àsìá ilẹ̀ Agbègbè Òkun Índíà Brítánì	Флаг Британской территории в Индийском океане
Victor McLaglen	Маклаглен, Виктор
Emperor Richū	Император Ритю
Emperor Junnin	Император Дзюннин
Louis Gossett, Jr.	Госсетт, Луис (младший)
Emperor Keikō	Император Кэйко
Emperor Senka	Император Сэнка
Nat Turner	Тёрнер, Нет
Brad Dourif	Дуриф, Брэд
Emperor Daigo	Император Дайго
Emperor Jomei	Император Дзёмэй
Emperor Go-Kōmyō	Император Го-Комё
Emperor Hanzei	Император Хандзэй
Emperor Kimmei	Император Киммэй
Ponun àwọn Erékùṣù Falkland	Фунт Фолклендских островов
Àmì ọ̀pá àṣẹ ilẹ̀ Saint Vincent àti àwọn Grẹnadínì	Герб Сент-Винсента и Гренадин
Àmì ọ̀pá àṣẹ ilẹ̀ Dòmíníkà	Герб Доминики
Agbègbè Manyara	Маньяра (область)
Agbègbè Mwanza	Мванза (область)
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Erékùṣù Wúndíá ti Amẹ́ríkà	Печать Виргинских Островов (США)
Themba Dlamini	Дламини, Темба
Larry the Cable Guy	Ларри-кабельщик
Àmì ọ̀pá àṣẹ ilẹ̀ Sàmóà Amẹ́ríkà	Печать Американского Самоа
Àmì ọ̀pá àṣẹ ilẹ̀ Guam	Печать Гуама
César Gaviria	Гавириа Трухильо, Сесар
René Barrientos	Баррьентос Ортуньо, Рене
Rómulo Betancourt	Бетанкур, Ромуло
Alexandros Zaimis	Заимис, Александрос
Francisco Morazán	Морасан, Франсиско
Shankar Dayal Sharma	Шарма, Шанкар Даял
Derviş Eroğlu	Эроглу, Дервиш
Madhav Kumar Nepal	Непал, Мадхав Кумар
Francesco Crispi	Криспи, Франческо
Giovanni Spadolini	Спадолини, Джованни
Ibrahim Babangida	Бабангида, Ибрагим
Emperor Sujin	Император Судзин
Ichirō Hatoyama	Хатояма, Итиро
Yahya Khan	Яхья Хан, Ага Мухаммед
Farooq Leghari	Легари, Фарук
Emperor Ōgimachi	Император Огимати
Pak Hon-yong	Пак Хон Ён
Emperor Buretsu	Император Бурэцу
DjVu	DjVu
Andrés Avelino Cáceres	Касерес, Андрес Авелино
Nasser Mohammed Al-Ahmed Al-Sabah	Насер аль-Мухаммед аль-Ахмед ас-Сабах
Zail Singh	Сингх, Заил
Stephen Cole Kleene	Клини, Стивен Коул
Wakatsuki Reijirō	Вакацуки Рэйдзиро
Saitō Makoto	Сайто Макото
Kijūrō Shidehara	Сидэхара, Кидзюро
Tetsu Katayama	Катаяма, Тэцу
Kantarō Suzuki	Судзуки, Кантаро
Katō Tomosaburō	Като Томосабуро
Adolfo López Mateos	Лопес Матеос, Адольфо
Mbeya	Мбея
Abubakar Tafawa Balewa	Балева, Абубакар Тафава
Frederick Lugard	Лугард, Фредерик
Àtòjọ àwọn onítẹ́nìs WTA onípò kínní	Список первых ракеток мира по рейтингу WTA
William R. Tolbert, Jr.	Толберт, Уильям Ричард
Eduardo Camaño	Каманьо, Эдуардо
Lucio Gutiérrez	Гутьеррес Борбуа, Лусио
Hubert Maga	Мага, Кутуку Юбер
Justo José de Urquiza	Уркиса, Хусто Хосе де
Luis Alberto Lacalle	Лакалье де Эррера, Луис Альберто
Giovanni Goria	Гориа, Джованни
António Mascarenhas Monteiro	Монтейру, Антониу Машкареньяш
George Clinton (olórin)	Клинтон, Джордж (музыкант)
Motherland	Гимн Маврикия
MPEG-1	MPEG-1
Inno Nazionale della Repubblica	Гимн Сан-Марино
Ahmad Tejan Kabbah	Кабба, Ахмад Теджан
Pincez Tous vos Koras, Frappez les Balafons	Гимн Сенегала
Orin-ìyìn Orílẹ̀-èdè Urugúáì	Гимн Уругвая
MPEG-4 Part 14	MPEG-4 Part 14
Hymne Monégasque	Гимн Монако
Àsìá ilẹ̀ Erékùṣù Kérésìmesì	Флаг Острова Рождества
Land of the Free	Гимн Белиза
Sókótó	Сокото (город)
Smendes	Смендес
Mohammed Naji al-Otari	Мухаммед Наджи аль-Отари
Chung Un-chan	Чон Унчхан
George Chakiris	Чакирис, Джордж
Antonio Cánovas del Castillo	Кановас дель Кастильо, Антонио
Neelam Sanjiva Reddy	Редди, Нилам Санджива
Abedi Pele	Абеди Пеле
Àgbàjọ Ìlàorùn Áfríkà	Восточноафриканское сообщество
Ìpínlẹ̀ Adámáwá	Адамава (штат)
Advanced Audio Coding	Advanced Audio Coding
Grigor Dimitrov	Димитров, Григор
Victor, 3rd duc de Broglie	Брольи, Виктор де
ISO 3166-2:BJ	ISO 3166-2:BJ
Nii Amaa Ollennu	Олленну, Нии Амаа
Christopher Okigbo	Окигбо, Кристофер
Michael Kearney	Кирни, Майкл Кевин
Clifford Campbell	Кэмпбелл, Клиффорд
Àtòjọ àwọn ẹlẹ́bùn Nobel	Нобелевские премии по году вручения
Àkólì	Ачоли (народ)
Burgess Meredith	Мередит, Бёрджесс
İstiklâl Marşı	Марш независимости
Christos Sartzetakis	Сардзетакис, Христос
Jack Albertson	Альбертсон, Джек
Pascal Yoadimnadji	Йоадимнаджи, Паскаль
Edmund Gwenn	Гвенн, Эдмунд
Gig Young	Гиг Янг
Filippo Volandri	Воландри, Филиппо
George Burns	Джордж Бёрнс
Alejandro Agustín Lanusse	Лануссе, Алехандро Агустин
Belisario Betancur	Бетанкур Куартас, Белисарио
Harold Bloom	Блум, Харольд
Łukasz Kubot	Кубот, Лукаш
André Tardieu	Тардьё, Андре
Arturo Frondizi	Фрондиси, Артуро
Barthélemy Boganda	Боганда, Бартелеми
Vanessa Redgrave	Редгрейв, Ванесса
Hassan Rouhani	Рухани, Хасан
Stanislav Gross	Гросс, Станислав
Clifford Husbands	Хасбендс, Клиффорд
Ben Johnson (actor)	Джонсон, Бен (актёр)
Wegaf	Угаф
Emperor Seiwa	Император Сэйва
Emperor Go-Fukakusa	Император Го-Фукакуса
Ram Khamhaeng Olókìkí	Рамакхамхаенг Великий
Emperor Ingyō	Император Ингё
Raúl Alberto Lastiri	Ластири, Рауль Альберто
Emperor Shōmu	Император Сёму
Emperor Uda	Император Уда
Emperor Ninmyō	Император Ниммё
Emperor Keitai	Император Кэйтай
Emperor Yōzei	Император Ёдзэй
Emperor Yōmei	Император Ёмэй
Emperor Toba	Император Тоба
Emperor Sutoku	Император Сутоку
Apries	Априй
Helen Mirren	Миррен, Хелен
Emperor Go-Sai	Император Го-Сай
Emperor Go-Yōzei	Император Го-Ёдзэй
Emperor Go-Kashiwabara	Император Го-Касивабара
Emperor Go-Nara	Император Го-Нара
José Alencar	Аленкар, Жозе
Jules de Polignac (1780–1847)	Полиньяк, Жюль Огюст Арман Мари
Van Heflin	Хефлин, Ван
Charles Coburn	Коберн, Чарльз
Adamantios Androutsopoulos	Андруцопулос, Адамандиос
Àwọn èdè Adámáwá-Ubangi	Адамава-убангийские языки
Kōki Hirota	Хирота, Коки
Tanzan Ishibashi	Исибаси, Тандзан
Senjūrō Hayashi	Хаяси, Сэндзюро
Kalevi Sorsa	Сорса, Калеви
Son House	Сон Хаус
Henri Christophe	Кристоф, Анри
Alexandre Pétion	Петион, Александр
Adel Safar	Сафар, Адель
David Suzuki	Судзуки, Дэвид Такаёси
Anastasio Bustamante	Бустаманте, Анастасио
Bouasone Bouphavanh	Буппхаван, Буасон
Inukai Tsuyoshi	Инукаи Цуёси
Jean-Paul Proust	Пруст, Жан-Поль
Yakubu Gowon	Говон, Якубу
Tijani Babangida	Бабангида, Тиджани
Frederick Ballantyne	Баллантайн, Фредерик
Tertius Zongo	Зонго, Терциус
Antonio Salandra	Саландра, Антонио
Roger Sherman	Шерман, Роджер
Amiri Baraka	Барака, Амири
Richard Schiff	Шифф, Ричард
Karol Beck	Бек, Кароль
Neferhotep 1k	Неферхотеп I
Dahir Riyale Kahin	Дахир Риял Кахин
Mitch McConnell	Макконнелл, Митч
Mutesa Kejì Buganda	Мутеса II
Charles Dupuy	Дюпюи, Шарль
Joseph Cook	Кук, Джозеф
William McMahon	Макмэхон, Уильям
John Gorton	Гортон, Джон
Julio Argentino Roca	Рока, Хулио
Alfonso López Michelsen	Лопес Микельсен, Альфонсо
Edelmiro Julián Farrell	Фаррель, Эдельмиро Хулиан
Agostino Depretis	Депретис, Агостино
Antoine Pinay	Пине, Антуан
Joseph Ankrah	Анкра, Джозеф Артур
Billy Ocean	Билли Оушен
Héctor José Cámpora	Кампора, Эктор Хосе
Julio César Turbay Ayala	Турбай Айяла, Хулио Сесар
Alejandro Falla	Фалья, Алехандро
Emperor Go-Horikawa	Император Го-Хорикава
Emperor Sanjō	Император Сандзё
Emperor Yūryaku	Император Юряку
Emperor Juntoku	Император Дзюнтоку
Emperor Chūkyō	Император Тюкё
Ramón Puerta	Пуэрта, Рамон
Emperor Takakura	Император Такакура
Emperor Tsuchimikado	Император Цутимикадо
Emperor Seinei	Император Сэйнэй
Santiago Giraldo	Хиральдо, Сантьяго
Aires Ali	Али, Айреш
Henri Konan Bédié	Бедье, Анри Конан
Robert Guéï	Геи, Роберт
Cyprien Ntaryamira	Нтарьямира, Сиприен
Domitien Ndayizeye	Ндайизейе, Дометьен
Alexandre Ribot	Рибо, Александр
René Waldeck-Rousseau	Вальдек-Руссо, Пьер Мари
Valentín Gómez Farías	Гомес Фариас, Валентин
