非洲	Африка
Lò-tsṳ (Pô-làn)	Лодзь
Khà-thok-vì-chṳ	Катовице
Ngie̍t-sû-fû	Жешув
Phìn	Бор (элемент)
Thàn	Углерод
Tham	Азот
Yòng	Кислород
Hàng-sên	Планета
Yîm-ngo̍k	Музыка
Rennes	Ренн
Mo̍k-sṳ̂-khô	Москва
Fuk	Фтор
Yi-thai-li-ngî	Итальянский язык
Nái	Неон
Sṳn Pí-tet-páu	Санкт-Петербург
Na̍p	Натрий
北	Север
Mî	Магний
Lî (鋁)	Алюминий
Néu Sî-làn	Новая Зеландия
南	Юг
Yin-thu	Индия
Si̍t	Кремний
Fap	Франций
Lìn	Фосфор
Thiet	Железо
Tûng-kâ	Тонга
西	Запад
Liù-vòng	Сера
東	Восток
Liu̍k	Хлор
Pâ-pu-â Néu-kí-nui-â	Папуа — Новая Гвинея
Vî-lièn Sâ-sṳ-pí-â	Шекспир, Уильям
Â (氬)	Аргон
Kap	Калий
Koi	Кальций
Yèn	Свинец
Mùng-kú-koet	Монголия
Khong (鈧)	Скандий
Thai	Титан (элемент)
Genghis Khan	Чингисхан
Fàm	Ванадий
Mien-yîn	Мэн (штат)
Kok	Хром
Mâ	Домашняя лошадь
Thûng-vu̍t	Животные
Sû-li-nàm	Суринам
Màng	Марганец
Pâ-lâ-kûi	Парагвай
Koi-â-nâ	Гайана
Ngi-su̍t	Искусство
Lòi	Рений
Kô-lùn-pí-â	Колумбия
Kû	Кобальт
Vû	Вольфрам
Ngiap (鎳)	Никель
Fu̍t-kau	Буддизм
Pô-li-vì-â	Боливия
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Тринидад и Тобаго
Chhṳ̍t-vu̍t	Растения
Sîn	Цинк
Néu Hàn-pu-ha	Нью-Гэмпшир
Pí-â-vùi-sṳ̂-thok-khiet	Белосток
Ngà-mâi-kâ	Ямайка
Mà-sat-chû-set	Массачусетс
Drenthe-sén	Дренте
Overijssel-sén	Оверэйссел
Kûa-thi-mâ-là	Гватемала
Gelderland-sén	Гелдерланд
Pâ-hâ-mâ	Багамские Острова
Không-nái-tí-khiet-chû	Коннектикут
Kiê-é	Курица
Ha-vî-yî	Гавайи
Fùng-tû-lâ-sṳ̂	Гондурас
Tô-mí-nì-kâ	Доминика
Tô-mí-nì-kâ Khiung-fò-koet	Доминиканская Республика
Kâ-chû (Thung-vu̍t)	Домашняя свинья
Hói-thi	Республика Гаити
Sat-ngì-ngá-tô	Сальвадор
Yî-lóng	Иран
Yî-là-khiet	Ирак
Â-lâ-sṳ̂-kâ	Аляска
Kô-sṳ̂-tha̍t Lì-kâ	Коста-Рика
Yî-set-lie̍t	Израиль
Pâ-nâ-mâ	Панама
Ya̍p-mùn	Йемен
Phiang-thu̍k	Вирусы
Pô-làn-ngî	Польский язык
Yok-tan	Иордания
Nì-kâ-lâ-kûa	Никарагуа
Fu-lò-lî-tha̍t	Флорида
Kit-ngí-kit-sṳ̂-thán	Киргизия
Â-li-sông-ná	Аризона
Khô-vî-thi̍t	Кувейт
Liàu-koet	Лаос
Lì-pâ-nun	Ливан
O-le̍t-kông	Орегон
Mâ-ngì-thoi-fû	Мальдивы
Yù-thâ	Юта
Mâ-lòi-sî-â	Малайзия
Mién-thien	Мьянма
Nì-pok	Непал
Â-man	Оман
Pâ-kî-sṳ̂-thán	Пакистан
Khà-tha̍t	Катар
Mióng-khiù	Теннис
Sâ-vû-thi Â-lâ-pak	Саудовская Аравия
Sṳ̂-lî-làn-khà	Шри-Ланка
Si-li-â	Сирия
Kâ	Галлий
Thap-kit-khiet-sṳ̂-thán	Таджикистан
中華民國	Китайская Республика
YouTube	YouTube
Châ	Германий
Thai-koet	Таиланд
Sṳ̂n	Мышьяк
Thú-khû-man-sṳ̂-thán	Туркмения
Abakan	Абакан
Sî	Селен
Yî	Иридий
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Объединённые Арабские Эмираты
Tshiù (溴)	Бром
Pha̍k (鉑)	Платина
Ye̍t-nàm	Вьетнам
Thai-hòn Mìn-koet	Республика Корея
Khiet	Криптон
Â-fu-hon	Афганистан
J. R. R. Tolkien	Толкин, Джон Рональд Руэл
Lù	Рубидий
Kîm	Золото
Men-kâ-lâ-koet	Бангладеш
Ufa	Уфа
Ôn-kô-lâ	Ангола
Vùn-lòi	Бруней
Kúng	Ртуть
Fî-li̍t-pîn	Филиппины
Thò	Таллий
Ngie-sat-khiet Ngiù-tun	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
Sṳ̂	Стронций
Yet	Иттрий
Pit	Висмут
Vòng-set	Жёлтый цвет
Tsan-pí-â	Замбия
Sîn-pâ-pu-vî	Зимбабве
北京	Пекин
Tuva Khiung-fò-koet	Тыва
Pok-tshṳ-ngá-na̍p	Ботсвана
Pho (釙)	Полоний
Bayern	Бавария
Baden-Württemberg	Баден-Вюртемберг
Ngo (砈)	Астат
Lòi-sò-thok	Лесото
Mâ-tha̍t-kâ-sṳ̂-kâ	Мадагаскар
Mâ-là-vî	Малави
Stuttgart	Штутгарт
Màu-li-thap-nì-â	Мавритания
Pô-làn-ngìn	Поляки
Mo̍k-sông-pí-khiet	Мозамбик
Na̍p-mí-pí-â	Намибия
Nai-khi̍p-li-â	Нигерия
Ko	Цирконий
Nì	Ниобий
Yû-li-vû-sṳ̂ Khái-sat	Гай Юлий Цезарь
Sṳ̂-vî-sṳ-làn	Свазиленд
Muk	Молибден
Thap	Технеций
Hamburg	Гамбург
Thoi-chhia	Обмен веществ
Miên-yi̍t Hì-thúng	Иммунная система
Lièn-ha̍p-koet	Организация Объединённых Наций
Sîm-chhong	Сердце
Thèu-nó	Головной мозг
Phì-fû	Кожа
Ló	Родий
Làm-set	Синий цвет
Pâ	Палладий
Ngiùn	Серебро
Kak	Кадмий
Yîn	Индий
Siak	Олово
Yu	Уран (элемент)
Thi (銻)	Сурьма
Ti	Теллур
Pu	Плутоний
Tièn	Иод
Nai	Нептуний
Set	Цезий
Phù	Протактиний
Pi	Барий
Thú	Торий
Kap (鉿)	Гафний
Than (鉭)	Тантал (элемент)
Luì	Радий
Tûng	Радон
Alsace	Эльзас
Auvergne	Овернь
Ôn-tet-là-pâng	Андхра-Прадеш
Me̍t-hiet-kîn	Мичиган
Burgundy	Бургундия
Aquitaine	Аквитания (регион)
Schleswig-Holstein	Шлезвиг-Гольштейн
Hâ Saxony	Нижняя Саксония
Pet Rhine-Westphalia	Северный Рейн-Вестфалия
Saxony	Саксония (земля)
Yî-li-nò	Иллинойс
Thuringia	Тюрингия
Saxony-Anhalt	Саксония-Анхальт
Pet Tha̍t-khô-thâ	Северная Дакота
Brandenburg	Бранденбург
Bremen-chû	Бремен (земля)
Nàm Tha̍t-khô-thâ	Южная Дакота
Mùng-thai-nâ	Монтана
Fài-ngò-mìn	Вайоминг
Yâ-lu-sat-lâng	Иерусалим
Oi-tha̍t-hòt	Айдахо
Fà-sṳn-tun	Вашингтон (штат)
Lù (鑪)	Резерфордий
Nui-fà-tha̍t	Невада
Hàn (𨧀)	Дубний
Hí (𨭎)	Сиборгий
Yin-thu-yòng	Индийский океан
Khô-sò-vok	Республика Косово
Kâ-le̍t-pí-hói	Карибское море
Pô (𨨏)	Борий
Het (𨭆)	Хассий
Phan Kî-vùn	Пан Ги Мун
Ma̍k (䥑)	Мейтнерий
Khô-lò-là-tô	Колорадо
Tha̍t	Дармштадтий
Siau-pâng	Шопен, Фредерик
Lùn	Рентгений
Kô (鎶)	Коперниций
分類:Chú-yeu fûn-lui	Категория:Всё
Chi-kâ-kô	Чикаго
Arnhem	Арнем
Tûng-kui	Зима
Sî-pân-ngà-ngî	Испанский язык
Fî-là-thiet-fî	Филадельфия
Tî-tû	Пауки
Hèu-è	Обезьяны
Kîm-tshièn	Деньги
Vì-kit-nì-â	Виргиния
Sî Vì-kit-nì-â	Западная Виргиния
Tshiâng-tséu	Перец овощной
Néu-yok-chû	Нью-Йорк (штат)
Sṳ (鈰)	Церий
Phú	Празеодим
Lò-tet-tó	Род-Айленд
Ńg	Неодим
Khûn-chhùng	Насекомые
Mâ-lî-làn	Мэриленд
Thi̍t-lâ-ngá	Делавэр
Yû (銪)	Европий
Ngò-hài-ngò	Огайо
Vì-kit-ngì	Вергилий
Machiavelli	Макиавелли, Никколо
Pîn-sé-fap-nì-â	Пенсильвания
Uetersen	Итерзен
O-kú-sṳ̂-tû	Октавиан Август
Néu Chhe̍t-sî-chû	Нью-Джерси
Fûn-làn-ngî	Финский язык
Yin-thi-ôn-na̍p	Индиана
Vì-sṳ̂-pha-siên	Веспасиан
Thù-là-chṳ̂n	Траян
Hâ-tet-liòng	Адриан
Khièu-tshṳ-â	Джорджия
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Марк Аврелий
Zagreb	Загреб
Tet-khiet-sat-sṳ̂	Техас
Thai-mí-ngì-na̍p-tet-pâng	Тамилнад
Pet Khà-lò-lòi-na̍p	Северная Каролина
Nàm Khà-lò-lòi-na̍p	Южная Каролина
Loire-sén	Луара
Pâ-set-lò-nâ	Барселона
Vòng-lî	Ананас крупнохохолковый
Me̍t-sî-sî-pí	Миссисипи (штат)
Thièn-na̍p-sî	Теннесси
Néu Me̍t-sî-kô	Нью-Мексико
Mìn-nì-sû-tha̍t	Миннесота
Vî-sṳ̂-không-sîn	Висконсин
Oi-hò-fà	Айова
Nui-pu-lâ-sṳ̂-kâ	Небраска
Khâm-sat-sṳ̂	Канзас
Yin-thi-ngî	Хинди
Me̍t-sû-lî	Миссури (штат)
Lu-yi-sṳ̂-ôn-ná	Луизиана
Khén-thap-kî	Кентукки
Â-khén-set	Арканзас
Neil Armstrong	Армстронг, Нил
O-khiet-lâ-hò-mâ	Оклахома
Pet-hói	Северное море
Mo̍k-sṳ̂-khô-chû	Московская область
Kiel	Киль (город)
Schwerin	Шверин
Potsdam	Потсдам
Hanover	Ганновер
Düsseldorf	Дюссельдорф
Mainz	Майнц
Wiesbaden	Висбаден
Saarbrücken	Саарбрюккен
