非洲	Африка
Liâu-nèn	Ляонин
El Cid	Сид Кампеадор
Jim Morrison	Моррисон, Джим
Kóng-khiéu	Порт
Thòi-vân Thò-yèn Koet-chi Kî-chhòng	Тайвань-Таоюань (аэропорт)
Kit-lìm	Гирин
Fù-nàm	Хунань
Chhiâng-hói	Цинхай
Vì-ngâ-ngì-tshu̍k	Уйгуры
Rhône-sén	Рона (департамент)
Koet-kâ Kûng-yèn	Национальный парк
Pâ-lì Charles-de-Gaulle Koet-chi Kî-chhòng	Париж — Шарль-де-Голль
Chṳ̂-sán	Актив (бухгалтерия)
O-le̍t-liòng	Аврелиан
Fù-pet	Хубэй
Sân-sî	Шаньси
Hòng-khûng Kûng-sṳ̂	Авиакомпания
Hò-khiéu-vân	Эстуарий
Chûng-set	Коричневый цвет
Kui-chû	Гуйчжоу
Berkelland	Беркелланд
Chûng-khi Sṳ̀n-kîn Ne-thúng	Центральная нервная система
Yî-fut-só	Эфес (город)
Ôn-tha̍t-màn Hói	Андаманское море
Yok-sû-â-ki	Книга Иисуса Навина
Sî-pet Yîn-kak-làn	Северо-Западная Англия
Shám-sî-sén	Шэньси
Tûng-pet Yîn-kak-làn	Северо-Восточная Англия
Tûng Midlands	Восточный Мидленд
Tûng Yîn-kak-làn	Восточная Англия
Tûng-nàm Yîn-kak-làn	Юго-Восточная Англия
Sî-nàm Yîn-kak-làn	Юго-Западная Англия
模板:Commonscat	Шаблон:Commonscat
Sî Midlands	Западный Мидленд
Yorkshire lâu Humber	Йоркшир и Хамбер
Kòn Se-pâu	Стволовые клетки
Lò-mâ-sû	Послание к Римлянам
Mâ-liuk-kap Hói-hia̍p	Малаккский пролив
Yù-thai Vòng-koet	Иудейское царство
Mî-koet Pha̍k-ngìn	Белые американцы
Fî-yí Mî-koet Het-ngìn	Афроамериканцы
Mà-sat-chû-set Lî-kûng Ho̍k-yen	Массачусетский технологический институт
Pô-sṳ-tun Thai-ho̍k	Бостонский университет
Yâ-lû Thai-ho̍k	Йельский университет
Nàm-pet-chêu	Южные и Северные Династии
Liû-Sùng	Лю Сун
Fûn-lî	Свадьба
Pan Chúng-thúng-chṳ	Смешанная республика
Kâ-phìn-khiùn	Капхён
Kô-sàng-khiùn (Hôn-koet)	Косон (Канвондо)
Fâi-sân-khiùn	Квесан
Kím-sân-khiùn	Кымсан
Tan-yòng-khiùn (Hôn-koet)	Танян
Po-ên-khiùn	Поын
Fù-yì-khiùn	Пуё (уезд)
Sû-chhôn-khiùn	Сочхон
Yòng-khiéu-khiùn	Янгу (Корея)
Siong-yòng-khiùn	Янъян
Yòng-phìn-khiùn	Янпхён
Lî-chû-sṳ	Йоджу
Liên-chhôn-khiùn	Йончхон (уезд)
Yún-thùng-khiùn	Йондон
Nèn-ye̍t-khiùn	Йонволь
Lî-sân-khiùn	Есан
Vok-chhôn-khiùn	Окчхон
Yîm-sàng-khiùn	Ымсон
Lîn-thài-khiùn	Индже
Tsin-san-khiùn	Чонсон
Chên-phiàng-khiùn	Чынпхён
Chṳ́n-chhôn-khiùn	Чинчхон
Thiet-ngièn-khiùn	Чхорвон
Chhiâng-yòng-khiùn	Чхонъян
Thai-ôn-khiùn	Тхэан
Fùng-sàng-khiùn	Хонсон (Чхунчхон-Намдо)
Fùng-chhôn-khiùn	Хончхон
Fà-chhôn-khiùn	Хвачхон
Vàng-sàng-khiùn	Хвенсон
Fî-li̍p-pí-sû	Послание к Филиппийцам
Thiên-koet Pat-fuk	Заповеди блаженства
Mî-koet Lièn-pâng Chún-phi Ne-thúng	Федеральная резервная система
Kúai-é	Бесхвостые
Hâ Sî-lî-sî-â-sén	Нижнесилезское воеводство
Khù-â-vì - Pô-mî-là-nì-â-sén	Куявско-Поморское воеводство
Lû-pu-lìm-sén	Люблинское воеводство
Lû-pu-sṳ̂-khà-sén	Любуское воеводство
Lò-tsṳ-sén	Лодзинское воеводство
Séu Pô-làn-sén	Малопольское воеводство
Mâ-tsó-fû-sá-sén	Мазовецкое воеводство
O-pô-lòi-sén	Опольское воеводство
Khak-ngì-pâ-yèn-sân-sén	Подкарпатское воеводство
Pô-tet-là-chhia-sén	Подляское воеводство
Pô-mî-là-nì-â-sén	Поморское воеводство
Sî-lî-sî-â-sén	Силезское воеводство
Sṳn-sṳ̍p-sṳ-sén	Свентокшиское воеводство
Sî Pô-mî-là-nì-â-sén	Западно-Поморское воеводство
Pâ-lùn-sî-â-sén	Валенсия (провинция)
Sat-là-kô-sat-sén	Сарагоса (провинция)
Vùi-sṳ̂-khà-sén	Уэска (провинция)
Baak-gaa-seng	Сто фамилий
Sok-lî-â-sén	Сория (провинция)
Hien-thoi Khì-chhâ	Hyundai Motor
Kîm Tsang-ên	Ким Чен Ын
Pu-nùng-ngî	Бунун (язык)
Kông-sî	Цзянси
Wernher von Braun	Браун, Вернер фон
Nèn-ha	Нинся-Хуэйский автономный район
Lí Hién-liùng	Ли Сяньлун
Kîm-fà-sṳ	Цзиньхуа
Thòi-chû-sṳ	Тайчжоу (Чжэцзян)
Phòng-châ-phú-ngî	Панджаби
Phú-sṳ̍p-thok-ngî	Пушту
Yâ-chû	Кабан
Chû-hói-sṳ	Чжухай
Sân-thèu-sṳ	Шаньтоу
Shâu-kûan-sṳ	Шаогуань
Kông-mùn-sṳ	Цзянмынь
Chhám-kông-sṳ	Чжаньцзян
Shàu-khin-sṳ	Чжаоцин
Fi-chiu-sṳ	Хойчжоу
Mòi-chiu-sṳ	Мэйчжоу
San-mî-sṳ	Шаньвэй
Hò-ngièn-sṳ	Хэюань
Yòng-kông-sṳ	Янцзян
Chhîn-yén-sṳ	Цинъюань
Tûng-kôn-sṳ	Дунгуань
Chûng-sân-sṳ	Чжуншань (город)
Chhèu-chiu-sṳ	Чаочжоу
Mâ-liuk-kap-sṳ	Малакка (город)
Khiâu-chhṳ-sṳ	Джорджтаун (Пенанг)
IPhone 5	IPhone 5
Nàm-Chhî	Южная Ци
Mèu-li̍t-yen	Мяоли (уезд)
Sṳn-chhôn-lî	Евхаристия
Fuk-chiu-sṳ	Фучжоу
Nàm-phìn-sṳ	Наньпин
Phû-thièn-sṳ	Путянь
Sâm-mìn-sṳ	Саньмин
Tshièn-chiu-sṳ	Цюаньчжоу
Hà-mûn-sṳ	Сямынь
Chông-chiu-sṳ	Чжанчжоу
Liùng-ngâm-sṳ	Лунъянь
Nèn-tet-sṳ	Ниндэ
Sî-pak-li-â Fú	Амурский тигр
Buren	Бюрен (община)
Pat-tet-sṳ	Бадэ
Sîn-chuk-yen	Синьчжу (уезд)
Nó	Мозг
Thông Ngiâ-mong	Шалль фон Белль, Адам
Yáng-chhiong Chín-thôn-ho̍k	Радиология
Rumia	Румя
Kluczbork	Ключборк
La̍p-tsuk	Свеча
Hiet-chiong	Плазма крови
Southampton	Саутгемптон
Lu-tet-ki	Книга Руфь
Hâ-sat-khiet-chhu̍k	Казахи
Yòng-mî	Разнокрылые
Chit-fûn-ho̍k	Интеграл
Kô-lìm-tô-chhièn-sû	1-е послание к Коринфянам
Sî-pân-ngà Ti-koet	Испанская империя
Sṳ-sṳ̂-ki	Книга Судей Израилевых
Po-lîn-chhòi	Шпинат огородный
Pâ-set-lò-nâ-sén	Барселона (провинция)
Nàm-thèu-yen	Наньтоу (уезд)
Liuk-piên-hìn	Шестиугольник
Thòi-pet 101	Тайбэй 101
Lùn-tûn Thap-khiâu	Тауэрский мост
Luì-kûng	Гром
Siù-li Yún-kòn-sien-chhùng	Caenorhabditis elegans
O-pô-lòi	Ополе
Sopot	Сопот (Польша)
Â-sṳ̂-thù-lî-â-sṳ̂-sén Chhṳ̍t-hot-sṳ	Муниципалитеты Астурии
Kám-lám-yù	Оливковое масло
Chim-sin-fi	Баптизм
Lie̍t-yî-tha̍t-sén Chhṳ̍t-hot-sṳ	Муниципалитеты Льейды
Set-vì-li-â-sén	Севилья (провинция)
Thap-là-kô-na̍p-sén	Таррагона (провинция)
Provence-sén	Прованс
Kî-hài Kûng-chhàng	Машиностроение
Apeldoorn	Апелдорн
Lìm-pó-ngî	Лимбургский язык
Khái-ngì-chhái	Кельце
Bytom	Бытом
Ôn-sit-ngit	Шаббат
Khìm-sṳ̂-thok-khok-ngá	Ченстохова
Zabrze	Забже
Ôn-sit-ngit-fi	Церковь адвентистов седьмого дня
Jean Michel Jarre	Жарр, Жан-Мишель
Thai Pô-làn Thi-khî Kô-yî-fû	Гожув-Велькопольский
Là-tô-mê	Радом
Lo̍k-chham-ki-yen	Лос-Анджелес (округ)
Słupsk	Слупск
Sosnowiec	Сосновец
Gliwice	Гливице
Yo̍k-sṳ̂	Аптекарь
Hi-kôn Yì-chhṳ̍t	Трансплантация
Pâ-lùn-sî-â-sén Chhṳ̍t-hot-sṳ	Муниципалитеты Валенсии
Bielsko-Biała	Бельско-Бяла
Rybnik	Рыбник
Tân-fu̍t Se-pâu	Моноцит
Mâ-khó-fuk-yîm	Евангелие от Марка
Ruda Śląska	Руда-Слёнская
Yok-thán-vòng	Иоафам
Thò-yèn-yen	Таоюань (Тайвань)
10000000	10 000 000 (число)
Nò-mí	Клейкий рис
Kîn-tû-fú	Киото (префектура)
Kau-su	Профессор
Thai-fán-fú	Осака (префектура)
Fuk-kông-yen	Фукуока (префектура)
Oi-yèn-yen	Эхимэ
Kô-lìm-tô-heu-sû	2-е послание к Коринфянам
Khien-mî	Культуризм
Chhùng-hièn	Земляные черви
Port Elizabeth	Порт-Элизабет (ЮАР)
Kimberley (Nàm-fî)	Кимберли (ЮАР)
Yok-sâ-fap-vòng	Иосафат
Thòi-vân Hói-hia̍p	Тайваньский пролив
Sî Khôi-phú-sén	Западно-Капская провинция
Yamaguchi-yen	Ямагути (префектура)
Khiâu-chhṳ Sâm-sṳ	Георг III (король Великобритании)
Chûng-koet Thi-fông	Тюгоку
Mî-koet Thu̍k-li̍p Siên-ngièn	Декларация независимости США
Sâm-tshûng-yen	Миэ
Yù-mu̍k mìn-chhu̍k	Кочевники
Hiông-pak-su	Кедр
Hî-pak-lòi-sû	Послание к Евреям
Kâ-lâ-thai-sû	Послание к Галатам
Màn-é	Угреобразные
Sông-chhèu	Шан (династия)
Thai-thúi	Бедро
Pîn-khù-yen	Хёго
Kiûng-khì-yen	Миядзаки (префектура)
Yùng-pún-yen	Кумамото (префектура)
Fò-phìn-sṳ	Хоабинь
Stamford Raffles	Раффлз, Стэмфорд
Sha̍m-é	Певчие цикады
Tûng Khôi-phú-sén	Восточно-Капская провинция
Fap-koet Hòng-khûng	Air France
Lie̍t-vòng-ki-song	Третья книга Царств
Kô-lò-sî-sû	Послание к Колоссянам
Ngâ-kok-sû	Послание Иакова
Yok-hon-yit-sû	1-е послание Иоанна
Fî-li-mùn-sû	Послание к Филимону
Thiap-sat-lò-nì-kâ-heu-sû	2-е послание к Фессалоникийцам
Thiap-sat-lò-nì-kâ-chhièn-sû	1-е послание к Фессалоникийцам
Pí-tet-chhièn-sû	1-е послание Петра
Thì-mô-thai-chhièn-sû	1-е послание к Тимофею
Lí Kông-yeu	Ли Куан Ю
Chṳ̂-kâ-kô Thai-ho̍k	Чикагский университет
Tsṳ̂-fo-yen	Сига
Mu-nì-het Kî-chhòng	Мюнхен (аэропорт)
Yok-hon-ngi-sû	2-е послание Иоанна
Thì-mô-thai-heu-sû	2-е послание к Тимофею
Thì-tô-sû	Послание к Титу
Yî-sṳ̂-lâ-ki	Книга Ездры
Nì-hî-mí-ki	Книга Неемии
Pietersburg	Полокване
Séu Pha̍k-Lù	Малая белая цапля
Chhòn-ngiam-phiang	Инфекционные заболевания
Kôn-yàm	Гепатит
Chhûn-chiet	Китайский Новый год
Shinzō Abe	Абэ, Синдзо
Mpumalanga-sén	Мпумаланга
Pet Khôi-phú-sén	Северо-Капская провинция
Tó-kîn-yen	Симанэ
Kông-sân-yen	Окаяма (префектура)
Gauteng-sén	Гаутенг
Thung-fûng	Подагра
Chông-fa-yen	Чжанхуа (уезд)
Thai-fûn-yen	Оита (префектура)
Tiâu-tshí-yen	Тоттори (префектура)
Nùng-la̍k	Китайский календарь
Kô-tî-yen	Коти (префектура)
Pha̍k-hèu	Дифтерия
Exeter	Эксетер
Saint Lawrence-hò	Река Святого Лаврентия
Limpopo-sén	Лимпопо (провинция)
Kô-tén Kau-yuk	Высшее образование
Sân-tá-kîn	Сандакан
Â-pí	Кота-Кинабалу
Hak-kâ-tóng	Партия Хакка
Ngi̍t-pún thúng-tshṳ sṳ̀-thoi (Thòi-vân)	Тайвань под властью Японии
Phok Kiún-fi	Пак Кын Хе
Lévis	Леви (Квебек)
Thòi-fûng	Тайфун
Thòi-nàm-sṳ	Тайнань
Laval (Québec)	Лаваль (Квебек)
Mâ-lòi Pô-lî-nì-sî-â Ngî-chhu̍k	Малайско-полинезийские языки
Fên-yòng-sṳ	Хэнъян
Mân-chiu-tshu̍k	Маньчжуры
Zambrów	Замбрув
Doetinchem	Дутинхем
Zamość	Замосць
Malbork	Мальборк
Groesbeek	Грусбек
Mì-chit-fûn-ho̍k	Математический анализ
Mì-fûn	Дифференциальное исчисление
Ngo̍k-yòng-sṳ	Юэян
BP	BP
Sú-thiàu	Картофель фри
Yùn-lìm-yen	Юньлинь (уезд)
Kiok-tsṳ́	Палец ноги
Vî-liâm Â-li̍t-sân-thai (Hò-làn)	Виллем-Александр
Krasnystaw	Красныстав
Vì-tô-li-â Kóng	Виктория (бухта)
Sî-kung-khî	Сайкун
Mâ-nâ-sî-vòng	Манассия (царь Иудеи)
Kî-kîm-fi	Фонд
A-hîn Kôn-yàm	Гепатит А
Yù-tsiâm-vong-khî	Яучимвон
Fûng-sái	Хурма восточная
Tshṳ̍t-tshòng	Прямая кишка человека
Chhṳ-yù Pâng-sén	Фри-Стейт
Tsó-fo-yen	Сага (префектура)
Tet-tó-yen	Токусима (префектура)
Sî-pân-ngà-ngìn	Испанцы
Fu̍t-chhṳ̂ Khiung-chṳn Sṳ̀n-siong	Магнитно-резонансная томография
Hiông-tshon-yen	Кагава (префектура)
Reading, Berkshire	Рединг (Англия)
Kâ-chû Lî-kûng Ho̍k-yen	Калифорнийский технологический институт
Vì-ngì-tshṳ-páu Thai-ho̍k	Вюрцбургский университет
Êu-kí-lî-tet Kí-hò	Евклидова геометрия
Si̍t-kuk	Силиконовая долина
Barneveld	Барневелд (община)
Khiu Tha̍t-sîn	Чиннават, Таксин
Kîm-kôa	Тыква (плод)
Thai Sùn-thâ Khiùn-tó	Большие Зондские острова
Doesburg	Дусбург (город)
Sî-pet-sén	Северо-Западная провинция (ЮАР)
Sien-thon	Отрезок
Kâ-ngi-yen	Цзяи (уезд)
Vûn-tai	Умеренный климат
Thai-khi̍t-khièn	Тайцзицюань
Kiok-khwá	Лодыжка
Hò-làn Tâi-thi Sat-khiet-sùn-ngî	Нижнесаксонские диалекты
Pân-kiêu-é	Обыкновенная горлица
Tshòng-khì-yen	Нагасаки (префектура)
Hà-chhèu	Ся (династия)
Chû-vì Sṳ̀n-kîn Ne-thúng	Периферическая нервная система
Lùn-tûn Thai-ho̍k	Лондонский университет
Kip-sú	Числовой ряд
Nelspruit	Мбомбела
Sâ-là-ye̍t-chû	Саравак
Â-chû Thai-phìn-yòng Kîn-tsi Ha̍p-tsok Fi-ngi	Азиатско-Тихоокеанское экономическое сотрудничество
Kôan-chiet-yàm	Артрит
Geldermalsen	Гелдермалсен (община)
Ngò-piên Yì-chhu̍k Chhṳ-chhṳ-yen	Эбянь-Иский автономный уезд
Chûng-la̍k-sṳ	Чжунли
Montauban	Монтобан
Chhòng-sâ-sṳ	Чанша
Thai Put-lie̍t-tiên lâu Oi-ngì-làn Lièn-ha̍p Vòng-koet	Соединённое королевство Великобритании и Ирландии
Kiok-kiên	Пятка
Kûng-fûn	Сантиметр
Lièn-ha̍p Hòng-khûng	United Airlines
Yen-thèu	Глотка
Hò-mí	Миллиметр
Mì-mí	Микрометр
Khi̍t-han (Sú-ho̍k)	Предел (математика)
Theu-fú	Тофу
Phù-sat	Бодхисаттва
Chóng-ló Kau-fi	Пресвитерианство
Hien-thoi Veloster	Hyundai Veloster
Nai-mí	Нанометр
Berlanga de Duero	Берланга-де-Дуэро
Pâ-chûng-sṳ	Бачжун
Sâ-pâ-chû	Сабах
Nàm-nèn-sṳ	Наньнин
Ngâ-li-ôn-ngìn	Арии
Yù-sṳn-mî-thi Koet-kâ Kûng-yèn	Йосемити (национальный парк)
Chhiâng-set	Сине-зелёный цвет
Ho̍k-yen	Факультет
Kô-hiùng-sṳ	Гаосюн
Pet-mî Chhṳ-yù Mo-yi Hia̍p-ngi	Североамериканская зона свободной торговли
Sû-kak-làn-ngìn	Шотландцы
Rustenburg	Рюстенбург
Yen-tsong-fui	Концерт
Yù-fu̍t-chû	Джохор
Ngò-lò-sṳ̂ Lièn-pâng Chhṳ̍t-hot-sṳ	Город федерального значения
Fì-tshu̍k	Хуэй (народ)
Sha̍k-sṳ	Магистр
Preston, Lancashire	Престон
Sî-tí-kâ-vòng	Седекия
Sâm-koet	Эпоха Троецарствия
Chhûn-chhiû Sṳ̀-khì	Период Чуньцю
Chan-koet Sṳ̀-khì	Период Сражающихся царств
Mâ-liuk-kap-chû	Малакка (штат)
Pietermaritzburg	Питермарицбург
Sú-vón	Лучезапястный сустав
Kit-làn-tan-chû	Келантан
Tshông-tshu̍k	Тибетцы
Pîn-sàng-chû	Пинанг
Blackburn	Блэкберн
Chûng-sin Pha̍k-hiet-khiû	Нейтрофильные гранулоциты
Pâng-kâ-tó	Банка (остров)
Phìn-chhông-khiùn	Пхёнчхан
Thai-koet Koet-chi Hòng-khûng Kûng-sṳ̂	Thai Airways International
Thai Ngi̍t-pún Ti-koet	Японская империя
Hiûng-nù	Хунну
Phit-li̍t-chû	Перак
Lùn-tûn Ti-koet Ho̍k-yen	Имперский колледж Лондона
Kui-lìm-sṳ	Гуйлинь
Siet-làn-ngô-chû	Селангор
Tui-kok-sien	Диагональ
Fi-li-phi Liuk-sṳ	Филипп VI (король Испании)
Kûng-tún	Тонна
Phàng-hên-chû	Паханг
中國象棋	Сянци
Pit-sṳn-hak	Пицца Хат
Yim-suk Siáu-tsṳ́	Ёж Соник
Ngo̍k-vûn-khiet-tshu̍k	Эвенки
Nàm-kîn Thai-thù-sat	Нанкинская резня
Yún Chṳ-Hau	Юн Чхи Хо
Phì-mí	Пикометр
Chûng-koet 2010-ngièn Sông-hói Sṳ-kie Pok-lám-fi	Всемирная выставка (2010)
Ngiù-ngiuk	Говядина
Carlisle, Cumbria	Карлайл (Англия)
Sandomierz	Сандомир
Ngit-tèu-kông	Солнечная радиация
Khwon-kûan-tsiet	Тазобедренный сустав
Fûn-kî-hon-khiûn	Микобактерии
Chàu-yòng-sṳ	Шаоян
Phìn-tûng-yen	Пиндун (уезд)
Chông-fa-sṳ	Чжанхуа
Hién-mì-kiang	Микроскоп
Chông-kâ-kie-sṳ	Чжанцзяцзе
Chṳ Sṳ̀n-kûng	Чжэн Чэнгун
Chûng-kông-yen	Чжунцзян
Chon-hiuk	Чжуань-сюй
Chu-chû-sṳ	Чжучжоу
Phàng-fù-yen	Пэнху (уезд)
Kûng-tshun	Дециметр
McGill Thai-ho̍k	Университет Макгилла
Sâm-fòng Ńg-ti	Три властителя и пять императоров
Sanok	Санок
Chhṳ-liù-chiáng-khî	Цзылюцзин
Mâ-tshâ	Колесница
Milton Keynes	Милтон-Кинс
Â-mî-tshu̍k	Ами (народ)
Ên-tién	Благодать
Hî-lìn-tên-khî	Хиллингдон (боро Лондона)
Chṳ̂-yòng-sṳ	Цзыян
Sṳ̀n-chhùng	Имаго
Chang Thien-chṳ́ Fat-sa Kie-son-kî Thôn-chhèn Só-mèu	Позитронно-эмиссионная томография
Przemyśl	Пшемысль
Chhiòn-khiû Sàng-sṳ	Глобальный город
Pî-mí	Ферми (единица измерения)
Burnley	Бернли
Tûng Lùn-tûn, Tûng Khôi-phú-sén	Ист-Лондон
Sat-mû-ngí-ki-ha	Вторая книга Царств
Lie̍t-vòng-ki-ha	Четвёртая книга Царств
Biała Podlaska	Бяла-Подляска
Mèu-tshu̍k	Мяо
Pet-hói-sṳ	Бэйхай
Mafikeng	Мафикенг
Mí-sâ-yên Khiùn-tó	Висайские острова
Yông-muì-sṳ	Янмэй
Lò-pô-ôn-vòng	Ровоам
Slough	Слау
Thì-mô-thai	Тимофей Эфесский
Chho̍k-sṳ̂-lia̍p	Центромера
Tûng-hò, Néu-yok-sṳ	Ист-Ривер
Chhêu-fông-hìn	Гиперкуб
Sêm-mî-làn-chû	Негри-Сембилан
Brzeg	Бжег
Fidel Valdez Ramos	Рамос, Фидель Вальдес
Łomża	Ломжа
Siong-thâm-sṳ	Сянтань
Thûng-tshu̍k	Дун (народ)
Pak-fo Kûng-sṳ̂	Универсальный магазин
Thòi-vân Ngièn-tshu-mìn	Аборигены Тайваня
騷靈現象	Полтергейст
Tha̍t-vat-ngì-tshu̍k	Дауры
Na̍p-sî-tshu̍k	Наси (народ)
Kô-hiùng-yen	Гаосюн (уезд)
Outaouais	Оттава (Квебек)
Kuî-é	Черепахи
Pak-sâ-sat	Валтасар
Tshièn-pí	Предплечье
Yî-set-lie̍t Vòng-koet	Северно-Израильское царство
Tshòn-fì Yâ-lu-sat-lâng Yun-thung	Назад в Иерусалим!
Sîn-sân-sṳ	Джохор-Бару
Khiu-kîm-sân Vân	Сан-Франциско (залив)
Li Mâ-teu	Риччи, Маттео
Tshài Yîn-vùn	Цай Инвэнь
Chełm	Хелм
Pha̍k-ngìn	Белые люди
Â-ha̍p-vòng	Ахав
Suwałki	Сувалки
Ngì-làn-yen	Илань (Тайвань)
Sî-làn-ngî	Зеландский диалект
Maidenhead	Мейденхед
Chû Khiet-lùn	Чоу, Джей
Winburg	Винбург
Kiú-liùng	Коулун
Nâ-pô-nì-tha̍t	Набонид
Kiap-kông-yen	Цзяцзян
Ngie-mí-li-ôn Lò-mâ-nok-ngî	Эмилиано-романьольское наречие
Sîn-pet-sṳ	Синьбэй
Hî-sî-kâ-vòng	Езекия
Thòi-chûng-sṳ	Тайчжун
IPhone 4S	IPhone 4s
Jędrzejów	Енджеюв
Fâ-lièn-yen	Хуалянь (уезд)
Kîm-mùn-yen	Цзиньмэнь
Thòi-tûng-yen	Тайдун (уезд)
Sîn-chuk-sṳ	Синьчжу
Kâ-ngi-sṳ	Цзяи
Kî-lùng-sṳ	Цзилун
Pet-thèu-khî (Thòi-pet-sṳ)	Бэйтоу
Thai-ôn-khî (Thòi-pet-sṳ)	Даань (Тайбэй)
Sṳ-lìm-khî (Thòi-pet-sṳ)	Шилинь
Busko-Zdrój	Буско-Здруй
Àu-thai-li-â Ngièn	Австралийский доллар
Mò Chhiang-li ke Thung-vu̍t	Нечистые животные
Kroonstad	Крунстад
Hon-ho̍k	Синология
Thai-thùng-khî (Thòi-pet-sṳ)	Датун (Тайбэй)
Nui-fù-khî (Thòi-pet-sṳ)	Нэйху
Yî-pó-sṳ	Ипох
Ná-pô-pha-lâ-sâ-ngì	Набопаласар
Â-pí-ngâ-vòng	Авия
Sûn N̂g	У (Троецарствие)
Pha̍k-chhu̍k	Бай (народ)
Pińczów	Пиньчув
Aalten	Алтен
Xuxa	Шуша (певица)
Hajnówka	Хайнувка
Lubartów	Любартув
Lucélia Santos	Сантус, Луселия
Montréal-tó	Монреаль (остров)
IPhone 3GS	IPhone 3GS
IPhone 4	IPhone 4
IPhone 3G	IPhone 3G
Tûng-Chû	Восточная Чжоу (династия)
Mâ-lòi-sî-â Hòng-khûng	Malaysia Airlines
Lì-tshu̍k	Ли (народ)
Chûng-sî-khî (Hiông-kóng)	Центральный и Западный округ Гонконга
Mí-nâ-hien-vòng	Менахем
Â-ha̍p-chhia-vòng (Yî-set-lie̍t)	Охозия (царь Израиля)
Â-ha̍p-chhia-vòng (Yù-thai)	Охозия (царь Иудеи)
Yok-làn-vòng (Yù-thai)	Иорам (царь Иудеи)
Â-sat-li-ngâ	Озия
Peter Nalitch	Налич, Пётр Андреевич
Yâ-lò-pô-ôn yit-sṳ	Иеровоам I
Am-li-vòng	Омри
Nâ-tap-vòng	Надав
Pâ-sâ-vòng	Бааша
Yâ-fu-vòng	Иегу
Yok-sî-â-vòng	Иосия
Yok-â-sṳ̂-vòng (Yù-thai)	Иоас (царь Иудеи)
Sîm-li-vòng	Зимри
Yâ-lò-pô-ôn ngi-sṳ	Иеровоам II
Yî-vi-mí-lò-tha̍t	Амель-Мардук
Â-mâ-chhia-vòng	Амасия (царь Иудеи)
Yî-sṳ̂-pô-sat-vòng	Иевосфей
N̂g Chok-tùng	Го Чок Тонг
Â-sat-vòng	Аса
Â-mùn-vòng	Амон (царь Иудеи)
Chong Koet-yùng（Chong Fat-chûng）	Чун, Лесли
Lí Tên-Fî	Ли Дэнхуэй
Yî-lâ-vòng	Эла
Yok-ngâ-kin-vòng	Иоаким (царь Иудеи)
Hò-se-â-vòng	Осия (царь Израиля)
Yok-ngâ-kîn-vòng	Иехония
Biłgoraj	Билгорай
Chhî Chai-Phit	Со Джэпхиль
Puławy	Пулавы
Chuk Hon	Шу (царство)
Chhâu Ngùi	Вэй (Троецарствие)
Abitibi-Témiscamingue	Абитиби — Темискаминг
Staszów	Сташув
Iwakuni-sṳ	Ивакуни
Kâu-thûng kûng-khí	Виды транспорта
Phok Hièn-yún	Пак Хон Ён
Sat-kâ-li-ngâ-vòng	Захария (царь Израиля)
Yok-ha̍p-sṳ̂-vòng	Иоахаз (царь Израиля)
Fùng Siù-chhiòn	Хун Сюцюань
Yok-â-sṳ̂-vòng (Yî-set-lie̍t)	Иоас (царь Израиля)
Yok-làn-vòng (Yî-set-lie̍t)	Иорам (царь Израиля)
Pí-kâ-vòng	Факей
Sâ-liùng-vòng	Шалум
Pí-kâ-hot-vòng	Факия (царь Израиля)
Khiu Sṳ̀n-thûng	Яу Шинтан
Fùng Puk-kím Kiê	Золотой фазан
Grajewo	Граево
Sat-lâ-tshu̍k	Салары
Yok-ha̍p-sṳ-vòng	Иоахаз (царь Иудеи)
Łapy	Лапы
Sin-ngióng	Невеста
Chhiâng-pa̍k-kông-khî	Цинбайцзян
瑤族	Яо (народ)
Hagi-sṳ	Хаги
Wong Hi-zi	Ван Сичжи
Chûng-chhiû-chiet	Праздник середины осени
Nài-lî-kak-li-sâ-ngì	Нергал-шар-уцур
Fùng-theu	Адзуки
Łuków	Лукув
Łęczna	Ленчна
Świdnik	Свидник (Польша)
Pô-sṳ̂ Ti-koet	Держава Ахеменидов
Nagato-sṳ	Нагато (город)
Mâ-thai-fuk-yîm	Евангелие от Матфея
Sṳ̍p-sṳ-ka	Крест в христианстве
Â-chû Hòng-khûng X	AirAsia X
Â-chû Hòng-khûng	AirAsia
Yî-fut-só-sû	Послание к Ефесянам
Sòng-tet-sṳ	Чандэ
Yit-yòng-sṳ	Иян
Chhim-chû-sṳ	Чэньчжоу
Tshî Kông-khí	Сюй Гуанци
Sàng-khî (San-mî-sṳ)	Чэнцюй
Súi-nèn-sṳ	Суйнин (городской округ)
Nui-kông-sṳ	Нэйцзян
Tha̍t-chû-sṳ	Дачжоу
Ngá-ôn-sṳ	Яань
10000	10 000 (число)
Fú-kûa	Момордика харанция
Fún-fùng-set	Розовый цвет
Nâ-sat-le̍t	Назарет
Thòi-vân kâu-thûng	Транспорт в Китайской Республике
Yî-tshu̍k	И (народ)
Â-thâ-li-ngâ	Гофолия
Augustów	Августов
Windsor, Berkshire	Виндзор
Kô Khô-kî	Высокие технологии
Tai Tet-sâng	Тейлор, Хадсон Джеймс
Hòn Hòn	Хань Хань
Tczew	Тчев
Hâ-nì-tshu̍k	Хани (народ)
Fù-chṳ-mìn-sṳ Kî-chhòng	Таншоннят
Hien-thoi Accent	Hyundai Accent
