Africa	Африка
Xapon	Япония
Ixachitlān Huitztlāmpa	Южная Америка
Noruega	Норвегия
Inglatlālpan	Англия
Wales	Уэльс
Irtlālpan	Ирландия
Hungria	Венгрия
Caxtillān	Испания
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	Соединённые Штаты Америки
Belgica	Бельгия
Luxemburgo	Люксембург
Cemānāhuac	Вселенная
Tlālticpactli	Земля
Miquiztli	Смерть
Tlācatl	Человек разумный
George Washington	Вашингтон, Джордж
Stanley Kubrick	Кубрик, Стэнли
Fintlālpan	Финляндия
Suecia	Швеция
Dinamarca	Дания
Polonia	Польша
Lituania	Литва
Italia	Италия
Suiza	Швейцария
Austria	Австрия
Grecia	Греция
Turquia	Турция
Portugal	Португалия
Europan	Европа
Asia	Азия
Ixachitlān Mictlāmpa	Северная Америка
Antartida	Антарктида
Huiquipedia	Википедия
Tlanitlālpan	Нидерланды
Tepōlli	Пенис у животных
Āltepētl Yancuīc York	Нью-Йорк
Washington, D.C.	Вашингтон (округ Колумбия)
San Francisco, California	Сан-Франциско
Berlin	Берлин
Los Ángeles	Лос-Анджелес
Chīuhpōhualhuaztli	Компьютер
Berna	Берн
Zurich	Цюрих
Mātlatzālantli	Интернет
Barack Obama	Обама, Барак
Uruguay	Уругвай
Londres	Лондон
In Cairo	Каир
Alexandria	Александрия
Manzana	Яблоко
Paris	Париж
Abraham Lincoln	Линкольн, Авраам
Google	Google (компания)
Mēxihco	Мексика
Ilhuicaātl Atlántico	Атлантический океан
Tēpāpāquiltiliztli Ilhuicaātl	Тихий океан
California	Калифорния
Mētztlitōnal	Понедельник
Ic cē mētztli	Январь
Ic ōme mētztli	Февраль
Ic ēyi mētztli	Март
Chīchīlcītlalli	Марс
Quenia	Кения
Etiopia	Эфиопия
Ghana	Гана
Ic nāuhtetl mētztli	Апрель
Ic mācuīlli mētztli	Май
Ic chicuacen mētztli	Июнь
Ic chicōme mētztli	Июль
Ic chicuēyi mētztli	Август
Ic chiucnāhui mētztli	Сентябрь
Ic mahtlāctetl mētztli	Октябрь
Ic mahtlāctetl oncē mētztli	Ноябрь
Ic mahtlāctetl omōme mētztli	Декабрь
