Afraga	Африка
An t-Seapan	Япония
Aimearaga a Deas	Южная Америка
Nirribhidh	Норвегия
Sasainn	Англия
Alba	Шотландия
A' Chuimrigh	Уэльс
Èirinn a Tuath	Северная Ирландия
Poblachd na h-Èireann	Ирландия
An Ungair	Венгрия
An Spàinn	Испания
Na Stàitean Aonaichte	Соединённые Штаты Америки
A' Bheilg	Бельгия
Lucsamburg	Люксембург
Saoghal	Земля
George Washington	Вашингтон, Джордж
Tim Berners-Lee	Бернерс-Ли, Тим
Suòmaidh	Финляндия
An t-Suain	Швеция
An Danmhairg	Дания
A' Phòlainn	Польша
Liotuàinia	Литва
An Eadailt	Италия
An Eilbheis	Швейцария
An Ostair	Австрия
A' Ghrèig	Греция
An Tuirc	Турция
Leann	Пиво
A' Phortagail	Португалия
An Roinn-Eòrpa	Европа
Àisia	Азия
Aimearaga a Tuath	Северная Америка
Antargtaga	Антарктида
Uicipeid	Википедия
Na Tìrean Ìsle	Нидерланды
Bod	Пенис у животных
Eabhraig Nuadh (baile)	Нью-Йорк
Washington, D.C.	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berlin	Берлин
Los Angeles	Лос-Анджелес
Coimpiutair	Компьютер
Berne	Берн
Geneva	Женева
Zürich	Цюрих
Eadar-lìon	Интернет
Barack Obama	Обама, Барак
Uruguaidh	Уругвай
Basel	Базель
Lunnainn	Лондон
Cairo	Каир
Alexandria, Virginia	Александрия (Виргиния)
Ubhal	Яблоко
Paris	Париж
Abraham Lincoln	Линкольн, Авраам
Meagsago	Мексика
Cuan Siar	Атлантический океан
Cuan Sèimh	Тихий океан
Calafòrnia	Калифорния
Boston, Massachusetts	Бостон
Di-Luain	Понедельник
Am Faoilleach	Январь
An Gearran	Февраль
Am Màrt	Март
Corg	Марс
A' Cheinia	Кения
An Aetiòp	Эфиопия
Gàna	Гана
An Giblean	Апрель
An Cèitean	Май
An t-Ògmhios	Июнь
An t-Iuchar	Июль
An Lùnastal	Август
An t-Sultain	Сентябрь
An Dàmhair	Октябрь
An t-Samhain	Ноябрь
An Dùbhlachd	Декабрь
Di-Màirt	Вторник
Di-Ciadain	Среда
Di-Ardaoin	Четверг
Di-haoine	Пятница
Di-Sathairne	Суббота
Di-Dòmhnaich	Воскресенье
Leòmhann	Лев
An Fhraing	Франция
Esperanto	Эсперанто
Cù	Собака
An Rìoghachd Aonaichte	Великобритания
Cat	Кошка
Sluagh-Phoblachd na Sìne	Китайская Народная Республика
Fraingis	Французский язык
Iasg	Рыбы
Braisil	Бразилия
Alcol	Спирты
François Hollande	Олланд, Франсуа
An Ruis	Россия
Muc-mhara	Китообразные
Muir	Море
Am Muir Dubh	Чёрное море
Pi	Пи (буква)
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
Quebec	Квебек
Pastà	Макаронные изделия
Wikimedia	Фонд Викимедиа
A' Ghearmailt	Германия
A' Bhealaruis	Белоруссия
Gearmailtis	Немецкий язык
Innis Tìle	Исландия
Dia	Бог
Eastòinia	Эстония
David Cameron	Кэмерон, Дэвид
Satarn	Сатурн
Teòclaid	Шоколад
Cogadh	Война
Stephen Harper	Харпер, Стивен
George W. Bush	Буш, Джордж Уокер
An Laitbhe	Латвия
An Ucràin	Украина
An t-Seic	Чехия
An t-Slòbhac	Словакия
Sloibhìnia	Словения
Vilnius	Вильнюс
Moldàibhia	Молдавия
Romàinia	Румыния
Bulgàiria	Болгария
An Ròimh	Рим
Masadoinia	Республика Македония
Albàinia	Албания
A' Ghraonlainn	Гренландия (административная единица)
Poblachd na Cròthaise	Хорватия
Bosna agus Hearsagobhana	Босния и Герцеговина
Asarbaideàn	Азербайджан
Andorra	Андорра
Cìopras	Республика Кипр
A' Chairtbheil	Грузия
Casachstàn	Казахстан
Malta	Мальта
Monaco	Монако
Am Monadh Neagrach	Черногория
Cathair na Bhatacain	Ватикан
San Marino	Сан-Марино
A' Bhruiseal	Брюссель
Cùba	Куба
Beilise	Белиз
Barbados	Барбадос
An Innd-Innse	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Turcais	Турецкий язык
Afraga a Deas	Южно-Африканская Республика
Aildiria	Алжир
Usbagastàn	Узбекистан
Poznań	Познань
Tashkent	Ташкент
Warszawa	Варшава
Ìle	Айлей
Eurovision	Конкурс песни Евровидение
Talisker	Talisker
Uisge-beatha	Виски
Fìon	Вино
Uisge	Вода
Fiodh	Древесина
Tours	Тур (город)
Telebhisean	Телевидение
An t-Sile	Чили
Ìosa Crìosd	Иисус Христос
Elvis Presley	Пресли, Элвис
Galileo Galilei	Галилей, Галилео
Mearcair	Меркурий
Eachdraidh	История
An Rìbhinn (planaid)	Венера
Cànan	Язык
Gràdh	Любовь
Am Bliogh	Юпитер
Slighe Chloinn Uisnich	Млечный Путь
Urànus (planaid)	Уран (планета)
A' Bhreatainn Bheag	Бретань (историческая область)
Nicolas Sarkozy	Саркози, Николя
Neiptiùn	Нептун
Reul-eòlas	Астрономия
Singeapòr	Сингапур
Saidheans	Наука
Pliùtò	Плутон
Montreal	Монреаль
Kemper	Кемпер
Tràth teachdail	Будущее
Moire	Богородица
Liechtenstein	Лихтенштейн
Spòrs	Спорт
Cambridge	Кембридж
Adolf Hitler	Гитлер, Адольф
Wikileaks	WikiLeaks
An Cogadh Mòr	Первая мировая война
An Dàrna Cogadh	Вторая мировая война
Köln	Кёльн
Skopje	Скопье
Szczecin	Щецин
Matamataig	Математика
U2	U2
Laideann	Латинский язык
Bachrain	Бахрейн
Airmeinia	Армения
An t-Sèirb	Сербия
Gealach	Луна
Istanbul	Стамбул
Astràilia	Австралия
Fiosaig	Физика
An Argantain	Аргентина
Cian-chonaltradh	Электросвязь
Pearù	Перу
