Hui-chiu	Африка
Ji̍t-pún	Япония
Lâm Bí-chiu	Южная Америка
Lo̍k-ui-kok	Норвегия
Eng-tē	Англия
Scot-tē	Шотландия
Cymru	Уэльс
Pak Éire	Северная Ирландия
Éire	Ирландия
Magyar-kok	Венгрия
Se-pan-gâ	Испания
Bí-kok	Соединённые Штаты Америки
Pí-lī-sî	Бельгия
Luxembourg	Люксембург
Ú-tiū	Вселенная
Tē-kiû	Земля
Sèⁿ-miā	Жизнь
Lâng	Человек разумный
George Washington	Вашингтон, Джордж
Tim Berners-Lee	Бернерс-Ли, Тим
Stanley Kubrick	Кубрик, Стэнли
Suomi	Финляндия
Sūi-tián	Швеция
Tan-kok	Дания
Pho-lân	Польша
Lietuva	Литва
Í-tāi-lī	Италия
Sūi-se	Швейцария
Ò-tē-lī	Австрия
Hi-lia̍p	Греция
Türkiye	Турция
Bih-luh	Пиво
Phû-tô-gâ	Португалия
Europa	Европа
A-chiu	Азия
Pak Bí-chiu	Северная Америка
Lâm-ke̍k Tāi-lio̍k	Антарктида
Wikipedia	Википедия
All your base are belong to us	All your base are belong to us
Hô-lân-kok	Нидерланды
Im-keng	Пенис у животных
PHP	PHP
New York Chhī	Нью-Йорк
Washington, D.C.	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berlin	Берлин
Los Angeles	Лос-Анджелес
Tiān-náu	Компьютер
Bern	Берн
Genève	Женева
Zürich	Цюрих
Internet	Интернет
Barack Obama	Обама, Барак
Uruguay	Уругвай
Basel	Базель
MediaWiki	MediaWiki
Lûn-tun	Лондон
Cairo	Каир
Alexandria	Александрия
Phōng-kó	Яблоко
Pa-lí	Париж
Abraham Lincoln	Линкольн, Авраам
Google	Google (компания)
Be̍k-se-ko	Мексика
Tāi-se-iûⁿ	Атлантический океан
Thài-pêng-iûⁿ	Тихий океан
California	Калифорния
Boston	Бостон
Lé-pài-it	Понедельник
1 goe̍h	Январь
2 goe̍h	Февраль
3 goe̍h	Март
