གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Галилей, Галилео
ལྷག་པ།	Меркурий
ལོ་རྒྱུས།	История
པ་སངས།	Венера
སྐད་རིགས།	Язык
བརྩེ་དུང་།	Любовь
ཕུར་བུ།	Юпитер
སྐར་མ་གནམ་རྒྱལ།	Уран (планета)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Саркози, Николя
སྐར་མ་མཚོ་རྒྱལ།	Нептун
སེང་ག་ཕོར།	Сингапур
ཚན་རིག	Наука
མིར་ཡམ །	Богородица
ལི་ཆེ་ཏན་སཏིན།	Лихтенштейн
ལུས་རྩལ།	Спорт
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Гитлер, Адольф
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Первая мировая война
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Вторая мировая война
ཧྥུ་ཐ་ཅ་ཨ་རག	Водка
སི་ཀོཔ་ཇི།	Скопье
རྩིས་རིག	Математика
ལ་ཏིན་སྐད།	Латинский язык
བྷཧ་རཡིན།	Бахрейн
ཨར་མེ་ནི་ཡ།	Армения
སེར་བྷི་ཡ།	Сербия
ཟླ་བ།	Луна
ཨོ་སེ་ཐེ་ལི་ཡ།	Австралия
དངོས་ཁམས་རིག་པ་	Физика
ཨར་ཇེན་ཊི་ན།	Аргентина
པེ་རུ།	Перу
སྐྱེ་དངོས་རིག་པ།	Биология
བྱང་ཀོ་རི་ཡ།	Корейская Народно-Демократическая Республика
ཁམ་པོ་ཛ།	Камбоджа
ཁུ་རན་གསུང་རབ།	Коран
དབྱི་སི་ལམ་ཆོས་ལུགས།	Ислам
ལི་པོ་ཡ་ན།	Любляна
རྩི་ཤིང་རིག་པ།	Ботаника
ལིས་ཆི་ཝེ་ལིས་ས།	Валенса, Лех
འཁོར་ལོ།	Колесо
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Энциклопедия, или Толковый словарь наук, искусств и ремёсел
ཏེའུ་ཏེ་རོ།	Дидро, Дени
ཞི་བདེ།	Мир (отсутствие войны)
ལི་ཡོང་།	Лион
བུད་མེད།	Женщина
སོ་ཧྥི་ཡ།	София
ཐང་རྗི་ཁོཏ།	Дон Кихот (роман)
སྙན་ངག	Поэзия
མི་ལཱན།	Милан
ཁྱིམ་དྲན་སེམས་ནད།	Память
ཊུ་རིན།	Турин
ལེ་མོན།	Лимон
ངང་ལག	Банан
མེ་ཏོག	Цветок
ཇོ་མོ་གླང་མ།	Джомолунгма
གཤག་བཅོས་རིག་པ།	Анатомия
གྲོང་ཁྱེར།	Город
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Везувий
ཉི་མ།	Солнце
གྲོང་ཚོ།	Село
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Океания
ཉི་མའི་ཁྱིམ་རྒྱུད།	Солнечная система
ཨན་ཇེ་ལ་མེར་ཁེལ།	Меркель, Ангела
ཉིན་མོ།	Сутки
ཤར་ཏིམོར།	Восточный Тимор
དགོང་མོ།	Ночь
ལོ་	Год
རེན་གཙང་པོ།	Рейн
ཨོ་སི་ལོ།	Осло
བྷོ་ཨིན།	Бонн
ནག་ཁུང་།	Чёрная дыра
ལི་སི་བཱོན།	Лиссабон
ལུའོ་ནེའུ་གཙང་པོ།	Рона
མིའི་རིགས་ཀྱི་ཆགས་སྦྱོར་གྱི་བྱ་སྤྱོད།	Секс
ཧྥོར་ཅཱ་གཙང་པོ།	Волга
གསོ་རླུང་།	Кислород
གཡོ་སྐར།	Планета
རོལ་དབྱངས།	Музыка
ཝེ་ནེ་ཟི་ཡ།	Венеция
པོ་གཙང་པོ།	По (река)
མོ་སི་ཁོ།	Москва
ཨི་ཏ་ལིའི་སྐད།	Итальянский язык
སན་པི་ཏི་པོག	Санкт-Петербург
ཆཱ་ཌ།	Чад
བྱང་ཕྱོགས།	Север
ནིའུ་ཛི་ལེན་ཌི།	Новая Зеландия
རྒྱ་གར།	Индия
ཏུ་ཝ་ལུ།	Тувалу
ཚིག་ལྷུག	Проза
ཊོང་ག	Тонга
ནུབ་ཕྱོགས།	Запад
ས་མོའ།	Самоа
ཤར་ཕྱོགས།	Восток
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Соломоновы Острова
ཝ་ནུའ་ཏུ།	Вануату
མོའོ་ལིས་ཨེར།	Мольер
པ་པུ་འ་ནིའུ་གི་ནེ།	Папуа — Новая Гвинея
ཞེ་ཁུ་སི་པེར།	Шекспир, Уильям
པ་ལའུ།	Палау
ནའུ་རུ།	Науру
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Федеративные Штаты Микронезии
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Маршалловы Острова
ཀི་རི་བ་ཏི།	Кирибати
སོག་ཡུལ།	Монголия
ཧྥི་ཇི།	Фиджи
