Afrịka	Африка
South Amerika	Южная Америка
Spain	Испания
Njikota Obodo Amerika	Соединённые Штаты Америки
Àlà	Земля
Mádu	Человек разумный
Finland	Финляндия
Poland	Польша
Turkéy	Турция
Obodo Békè	Европа
Asia	Азия
Olile anyanwu Amerika	Северная Америка
Antarctica	Антарктида
Wikipedia	Википедия
New York City	Нью-Йорк
Orunotu	Компьютер
Intanet	Интернет
Barack Obama	Обама, Барак
MediaWiki	MediaWiki
London	Лондон
Òrìmìlì Atlantic	Атлантический океан
Òrìmìlì Pacific	Тихий океан
California	Калифорния
Önwa mbu	Январь
February	Февраль
March	Март
Ethiopia	Эфиопия
Ghana	Гана
Önwa ànó	Апрель
May	Май
Önwa ishií	Июнь
July	Июль
August	Август
September	Сентябрь
October	Октябрь
Önwa iri na otụ	Ноябрь
Disemba	Декабрь
Odúm	Лев
Obodoézè Nà Ofú	Великобритания
Wiktionary	Викисловарь
Brazil	Бразилия
Mpaghara Russia	Россия
Wiki	Вики
Alabama	Алабама
Jimmy Wales	Уэйлс, Джимми
Jémanị	Германия
Larry Sanger	Сэнгер, Ларри
Otu	1 (число)
Abụo	2 (число)
Atọ	3 (число)
Anọ	4 (число)
Ise	5 (число)
0 (Ónúọgụgụ)	0 (число)
Yukrain	Украина
Barbados	Барбадос
Algeria	Алжир
Wikisource	Викитека
Ńkú	Древесина
Jisọs Kraịst	Иисус Христос
Ákíkó mbu	История
Ihunanya	Любовь
Wikipedia nke ndị bekee	Английская Википедия
Amamihe	Наука
Wikibooks	Викиучебник
Wikiquote	Викицитатник
Ubuntu	Ubuntu
Ọmúmú-ónúọgụgụ	Математика
Ostraliya	Австралия
Bob Marley	Марли, Боб
Physics	Физика
Áláküba	Ислам
Lech Wałęsa	Валенса, Лех
Ábu	Поэзия
Ìfulū	Цветок
Ama ukwu	Город
Ogbè	Село
Wikimedia Commons	Викисклад
Chad	Чад
Ndia	Индия
Mën	Мэн (штат)
Ǹkà	Искусство
Osisi	Растения
Hampshire Ohúrú	Нью-Гэмпшир
