ʻApelika	Африка
Iāpana	Япония
‘Amelika Hema	Южная Америка
Nolewai	Норвегия
ʻIlelani	Ирландия
Hunakalia	Венгрия
Sepania	Испания
‘Amelika Hui Pū ‘ia	Соединённые Штаты Америки
Pelekiuma	Бельгия
Lukemapuka	Люксембург
Honua	Земля
Keoki Wakinekona	Вашингтон, Джордж
Pinilana	Финляндия
Kuekene	Швеция
Kenemaka	Дания
Pōlani	Польша
Lituania	Литва
ʻĪkālia	Италия
Kuikilani	Швейцария
ʻAukekulia	Австрия
Helene	Греция
Tureke	Турция
Potugala	Португалия
‘Eulopa	Европа
‘Ākia	Азия
‘Amelika ‘Ākau	Северная Америка
‘Ane‘ālika	Антарктида
Wikipikia	Википедия
Hōlani	Нидерланды
Wakinekona, D.C.	Вашингтон (округ Колумбия)
Kapalakiko	Сан-Франциско
Pelelina	Берлин
Barack Obama	Обама, Барак
Lākana	Лондон
Palika	Париж
Mekiko	Мексика
Moana ʻAkelanika	Атлантический океан
Moana Pākīpika	Тихий океан
Kaleponi	Калифорния
Pokekona	Бостон
Pō‘akahi	Понедельник
Ianuali	Январь
Pepeluali	Февраль
Malaki	Март
Hōkū‘ula	Марс
Kenia	Кения
‘Aikiopia	Эфиопия
‘Apelila	Апрель
Mei	Май
Iune	Июнь
Iulai	Июль
‘Aukake	Август
Kepakemapa	Сентябрь
‘Okakopa	Октябрь
Nowemapa	Ноябрь
Kēkēmapa	Декабрь
Pō‘alua	Вторник
Pō‘akolu	Среда
Pō‘ahá	Четверг
Pō‘alima	Пятница
Pō‘aono	Суббота
Pōpule	Воскресенье
Liona	Лев
Palani	Франция
‘Ōlelo Ekepelānako	Эсперанто
Aupuni Mōʻī Hui Pū ʻia	Великобритания
Pōpoki	Кошка
Kina	Китайская Народная Республика
‘Ōlelo Palani	Французский язык
Palakila	Бразилия
Rūsia	Россия
Pai (makemakika)	Пи (число)
‘Alapama	Алабама
Kelemānia	Германия
Belarusa	Белоруссия
ʻĀina Hau	Исландия
ʻEsetonia	Эстония
Makulu	Сатурн
1 (helu)	1 (число)
Lakawia	Латвия
ʻUkelena	Украина
Tiekia	Чехия
Solowakia	Словакия
Solowenia	Словения
Molodowa	Молдавия
Romānia	Румыния
Pulukalia	Болгария
Loma	Рим
Repupalika o Masedonia	Республика Македония
ʻAlepania	Албания
Koloatia	Хорватия
Bosenia me Hesegowina	Босния и Герцеговина
‘Akepaikana	Азербайджан
ʻAnakola	Андорра
Kupelo	Республика Кипр
Keokia	Грузия
Kasakana	Казахстан
Malata	Мальта
Monako	Монако
Montenegero	Черногория
Wakikana	Ватикан
Sana Marino	Сан-Марино
‘Inidonesia	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
‘Alekelia	Алжир
Kelewikiona	Телевидение
Chile	Чили
Ukaliali‘i	Меркурий
Hōkūloa	Венера
Ka‘āwela	Юпитер
Hele‘ekela	Уран (планета)
Nepekune	Нептун
Kilo hōkū	Астрономия
Sinapoa	Сингапур
Akeakamai	Наука
Likenekaina	Лихтенштейн
Makemakika	Математика
Baharaina	Бахрейн
‘Āmēnia	Армения
Seripia	Сербия
‘Aukekulelia	Австралия
Kālaikūlohea	Физика
